kit         chem  sp_wells  bc1            bc2         bc3         x_string
WT_mini     1     12        n24_v4         v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
WT          1     48        v2             v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
WT_mega     1     96        n198_v5        v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
 
WT_mini     2     12        n24_v4         v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
WT          2     48        n99_v5         v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
WT_mega     2     96        n198_v5        v1          v1          1,10,18,1,48,56,1,78,86:1,0,10:0,0,0
 
WT_mini     3     12        n38_R1_v3_8    v1          R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT          3     48        n141_R1_v3_8   v1          R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_mega     3     96        n302_R1_v3_8   v1          R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_mega_384 3     384       n302_R1_v3_8   v1          R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_penta    3     96        n302_R1_v3_8   r2_megaPlus r3_megaPlus 1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_penta_384 3    384       n302_R1_v3_8   r2_megaPlus r3_megaPlus 1,10,18,1,30,38,1,50,58:1,0,10:0,0,0

WT_mini     4     12        n38_R1_v3_8    R2_v4       R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT          4     48        n141_R1_v3_8   R2_v4       R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_mega     4     96        n302_R1_v3_8   R2_v4       R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_mega_384 4     384       n302_R1_v3_8   R2_v4       R3_v3       1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_penta    4     96        n302_R1_v3_8   R2_v4_mp    r3_megaPlus 1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
WT_penta_384 4    384       n302_R1_v3_8   R2_v4_mp    r3_megaPlus 1,10,18,1,30,38,1,50,58:1,0,10:0,0,0
