gene_id	gene_name	tenx	parse
ENSG00000000003.17	TSPAN6	22.0	13.0
ENSG00000000419.15	DPM1	1075.0	4264.0
ENSG00000000457.15	SCYL3	390.0	991.0
ENSG00000000460.18	FIRRM	275.0	780.0
ENSG00000000938.14	FGR	1169.0	2006.0
ENSG00000000971.18	CFH	14.0	4.0
ENSG00000001036.15	FUCA2	62.0	227.0
ENSG00000001084.14	GCLC	346.0	2004.0
ENSG00000001167.16	NFYA	74.0	2566.0
ENSG00000001460.19	STPG1	75.0	133.0
ENSG00000001461.20	NIPAL3	1075.0	1598.0
ENSG00000001497.19	LAS1L	601.0	1265.0
ENSG00000001561.8	ENPP4	213.0	418.0
ENSG00000001617.13	SEMA3F	17.0	25.0
ENSG00000001626.19	CFTR	14.0	19.0
ENSG00000001629.11	ANKIB1	3061.0	6038.0
ENSG00000001630.19	CYP51A1	54.0	358.0
ENSG00000001631.18	KRIT1	106.0	91.0
ENSG00000002016.19	RAD52	666.0	420.0
ENSG00000002330.15	BAD	590.0	496.0
ENSG00000002549.14	LAP3	1456.0	4587.0
ENSG00000002587.11	HS3ST1	16.0	13.0
ENSG00000002745.13	WNT16	14.0	9.0
ENSG00000002746.16	HECW1	10.0	22.0
ENSG00000002822.17	MAD1L1	14.0	55.0
ENSG00000002834.20	LASP1	1475.0	3905.0
ENSG00000002919.16	SNX11	804.0	386.0
ENSG00000002933.10	TMEM176A	204.0	48.0
ENSG00000003056.9	M6PR	525.0	1611.0
ENSG00000003096.16	KLHL13	72.0	193.0
ENSG00000003137.9	CYP26B1	0.0	1.0
ENSG00000003147.20	ICA1	384.0	197.0
ENSG00000003249.16	DBNDD1	25.0	8.0
ENSG00000003393.17	ALS2	623.0	1379.0
ENSG00000003400.17	CASP10	1485.0	2527.0
ENSG00000003402.22	CFLAR	4854.0	11259.0
ENSG00000003436.17	TFPI	3.0	47.0
ENSG00000003509.17	NDUFAF7	676.0	1738.0
ENSG00000003756.18	RBM5	2346.0	7091.0
ENSG00000003987.15	MTMR7	156.0	41.0
ENSG00000003989.19	SLC7A2	6.0	4.0
ENSG00000004059.12	ARF5	62.0	180.0
ENSG00000004139.15	SARM1	93.0	502.0
ENSG00000004142.13	POLDIP2	755.0	335.0
ENSG00000004399.14	PLXND1	320.0	1308.0
ENSG00000004455.19	AK2	57.0	1055.0
ENSG00000004468.14	CD38	89.0	1940.0
ENSG00000004478.9	FKBP4	82.0	462.0
ENSG00000004487.19	KDM1A	258.0	1849.0
ENSG00000004534.16	RBM6	5030.0	9114.0
ENSG00000004660.16	CAMKK1	97.0	198.0
ENSG00000004700.17	RECQL	930.0	1781.0
ENSG00000004766.18	VPS50	975.0	3026.0
ENSG00000004776.14	HSPB6	2.0	0.0
ENSG00000004777.19	ARHGAP33	3.0	115.0
ENSG00000004779.11	NDUFAB1	2170.0	437.0
ENSG00000004799.9	PDK4	0.0	30.0
ENSG00000004809.15	SLC22A16	2.0	17.0
ENSG00000004838.15	ZMYND10	0.0	23.0
ENSG00000004846.17	ABCB5	6.0	18.0
ENSG00000004848.8	ARX	0.0	3.0
ENSG00000004864.15	SLC25A13	1516.0	3092.0
ENSG00000004866.23	ST7	194.0	748.0
ENSG00000004897.13	CDC27	1932.0	2598.0
ENSG00000004939.16	SLC4A1	2.0	3.0
ENSG00000004948.17	CALCR	1.0	2.0
ENSG00000004961.16	HCCS	77.0	198.0
ENSG00000004975.13	DVL2	328.0	361.0
ENSG00000005001.11	PRSS22	5.0	5.0
ENSG00000005007.15	UPF1	1316.0	2430.0
ENSG00000005020.14	SKAP2	1795.0	2868.0
ENSG00000005022.7	SLC25A5	5553.0	1014.0
ENSG00000005059.17	MCUB	6167.0	9302.0
ENSG00000005073.6	HOXA11	0.0	0.0
ENSG00000005075.17	POLR2J	2492.0	166.0
ENSG00000005100.13	DHX33	93.0	185.0
ENSG00000005102.15	MEOX1	21.0	20.0
ENSG00000005108.17	THSD7A	5.0	19.0
ENSG00000005156.13	LIG3	397.0	927.0
ENSG00000005175.11	RPAP3	980.0	1717.0
ENSG00000005187.13	ACSM3	61.0	520.0
ENSG00000005189.21	REXO5	2.0	32.0
ENSG00000005194.16	CIAPIN1	576.0	364.0
ENSG00000005206.18	SPPL2B	239.0	652.0
ENSG00000005238.21	ATOSB	290.0	238.0
ENSG00000005243.11	COPZ2	115.0	4.0
ENSG00000005249.15	PRKAR2B	132.0	265.0
ENSG00000005302.19	MSL3	1576.0	4887.0
ENSG00000005339.15	CREBBP	8928.0	19389.0
ENSG00000005379.17	TSPOAP1	482.0	2357.0
ENSG00000005381.9	MPO	14.0	11.0
ENSG00000005421.10	PON1	3.0	2.0
ENSG00000005436.15	GCFC2	402.0	1120.0
ENSG00000005448.18	WDR54	733.0	90.0
ENSG00000005469.13	CROT	357.0	601.0
ENSG00000005471.20	ABCB4	83.0	207.0
ENSG00000005483.23	KMT2E	24186.0	46466.0
ENSG00000005486.18	RHBDD2	1203.0	1416.0
ENSG00000005513.11	SOX8	32.0	22.0
ENSG00000005700.16	IBTK	1119.0	1786.0
ENSG00000005801.19	ZNF195	849.0	1724.0
ENSG00000005810.21	MYCBP2	4778.0	28210.0
ENSG00000005812.12	FBXL3	63.0	5061.0
ENSG00000005844.20	ITGAL	2652.0	7159.0
ENSG00000005882.13	PDK2	119.0	119.0
ENSG00000005884.19	ITGA3	31.0	88.0
ENSG00000005889.17	ZFX	3249.0	6736.0
ENSG00000005893.18	LAMP2	1032.0	1656.0
ENSG00000005961.20	ITGA2B	33.0	42.0
ENSG00000005981.14	ASB4	2.0	2.0
ENSG00000006007.13	GDE1	575.0	696.0
ENSG00000006015.19	REX1BD	2296.0	364.0
ENSG00000006016.13	CRLF1	27.0	32.0
ENSG00000006025.14	OSBPL7	530.0	1873.0
ENSG00000006042.13	TMEM98	0.0	2.0
ENSG00000006047.14	YBX2	0.0	2.0
ENSG00000006062.19	MAP3K14	994.0	2952.0
ENSG00000006071.16	ABCC8	4.0	1.0
ENSG00000006116.5	CACNG3	3.0	12.0
ENSG00000006118.15	TMEM132A	14.0	3.0
ENSG00000006125.19	AP2B1	3806.0	6399.0
ENSG00000006128.13	TAC1	0.0	0.0
ENSG00000006194.12	ZNF263	740.0	786.0
ENSG00000006210.7	CX3CL1	1.0	0.0
ENSG00000006282.23	SPATA20	85.0	108.0
ENSG00000006283.18	CACNA1G	4.0	28.0
ENSG00000006327.15	TNFRSF12A	121.0	68.0
ENSG00000006432.17	MAP3K9	280.0	879.0
ENSG00000006451.9	RALA	2524.0	3497.0
ENSG00000006453.15	BAIAP2L1	67.0	78.0
ENSG00000006459.12	KDM7A	3100.0	8410.0
ENSG00000006468.16	ETV1	1.0	9.0
ENSG00000006530.19	AGK	1065.0	2517.0
ENSG00000006534.18	ALDH3B1	9.0	65.0
ENSG00000006555.12	TTC22	69.0	138.0
ENSG00000006576.18	PHTF2	2647.0	5414.0
ENSG00000006606.9	CCL26	1.0	0.0
ENSG00000006607.15	FARP2	1345.0	2979.0
ENSG00000006611.18	USH1C	0.0	4.0
ENSG00000006625.19	GGCT	370.0	38.0
ENSG00000006634.9	DBF4	3125.0	4204.0
ENSG00000006638.14	TBXA2R	30.0	7.0
ENSG00000006652.15	IFRD1	35.0	121.0
ENSG00000006659.13	LGALS14	2.0	0.0
ENSG00000006695.13	COX10	1042.0	2036.0
ENSG00000006704.12	GTF2IRD1	58.0	53.0
ENSG00000006712.16	PAF1	762.0	1412.0
ENSG00000006715.17	VPS41	1164.0	4031.0
ENSG00000006740.19	ARHGAP44	40.0	26.0
ENSG00000006744.20	ELAC2	459.0	959.0
ENSG00000006747.16	SCIN	12.0	14.0
ENSG00000006756.17	ARSD	169.0	226.0
ENSG00000006757.13	PNPLA4	157.0	89.0
ENSG00000006788.14	MYH13	0.0	1.0
