bc_wells,sample,species,gene_count,tscp_count,tscp_count_50dup,read_count,hg38_gene_count,hg38_tscp_count,hg38_read_count,mm10_gene_count,mm10_tscp_count,mm10_read_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind
23_40_17,220815_V1V2_Cell_Fix_dataset_V2,hg38,15887,107819,1136914.43,113450,11884,98439,103603,4003,9380,9847,B11,D4,B5,23,40,17
23_76_78,220815_V1V2_Cell_Fix_dataset_V2,hg38,9892,45870,483683.44,48266,9607,45556,47940,285,314,326,B11,G4,G6,23,76,78
42_69_86,220815_V1V2_Cell_Fix_dataset_V2,hg38,8489,32811,345980.76,34554,8290,32592,34326,199,219,228,D6,F9,H2,42,69,86
02_61_44,220815_V1V2_Cell_Fix_dataset_V2,hg38,7841,25258,266336.96,26546,7705,25103,26387,136,155,159,A2,F1,D8,2,61,44
12_19_95,220815_V1V2_Cell_Fix_dataset_V2,hg38,7514,22601,238319.80,23830,7384,22457,23681,130,144,149,A12,B7,H11,12,19,95
11_19_84,220815_V1V2_Cell_Fix_dataset_V2,hg38,7726,21426,225929.83,22461,7594,21278,22311,132,148,150,A11,B7,G12,11,19,84
18_33_91,220815_V1V2_Cell_Fix_dataset_V2,hg38,7046,20485,216007.31,21543,6925,20356,21408,121,129,135,B6,C9,H7,18,33,91
34_10_63,220815_V1V2_Cell_Fix_dataset_V2,hg38,7062,19948,210344.83,21010,6962,19823,20880,100,125,130,C10,A10,F3,34,10,63
37_19_11,220815_V1V2_Cell_Fix_dataset_V2,hg38,6669,18985,200190.32,19939,6545,18845,19796,124,140,143,D1,B7,A11,37,19,11
16_18_13,220815_V1V2_Cell_Fix_dataset_V2,hg38,6851,18529,195381.96,19499,6718,18387,19356,133,142,143,B4,B6,B1,16,18,13
08_02_59,220815_V1V2_Cell_Fix_dataset_V2,hg38,6362,17517,184710.77,18398,6220,17360,18234,142,157,164,A8,A2,E11,8,2,59
36_86_80,220815_V1V2_Cell_Fix_dataset_V2,hg38,6862,17269,182095.69,18160,6749,17136,18025,113,133,135,C12,H2,G8,36,86,80
11_01_15,220815_V1V2_Cell_Fix_dataset_V2,hg38,6708,17200,181368.11,18113,6568,17041,17947,140,159,166,A11,A1,B3,11,1,15
28_89_43,220815_V1V2_Cell_Fix_dataset_V2,hg38,6194,16958,178816.30,17831,6107,16867,17737,87,91,94,C4,H5,D7,28,89,43
38_10_86,220815_V1V2_Cell_Fix_dataset_V2,hg38,6314,16233,171171.43,17053,6222,16133,16948,92,100,105,D2,A10,H2,38,10,86
06_40_58,220815_V1V2_Cell_Fix_dataset_V2,hg38,6419,16027,168999.23,16838,6318,15913,16720,101,114,118,A6,D4,E10,6,40,58
02_64_83,220815_V1V2_Cell_Fix_dataset_V2,hg38,6426,15988,168587.98,16817,6320,15871,16698,106,117,119,A2,F4,G11,2,64,83
30_28_44,220815_V1V2_Cell_Fix_dataset_V2,hg38,6251,15777,166363.06,16582,6137,15655,16457,114,122,125,C6,C4,D8,30,28,44
15_40_87,220815_V1V2_Cell_Fix_dataset_V2,hg38,6364,15619,164697.01,16469,6246,15491,16333,118,128,136,B3,D4,H3,15,40,87
21_04_11,220815_V1V2_Cell_Fix_dataset_V2,hg38,6297,15558,164053.78,16378,6176,15427,16244,121,131,134,B9,A4,A11,21,4,11
17_33_64,220815_V1V2_Cell_Fix_dataset_V2,hg38,6294,15148,159730.47,15938,6210,15053,15836,84,95,102,B5,C9,F4,17,33,64
31_86_12,220815_V1V2_Cell_Fix_dataset_V2,hg38,6232,15140,159646.12,15948,6135,15040,15843,97,100,105,C7,H2,A12,31,86,12
42_56_51,220815_V1V2_Cell_Fix_dataset_V2,hg38,5970,14991,158074.96,15779,5883,14888,15674,87,103,105,D6,E8,E3,42,56,51
46_52_19,220815_V1V2_Cell_Fix_dataset_V2,multiplet,7445,14960,157748.08,15720,3573,6095,6443,3872,8865,9277,D10,E4,B7,46,52,19
44_79_65,220815_V1V2_Cell_Fix_dataset_V2,hg38,6046,14906,157178.67,15679,5940,14781,15551,106,125,128,D8,G7,F5,44,79,65
11_13_95,220815_V1V2_Cell_Fix_dataset_V2,hg38,6061,14746,155491.52,15512,5952,14619,15383,109,127,129,A11,B1,H11,11,13,95
11_91_69,220815_V1V2_Cell_Fix_dataset_V2,multiplet,7556,14490,152792.09,15194,4455,8481,8900,3101,6009,6294,A11,H7,F9,11,91,69
02_16_02,220815_V1V2_Cell_Fix_dataset_V2,hg38,6233,14457,152444.11,15182,6149,14364,15088,84,93,94,A2,B4,A2,2,16,2
43_43_66,220815_V1V2_Cell_Fix_dataset_V2,multiplet,7229,14438,152243.77,15197,5114,10866,11423,2115,3572,3774,D7,D7,F6,43,43,66
36_75_12,220815_V1V2_Cell_Fix_dataset_V2,hg38,6221,14141,149112.00,14860,6133,14037,14753,88,104,107,C12,G3,A12,36,75,12
12_06_86,220815_V1V2_Cell_Fix_dataset_V2,hg38,5856,14127,148964.38,14898,5756,14020,14790,100,107,108,A12,A6,H2,12,6,86
09_64_88,220815_V1V2_Cell_Fix_dataset_V2,hg38,6007,14078,148447.69,14751,5898,13956,14627,109,122,124,A9,F4,H4,9,64,88
40_76_61,220815_V1V2_Cell_Fix_dataset_V2,multiplet,6849,13911,146686.73,14613,4813,10553,11099,2036,3358,3514,D4,G4,F1,40,76,61
13_89_22,220815_V1V2_Cell_Fix_dataset_V2,hg38,6055,13896,146528.56,14607,5987,13821,14531,68,75,76,B1,H5,B10,13,89,22
24_19_85,220815_V1V2_Cell_Fix_dataset_V2,hg38,5843,13838,145916.97,14547,5757,13749,14458,86,89,89,B12,B7,H1,24,19,85
20_61_56,220815_V1V2_Cell_Fix_dataset_V2,multiplet,7135,13718,144651.61,14435,4553,9268,9775,2582,4450,4660,B8,F1,E8,20,61,56
21_71_38,220815_V1V2_Cell_Fix_dataset_V2,hg38,5963,13716,144630.52,14427,5854,13602,14307,109,114,120,B9,F11,D2,21,71,38
17_88_32,220815_V1V2_Cell_Fix_dataset_V2,hg38,5975,13446,141783.47,14102,5870,13334,13985,105,112,117,B5,H4,C8,17,88,32
06_42_92,220815_V1V2_Cell_Fix_dataset_V2,hg38,5896,13335,140613.01,13988,5806,13234,13886,90,101,102,A6,D6,H8,6,42,92
39_43_15,220815_V1V2_Cell_Fix_dataset_V2,mm10,4443,13121,138356.45,13817,158,166,171,4285,12955,13646,D3,D7,B3,39,43,15
09_08_94,220815_V1V2_Cell_Fix_dataset_V2,hg38,5830,13096,138092.84,13759,5748,13006,13669,82,90,90,A9,A8,H10,9,8,94
41_65_87,220815_V1V2_Cell_Fix_dataset_V2,hg38,5703,13095,138082.29,13768,5616,12996,13669,87,99,99,D5,F5,H3,41,65,87
36_29_06,220815_V1V2_Cell_Fix_dataset_V2,hg38,6030,13085,137976.84,13737,5950,12992,13641,80,93,96,C12,C5,A6,36,29,6
46_40_89,220815_V1V2_Cell_Fix_dataset_V2,hg38,5699,13082,137945.21,13775,5635,13016,13707,64,66,68,D10,D4,H5,46,40,89
42_81_23,220815_V1V2_Cell_Fix_dataset_V2,hg38,5811,13071,137829.22,13736,5742,12993,13655,69,78,81,D6,G9,B11,42,81,23
32_79_68,220815_V1V2_Cell_Fix_dataset_V2,hg38,5639,13062,137734.32,13765,5550,12971,13671,89,91,94,C8,G7,F8,32,79,68
32_14_65,220815_V1V2_Cell_Fix_dataset_V2,hg38,5733,13021,137301.99,13706,5630,12908,13589,103,113,117,C8,B2,F5,32,14,65
38_59_27,220815_V1V2_Cell_Fix_dataset_V2,hg38,5429,12987,136943.47,13679,5340,12895,13585,89,92,94,D2,E11,C3,38,59,27
34_63_80,220815_V1V2_Cell_Fix_dataset_V2,hg38,5540,12949,136542.77,13614,5435,12834,13493,105,115,121,C10,F3,G8,34,63,80
22_91_21,220815_V1V2_Cell_Fix_dataset_V2,hg38,5559,12924,136279.15,13621,5478,12839,13533,81,85,88,B10,H7,B9,22,91,21
21_84_45,220815_V1V2_Cell_Fix_dataset_V2,multiplet,6580,12833,135319.59,13449,2469,3627,3819,4111,9206,9630,B9,G12,D9,21,84,45
24_05_57,220815_V1V2_Cell_Fix_dataset_V2,hg38,5735,12806,135034.88,13503,5673,12739,13435,62,67,68,B12,A5,E9,24,5,57
19_49_55,220815_V1V2_Cell_Fix_dataset_V2,hg38,5682,12563,132472.53,13207,5600,12473,13113,82,90,94,B7,E1,E7,19,49,55
46_40_23,220815_V1V2_Cell_Fix_dataset_V2,hg38,5548,12467,131460.25,13116,5446,12353,12996,102,114,120,D10,D4,B11,46,40,23
22_46_19,220815_V1V2_Cell_Fix_dataset_V2,mm10,4800,12427,131038.46,13020,122,126,130,4678,12301,12890,B10,D10,B7,22,46,19
02_40_64,220815_V1V2_Cell_Fix_dataset_V2,hg38,5546,12391,130658.85,13053,5462,12307,12964,84,84,89,A2,D4,F4,2,40,64
17_18_10,220815_V1V2_Cell_Fix_dataset_V2,hg38,5510,12280,129488.39,12899,5425,12192,12809,85,88,90,B5,B6,A10,17,18,10
02_57_91,220815_V1V2_Cell_Fix_dataset_V2,hg38,5464,12154,128159.77,12756,5360,12037,12638,104,117,118,A2,E9,H7,2,57,91
46_62_63,220815_V1V2_Cell_Fix_dataset_V2,hg38,5539,12138,127991.05,12716,5462,12057,12634,77,81,82,D10,F2,F3,46,62,63
