,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
5676,GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),2.048871791376293e-65,8.728193831263008e-63,0,0,6.041030481438002,899.8159711362648,GHITM;MICOS13;MICOS10;PHB2;LGALS3;MRPS18B;BCS1L;MRPS18C;COX7A2L;SCO1;TMEM126A;UQCRC1;TMEM126B;AURKAIP1;SHMT2;MRPL18;MRPL16;MRPL17;MRPL14;MRPL15;MRPL12;MRPL13;MRPL10;MRPL11;LDHB;MRPL20;GRPEL1;STMP1;RDH13;SURF1;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;NDUFAF4;SFXN4;NDUFAF3;NDUFAF1;CIBAR1;MRPS17;COX7B;MRPS15;MRPS16;MRPS14;MRPS12;MRPL39;MRPS10;MRPL36;ECSIT;MRPL34;MRPL35;COX7C;MRPL32;MRPL33;MRPL41;MRPL40;MTG1;COX8A;MRPS28;MRPS26;TIMM29;MRPS23;MRPL49;MRPS2;MRPS21;MRPL47;TIMM22;NME4;MRPL45;MRPS7;COQ10B;MRPL43;MRPL44;MRPL52;TMEM177;MRPL50;MRPL51;TOMM40;DMAC1;MRPS35;TIMM9;MRPS33;MRPS34;TIMM13;IFI6;MRPL58;UQCR11;TIMM10;MRPS30;UQCR10;COX5B;MRPL57;COX5A;MRPL54;TMEM70;MRPL55;ATP5F1A;ATP5F1B;RPS3;ATP5PF;ATP5PD;PET100;ATP5PB;SQOR;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;KGD4;NDUFAB1;ATP5PO;NDUFA13;NDUFA11;NDUFA12;MPV17L2;COX6A1;MPC2;SLC25A42;SLC25A45;CHCHD1;SDHC;SDHD;COX6B2;SDHB;COX6B1;DNAJC30;DAP3;UQCRB;COX16;NDUFB10;NDUFB11;ATP5MC2;ATP5MC3;COX7A2;HIGD1A;MTLN;UQCRH;ATP5MC1;TIMM50;ATP5MK;ATP5MJ;COX14;CYC1;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;DNAJC19;COA3;UQCC3;UQCC2;UQCC4;DNAJC15;COQ7;COQ5;COQ4;TMEM11;UQCRQ;CYCS;SLC25A1;ALAS2;SLC25A3;MCUR1;COX4I1;MRPL4;MRPL2;TMEM223;TIMM17A;TIMM17B;UQCRFS1;COA8;CCDC51;COA5;NDUFC2;NDUFC1;SLC25A18;SMDT1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A10;SLC25A5;SLC25A11;SLC25A4;SMIM20;NDUFB9;NDUFB8;STOML2;NDUFB7;MTFP1;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;PPOX;FOXRED1;PARL;ROMO1;GADD45GIP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;SLC25A39;OCIAD2
0,GO_Biological_Process_2026,Translation (GO:0006412),8.719908822606237e-62,4.051269638982858e-58,0,0,8.944104091193596,1257.4933361705916,RPL4;RPL5;RPL30;RPL32;TP53RK;RPL31;RPL34;RPL8;APEH;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;RPSA;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL16;MRPL17;MRPL14;MRPL15;MRPL12;GSPT2;MRPL13;MRPL10;MRPL11;MRPL20;ZC3H15;RPL39L;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;AIMP1;RPS26;RPS25;RPS28;RPS27;RPS29;NACA;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL39;MRPS10;MRPL36;MRPL34;MRPL35;MRPL32;MRPL33;MRPL41;MRPL4;RPS4X;RPL7A;MRPL2;MRPL40;RACK1;RPLP2;MRPS28;EIF5A;MRPS26;MRPS23;DHPS;MRPL49;MRPS2;MRPS21;RPL13A;MRPL47;RPS3A;MRPL45;MRPS7;MRPL43;MRPL44;MRPL52;MRPL50;MRPL51;EEF1D;RPL37A;EEF1E1;MRPS35;RPL10;MRPS33;RPL12;MRPS34;RPL11;RPL36A;RPS27L;MRPL58;MRPS30;MRPL57;LAGE3;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;GADD45GIP1;RWDD1;TPRKB;RPL35A;RPL23A;DRG1;RPL22L1;FAU;RPL26L1
5677,GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),7.790683141394097e-59,1.6594155091169427e-56,0,0,4.237438528099693,566.9675459134197,IFI27L1;IFI27L2;CISD1;CISD2;GHITM;MICOS13;MICOS10;PHB2;LGALS3;MRPS18B;BCS1L;MRPS18C;COX7A2L;SCO1;TMEM126A;UQCRC1;VDAC3;VDAC2;VDAC1;TMEM126B;AURKAIP1;UBA52;SHMT2;MRPL18;MGST3;MRPL16;MRPL17;MRPL14;MRPL15;MRPL12;MRPL13;MRPL10;MRPL11;LDHB;MRPL20;GRPEL1;STMP1;RDH13;GSDMD;VAT1;FIS1;SURF1;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;STAR;NDUFAF4;SFXN4;NDUFAF3;NDUFAF1;CIBAR1;MRPS17;COX7B;MRPS15;MRPS16;MRPS14;MRPS12;MRPL39;MRPS10;MRPL36;ECSIT;MRPL34;MRPL35;COX7C;MRPL32;MRPL33;MRPL41;MRPL40;HINT2;MTG1;RAC2;TSPO;C19ORF12;ACADM;COX8A;MRPS28;MRPS26;TIMM29;MRPS23;MRPL49;MRPS2;MRPS21;NME3;MRPL47;TIMM22;NME4;MRPL45;MRPS7;COQ10B;MRPL43;MRPL44;MRPL52;TMEM177;MRPL50;MRPL51;PGAM5;TOMM40;DMAC1;MRPS35;TIMM9;MRPS33;MRPS34;TIMM13;IFI6;MIEF2;MRPL58;UQCR11;TIMM10;MRPS30;UQCR10;COX5B;MRPL57;COX5A;MRPL54;TMEM70;MRPL55;ATP5F1A;PGRMC1;ATP5F1B;RPS3;RPS27A;ATP5PF;ATP5PD;PET100;ATP5PB;SQOR;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;KGD4;STING1;NDUFAB1;ATP5PO;TOMM7;TOMM5;NDUFA13;NDUFA11;NDUFA12;MPV17L2;COX6A1;TOMM20;TOMM22;MPC2;SLC25A42;SLC25A45;CHCHD1;TMEM14A;TMEM14B;TMEM14C;SDHC;SDHD;COX6B2;SDHB;COX6B1;TUFM;PIGBOS1;DNAJC30;DAP3;UQCRB;COX16;NDUFB10;NDUFB11;ATP5MC2;ATP5MC3;COX7A2;PLD6;HIGD1A;MTLN;UQCRH;ATP5MC1;TIMM50;UBB;UBC;ATP5MK;ATP5MJ;COX14;CYC1;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;DNAJC19;COA3;MOAP1;UQCC3;UQCC2;UQCC4;DNAJC15;COQ7;COQ5;COQ4;TMEM11;UQCRQ;CYCS;SLC25A1;ALAS2;SLC25A3;MCUR1;COX4I1;MRPL4;FUNDC2;MRPL2;TMEM223;FUNDC1;TIMM17A;TIMM17B;UQCRFS1;CCDC51;COA5;NDUFC2;DARS2;NDUFC1;QTRT1;SLC25A18;SMDT1;HAX1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A10;SLC25A5;SLC25A11;SLC25A4;SMIM20;NDUFB9;NDUFB8;STOML2;NDUFB7;SMIM26;MTFP1;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;MFF;PPOX;FOXRED1;PARL;SLC25A28;BNIP1;SMIM30;ROMO1;GADD45GIP1;NDUFA9;CYB5A;NDUFA8;NDUFA7;NDUFA6;NDUFA5;BAD;NDUFA3;NDUFA2;NDUFA1;SLC25A39;BAX;OCIAD2
1,GO_Biological_Process_2026,Protein Biosynthetic Process (GO:0160307),1.9913638897723142e-53,4.625938315941086e-50,0,0,15.192750973221658,1843.6128340451169,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;RPSA;MRPS18C;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL18;MRPL12;GSPT2;MRPL13;MRPL10;MRPL11;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL22;RPS26;RPS25;RPS28;RPS27;NACA;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;MRPL35;MRPL32;MRPL41;RPS4X;RPL7A;RPLP2;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPL43;MRPL52;MRPL51;RPL37A;RPL10;MRPS33;RPL12;RPL11;RPL36A;RPS27L;MRPL55;RPS15A;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL23A;FAU
2,GO_Biological_Process_2026,Cytoplasmic Translation (GO:0002181),6.91154608214604e-51,1.0703681032550168e-47,0,0,25.45424970975232,2939.931386205292,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RACK1;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;EEF1D;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;RPL39L;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;RPS29;RPL27A;EIF3I;DRG1;RPS20;RPL22L1;FAU;RPS21;RPS24;RPL26L1;RPS23
3,GO_Biological_Process_2026,Macromolecule Biosynthetic Process (GO:0009059),1.8662669379580216e-39,2.167669048438242e-36,0,0,6.213872723506036,554.1337727605339,RPL4;RPL5;RPL30;RPL32;TP53RK;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;ALG3;RPSA;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL18;MRPL12;FUT2;GSPT2;MRPL13;MRPL10;MRPL11;FUT7;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL22;RPS26;RPS25;RPS28;RPS27;RPS29;NACA;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS17;MRPS15;ALAS2;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;MRPL35;MRPL32;MRPL41;RPS4X;RPL7A;SERP1;B3GALT2;RPLP2;EIF5A;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPL43;DDOST;MRPL52;MRPL51;DAD1;EEF1D;RPL37A;RPL10;MRPS33;RPL12;RPL11;RPL36A;RPS27L;LAGE3;MRPL55;RPS15A;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;TPRKB;RPL35A;RPL23A;TMEM59;GOLPH3;FAU
5678,GO_Cellular_Component_2026,Large Ribosomal Subunit (GO:0015934),1.6188445118039177e-35,2.298759206761563e-33,0,0,82.06262749898,6573.93579283494,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RBM3;RPL7A;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPL21;RPL23;RPL22;RPL13A;RPL7L1;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;MRPL20;RPL14;RPL13;RPL15;RPL18;RPL19;RPL39L;RPL41;RPL35A;RPL23A;RPL27A;RPL26L1
4,GO_Biological_Process_2026,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),3.424043367484021e-36,3.181621097066152e-33,0,0,45.094275406711596,3682.499596077573,COX7B;NDUFA12;COX4I1;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHB;COX6B1;NDUFS8;NDUFS7;SDHAF2;NDUFS6;NDUFS5;NDUFS3;UQCRC1;NDUFS2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;NDUFAF1
5679,GO_Cellular_Component_2026,Cytosolic Large Ribosomal Subunit (GO:0022625),4.8989014558373895e-34,5.21733005046682e-32,0,0,78.81233007069059,6044.817617989871,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPL21;RPL23;RPL22;RPL13A;RPL7L1;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPL18;RPL19;RPL39L;RPL41;RPL35A;RPL23A;RPL27A;RPL26L1
5,GO_Biological_Process_2026,Proton Motive Force-Driven ATP Synthesis (GO:0015986),9.48802902641781e-35,7.346897142789524e-32,0,0,43.46601347213717,3405.1469400702326,NDUFA13;NDUFA11;NDUFA12;NDUFC2;NDUFC1;SDHC;SDHD;SDHB;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1A;ATP5F1B;ATP5MK;ATP5MJ;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO
