Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),1.50296425771327e-55,7.665117714337677e-53,1.69016553828999e-55,8.619844245278948e-53,5.390298353284317,219,394,GC-robust,ALAS2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MJ;ATP5MK;ATP5PB;ATP5PD;ATP5PF;ATP5PO;AURKAIP1;BCS1L;BOK;CCDC51;CHCHD1;CIBAR1;COA3;COA5;COA8;COQ10B;COQ4;COQ5;COQ7;COX14;COX16;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DAP3;DMAC1;DNAJC15;DNAJC19;DNAJC30;ECSIT;FOXRED1;GADD45GIP1;GHITM;GRPEL1;HIGD1A;IFI6;KGD4;LDHB;LGALS3;MCUR1;MICOS10;MICOS13;MPC2;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL44;MRPL45;MRPL47;MRPL49;MRPL50;MRPL51;MRPL52;MRPL54;MRPL55;MRPL57;MRPL58;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS30;MRPS33;MRPS34;MRPS35;MRPS7;MTFP1;MTG1;MTLN;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF3;NDUFAF4;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NME4;OCIAD2;PARL;PET100;PHB2;PPOX;RDH13;ROMO1;RPS3;SCO1;SDHB;SDHC;SDHD;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A18;SLC25A3;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SQOR;STMP1;STOML2;SURF1;TIMM10;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM177;TMEM223;TMEM70;TOMM40;UQCC2;UQCC3;UQCC4;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Biological_Process_2026,Translation (GO:0006412),1.1509034198192601e-54,6.843271734245321e-51,5.09173421638502e-53,3.027545165062533e-49,7.857327374959863,160,247,GC-robust,AIMP1;APEH;AURKAIP1;CHCHD1;DAP3;DHPS;DRG1;EEF1A1;EEF1B2;EEF1D;EEF1E1;EIF5A;FAU;GADD45GIP1;GSPT2;LAGE3;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL44;MRPL45;MRPL47;MRPL49;MRPL50;MRPL51;MRPL52;MRPL54;MRPL55;MRPL57;MRPL58;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS30;MRPS33;MRPS34;MRPS35;MRPS7;NACA;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RWDD1;TP53RK;TPRKB;TUFM;UBA52;ZC3H15
GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),2.25261584680406e-48,5.744170409350353e-46,6.4654799950809e-48,1.6486973987456295e-45,3.7749649800380967,268,575,GC-robust,ACADM;ALAS2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MJ;ATP5MK;ATP5PB;ATP5PD;ATP5PF;ATP5PO;AURKAIP1;BAD;BAX;BCS1L;BNIP1;BOK;C19ORF12;CCDC51;CHCHD1;CIBAR1;CISD1;CISD2;COA3;COA5;COQ10B;COQ4;COQ5;COQ7;COX14;COX16;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYB5A;CYC1;CYCS;DAP3;DARS2;DMAC1;DNAJC15;DNAJC19;DNAJC30;ECSIT;FIS1;FOXRED1;FUNDC1;FUNDC2;GADD45GIP1;GHITM;GRPEL1;GSDMD;HAX1;HIGD1A;HINT2;IFI27L1;IFI27L2;IFI6;KGD4;LDHB;LGALS3;MCUR1;MFF;MGST3;MICOS10;MICOS13;MIEF2;MOAP1;MPC2;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL44;MRPL45;MRPL47;MRPL49;MRPL50;MRPL51;MRPL52;MRPL54;MRPL55;MRPL57;MRPL58;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS30;MRPS33;MRPS34;MRPS35;MRPS7;MTFP1;MTG1;MTLN;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF3;NDUFAF4;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NME3;NME4;OCIAD2;PARL;PET100;PGAM5;PGRMC1;PHB2;PIGBOS1;PLD6;PPOX;QTRT1;RAC2;RDH13;ROMO1;RPS27A;RPS3;SCO1;SDHB;SDHC;SDHD;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A18;SLC25A28;SLC25A3;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SMIM26;SMIM30;SQOR;STAR;STING1;STMP1;STOML2;SURF1;TIMM10;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM14A;TMEM14B;TMEM14C;TMEM177;TMEM223;TMEM70;TOMM20;TOMM22;TOMM40;TOMM5;TOMM7;TSPO;TUFM;UBA52;UBB;UBC;UQCC2;UQCC3;UQCC4;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ;VAT1;VDAC1;VDAC2;VDAC3
GO_Biological_Process_2026,Protein Biosynthetic Process (GO:0160307),3.88668888565807e-48,1.1555126057061442e-44,2.91981293298501e-47,8.680603849764435e-44,13.587025084347953,109,143,GC-robust,DHPS;EEF1A1;FAU;GSPT2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL18;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL34;MRPL35;MRPL36;MRPL41;MRPL43;MRPL51;MRPL52;MRPL55;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS21;MRPS33;MRPS7;NACA;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPSA;UBA52
GO_Biological_Process_2026,Cytoplasmic Translation (GO:0002181),2.5201815285168303e-47,4.994999789520358e-44,6.42788707909946e-46,1.274007219077513e-42,23.497878725165563,89,105,GC-robust,DRG1;EEF1D;EIF2S3;EIF3I;EIF3M;FAU;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RWDD1;UBA52;ZC3H15
GO_Cellular_Component_2026,Large Ribosomal Subunit (GO:0015934),2.86538771601123e-34,4.871159117219091e-32,2.80426258450406e-33,4.767246393656902e-31,106.95338809034908,51,53,GC-robust,MRPL20;RBM3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL7L1;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Macromolecule Biosynthetic Process (GO:0009059),3.82624708790582e-34,5.687716296172001e-31,1.1737869047295499e-33,1.744834233880476e-30,5.624187475989244,126,221,GC-robust,ALAS2;ALG3;B3GALT2;DAD1;DDOST;DHPS;EEF1A1;EEF1B2;EEF1D;EIF5A;FAU;FUT2;FUT7;GOLPH3;GSPT2;LAGE3;MRPL10;MRPL11;MRPL12;MRPL13;MRPL18;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL34;MRPL35;MRPL36;MRPL41;MRPL43;MRPL51;MRPL52;MRPL55;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS21;MRPS33;MRPS7;NACA;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPSA;SERP1;TMEM59;TP53RK;TPRKB;TUFM;UBA52
GO_Cellular_Component_2026,Cytosolic Large Ribosomal Subunit (GO:0022625),7.92523425649079e-33,1.0104673677025757e-30,6.49806877734808e-32,8.285037691118801e-30,102.7169540229885,49,51,GC-robust,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL7L1;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),4.7036313414912396e-33,5.593558391301382e-30,1.65729319922866e-32,1.9708530725227223e-29,39.178896882494,56,62,GC-robust,COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;CYC1;CYCS;NDUFA1;NDUFA12;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHAF2;SDHB;SDHC;SDHD;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Biological_Process_2026,Aerobic Electron Transport Chain (GO:0019646),1.55795242816729e-31,1.5439308563137846e-28,5.3438946631917305e-31,4.539256809619719e-28,32.97384181786154,55,62,GC-robust,COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;CYC1;CYCS;NDUFA1;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHAF2;SDHB;SDHC;SDHD;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Biological_Process_2026,Proton Motive Force-Driven ATP Synthesis (GO:0015986),2.7197716650071996e-31,2.310251760018973e-28,3.3904145310110402e-31,3.3599008002319407e-28,37.764125744812,54,60,GC-robust,ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MJ;ATP5MK;ATP5PB;ATP5PD;ATP5PF;ATP5PO;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHB;SDHC;SDHD
GO_Biological_Process_2026,Oxidative Phosphorylation (GO:0006119),4.50854351302493e-30,3.350974966055779e-27,1.05360708383557e-29,6.960830800540334e-27,31.761738466956217,53,60,GC-robust,ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;COX7A2;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHB;SDHC;SDHD;UQCRB;UQCRC1;UQCRH
GO_Biological_Process_2026,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),7.995976622802049e-30,5.282675222131221e-27,9.650547479135579e-30,6.960830800540334e-27,51.35344827586207,49,53,GC-robust,ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHB;SDHC;SDHD
GO_Biological_Process_2026,Cellular Respiration (GO:0045333),7.74413918247674e-29,4.6046651579006693e-26,1.12155487249862e-28,6.668765271876795e-26,14.704610951008647,63,81,GC-robust,ATP5F1D;BLOC1S1;CHCHD5;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;CYC1;CYCS;ETFB;MDH2;MTLN;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHB;SDHC;SIRT3;SURF1;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Biological_Process_2026,Negative Regulation of Myoblast Fusion (GO:1901740),2.45086190990795e-27,1.3248022651193339e-24,9.70564693883264e-27,5.2463433362089894e-24,60.01605849391827,43,46,GC-robust,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Negative Regulation of Syncytium Formation by Plasma Membrane Fusion (GO:0034242),6.1091295906249e-27,3.027073712154638e-24,2.0032225959153002e-26,9.925967962760312e-24,46.06602419520197,44,48,GC-robust,ERVH48-1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Protein Metabolic Process (GO:0019538),9.763691044756771e-24,4.46576207324029e-21,8.96667176604247e-24,4.101217716991425e-21,2.6848037310532455,209,541,GC-robust,ACAN;ADAMTS20;AIP;APEH;APH1A;BOLA3;C2;CAMP;CAPNS1;CASP4;CASP6;CCS;CDC34;CELA1;CELA2A;CELA2B;CFD;CIAO1;CIAO2A;CIAO2B;CISD1;CISD3;CLN5;CLPP;COX19;CPB2;CPNE1;CTSD;CTSF;CTSL;CTSW;DHPS;DPP7;EEF1A1;EMD;F12;F2;FAU;FBXL2;FBXL6;FBXO2;FKBP1A;FKBP1B;FXN;GGT5;GLRX5;GSPT2;GZMA;GZMB;GZMH;GZMM;HSP90AA1;ISCA1;ISCA2;LIPT1;LMF2;LOX;MCRS1;MMP11;MRPL10;MRPL11;MRPL12;MRPL13;MRPL18;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL34;MRPL35;MRPL36;MRPL41;MRPL43;MRPL51;MRPL52;MRPL55;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS21;MRPS33;MRPS7;MSRB2;NAA10;NAALAD2;NACA;NEDD8;NFU1;NSG1;PAPPA;PARK7;PARL;PARP1;PPT1;PROZ;PRPH2;PRRG2;PRSS2;PRSS21;PRSS57;PSENEN;PSMB1;PSMB5;PSMC4;RNF5;RNPEPL1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPN2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPSA;SEC11A;SEC11C;SEPHS1;SERP1;SLC35A1;SPCS1;SPCS2;SPCS3;SVBP;TMPRSS7;TSPAN33;UBA52;UBE2D2;UBE2I;UBE2L3;UBE2L6;UBE2M;UBE2S;UBL4A;UBL5;UCHL3;USE1
GO_Biological_Process_2026,Regulation of Myoblast Fusion (GO:1901739),3.76687164184559e-22,1.5998441987438484e-19,6.37185785399076e-22,2.706219057130647e-19,19.99947610587217,43,52,GC-robust,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Mitochondrial Gene Expression (GO:0140053),3.21448738277169e-20,1.274222798530698e-17,4.0102202219818105e-20,1.5896512959935896e-17,6.716244595429276,64,104,GC-robust,AURKAIP1;CHCHD1;DAP3;FASTK;GADD45GIP1;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL44;MRPL45;MRPL47;MRPL49;MRPL50;MRPL51;MRPL52;MRPL54;MRPL55;MRPL57;MRPL58;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS30;MRPS33;MRPS34;MRPS35;MRPS7;TFAM;TFB2M;TUFM
GO_Cellular_Component_2026,Cytosolic Small Ribosomal Subunit (GO:0022627),4.0355881027001304e-19,4.08232438451972e-17,1.9812179141288e-18,2.020842272411376e-16,27.57606382978723,33,38,GC-robust,FAU;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA
GO_Cellular_Component_2026,Small Ribosomal Subunit (GO:0015935),4.8027345700232e-19,4.08232438451972e-17,2.4479441305106e-18,2.08075251093401e-16,23.680103676420433,34,40,GC-robust,FAU;RACK1;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA
