Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Extracellular Exosome (GO:0070062),3.47759730843646e-12,1.7735746273025947e-09,3.52072285335568e-12,1.7955686552113967e-09,1.529675321220377,418,1645,GC-robust,A1BG;ABHD14B;ACAT1;ACP1;ACTB;ACTG1;ACTG2;ADH5;AHSA1;AKR1A1;AKR1B1;AKR1C3;AKR1C4;AKR7A2;ALK;ANGPTL6;ANP32B;ANXA7;AP2M1;APEH;APRT;ARF5;ARF6;ARHGDIB;ARL3;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ASL;ATP6AP1;ATP6AP2;ATP6V0A4;ATP6V1E1;ATP6V1F;ATP6V1G1;AXL;B3GAT3;B4GALT3;BAX;BLVRB;BRK1;BROX;BSG;BST2;BTG2;C2;CA1;CA6;CACYBP;CALB1;CAMP;CAPG;CAPNS1;CAPZA1;CBR1;CCL28;CCT2;CCT3;CCT7;CCT8;CD37;CD48;CD59;CD63;CD70;CD79B;CD81;CETP;CFD;CFL1;CHID1;CHMP1A;CHMP2A;CHMP3;CHMP5;CHST14;CIB1;CLIC1;CLIC3;CLN5;CMPK1;CNP;COMT;CORO1A;CORO1B;CPB2;CPNE1;CPNE3;CPNE5;CPNE7;CRB2;CRB3;CSNK2B;CST3;CSTB;CTSD;CTSF;CTSL;CUTA;DBI;DCXR;DDAH2;DDT;DDX19B;DNAJA1;DNAJA2;DNAJB9;DNASE2;DNPH1;DPP7;DSTN;DUT;ECH1;EDIL3;EEF1A1;EIF2S3;EIF3E;EIF3H;EIF3I;EIF6;ENO1;EPS8L2;EPX;ESD;F12;F2;FABP3;FABP5;FBL;FBLN5;FCER2;FCGR3A;FLOT1;FTL;FUT2;FUZ;FXYD2;GALK1;GALM;GAPDH;GDF15;GET3;GFUS;GGCT;GHITM;GIPC1;GLOD4;GLRX;GNAI2;GNAS;GNB2;GNG5;GNPDA1;GNPTG;GPX4;GRHPR;GRN;GSS;GSTK1;GSTO1;GSTP1;GUSB;H2AC20;H2AC25;H2AJ;H2AX;H2AZ1;H2AZ2;H3-3A;HEBP1;HEBP2;HINT1;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HNRNPA1;HPD;HPRT1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;HSPB1;HSPE1;HYAL1;IDH2;IGFBP2;IGSF8;ITGB4;ITIH2;ITM2B;ITM2C;JCHAIN;KCNG2;KHK;KLK1;KRT10;KRT2;LAMB1;LAMP1;LAMTOR1;LCK;LDHA;LDHAL6A;LDHB;LGALS1;LGALS3;LGALS3BP;LMAN2;LRRN4;LYPLA2;MARCKSL1;MAT2B;MDH2;MIF;MMRN2;MOGS;MPI;MPST;MVB12A;MYH10;MYL12A;MYL12B;MYL6;MYL6B;NACA;NAGLU;NAPRT;NAXE;NEDD8;NHERF2;NIT2;NME1;NPC2;NT5C;NUCB2;NUDT5;NUTF2;OMD;ORM2;OTUB1;PA2G4;PACSIN3;PARD6B;PARK7;PCBD1;PCYOX1;PDCD2;PDCD5;PDZK1;PEBP1;PFN1;PFN2;PGAP6;PGLS;PGLYRP2;PHPT1;PKD1L3;PLEKHA7;PLPP1;PMEL;PMVK;PODXL;PPA1;PPIA;PPL;PPP1CA;PPP1R7;PPT1;PRDX1;PRDX2;PRDX4;PRDX5;PRDX6;PROCR;PROZ;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC5;PSMD7;PSME1;PSME2;PTGDS;QDPR;RAB13;RAB25;RAB34;RAB4A;RAB5C;RAC1;RAC2;RACK1;RAN;RAP2B;RARRES1;RBP5;RETN;RHOA;RHOG;RIDA;RNASET2;RNH1;RRAS;RUVBL2;S100A10;S100A11;S100A4;S100A6;S100A8;S100A9;S100P;SAT2;SCAMP2;SCAMP3;SCGB1A1;SCRN2;SDF4;SEC14L3;SERBP1;SERPINB1;SERPINB6;SERPINE1;SH3BGRL3;SHMT1;SHMT2;SIT1;SLC12A1;SLC22A5;SLC23A1;SLC25A1;SLC25A3;SLC35F6;SLC3A1;SLC3A2;SLC44A4;SMPD1;SMS;SNF8;SNRPD2;SNX3;SOD1;SRI;SRSF7;SSBP1;SSR4;ST13;STMN1;STXBP2;SUB1;SVIP;SYNGR2;SYPL1;SYTL1;TAGLN2;TALDO1;TAX1BP3;TGM4;THRAP3;TIMP1;TKT;TMC4;TMED9;TMEM109;TMEM256;TMEM59;TOR3A;TPI1;TPRG1L;TPT1;TRMT10A;TSPO;TUBA1A;TUBA4A;TUBB;TUBB4B;TUFM;TWF2;TXN;TXNDC17;UBA52;UBB;UBC;UBE2D2;UBE2V2;UBXN6;UFC1;UPK1B;VAMP5;VAMP8;VASP;VAT1;VDAC1;VDAC3;VIM;VMO1;VPS25;VPS28;VPS4A;YBX1;YWHAB;YWHAH;ZG16B
GO_Cellular_Component_2026,Extracellular Vesicle (GO:1903561),1.1238718204848e-11,2.233371992603236e-09,1.0271013523484699e-11,2.6191084484885983e-09,1.5139804698206192,419,1661,GC-robust,A1BG;ABHD14B;ACAT1;ACP1;ACTB;ACTG1;ACTG2;ADH5;AHSA1;AKR1A1;AKR1B1;AKR1C3;AKR1C4;AKR7A2;ALK;ANGPTL6;ANP32B;ANXA7;AP2M1;APEH;APRT;ARF5;ARF6;ARHGDIB;ARL3;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ASL;ATP1A3;ATP6AP1;ATP6AP2;ATP6V0A4;ATP6V1E1;ATP6V1F;ATP6V1G1;AXL;B3GAT3;B4GALT3;BAX;BLVRB;BRK1;BROX;BSG;BST2;BTG2;C2;CA1;CA6;CACYBP;CALB1;CAMP;CAPG;CAPNS1;CAPZA1;CBR1;CCL28;CCT2;CCT3;CCT7;CCT8;CD37;CD48;CD59;CD63;CD70;CD79B;CD81;CETP;CFD;CFL1;CHID1;CHMP1A;CHMP2A;CHMP3;CHMP5;CHST14;CIB1;CLIC1;CLIC3;CLN5;CMPK1;CNP;COMT;CORO1A;CORO1B;CPB2;CPNE1;CPNE3;CPNE5;CPNE7;CRB2;CRB3;CSNK2B;CST3;CSTB;CTSD;CTSF;CTSL;CUTA;DBI;DCXR;DDAH2;DDT;DDX19B;DNAJA1;DNAJA2;DNAJB9;DNASE2;DNPH1;DPP7;DSTN;DUT;ECH1;EDIL3;EEF1A1;EIF2S3;EIF3E;EIF3H;EIF3I;EIF6;ENO1;EPS8L2;EPX;ESD;F12;F2;FABP3;FABP5;FBL;FBLN5;FCER2;FCGR3A;FLOT1;FTL;FUT2;FUZ;FXYD2;GALK1;GALM;GAPDH;GDF15;GET3;GFUS;GGCT;GHITM;GIPC1;GLOD4;GLRX;GNAI2;GNAS;GNB2;GNG5;GNPDA1;GNPTG;GPX4;GRHPR;GRN;GSS;GSTK1;GSTO1;GSTP1;GUSB;H2AC20;H2AC25;H2AJ;H2AX;H2AZ1;H2AZ2;H3-3A;HEBP1;HEBP2;HINT1;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HNRNPA1;HPD;HPRT1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;HSPB1;HSPE1;HYAL1;IDH2;IGFBP2;IGSF8;ITGB4;ITIH2;ITM2B;ITM2C;JCHAIN;KCNG2;KHK;KLK1;KRT10;KRT2;LAMB1;LAMP1;LAMTOR1;LCK;LDHA;LDHAL6A;LDHB;LGALS1;LGALS3;LGALS3BP;LMAN2;LRRN4;LYPLA2;MARCKSL1;MAT2B;MDH2;MIF;MMRN2;MOGS;MPI;MPST;MVB12A;MYH10;MYL12A;MYL12B;MYL6;MYL6B;NACA;NAGLU;NAPRT;NAXE;NEDD8;NHERF2;NIT2;NME1;NPC2;NT5C;NUCB2;NUDT5;NUTF2;OMD;ORM2;OTUB1;PA2G4;PACSIN3;PARD6B;PARK7;PCBD1;PCYOX1;PDCD2;PDCD5;PDZK1;PEBP1;PFN1;PFN2;PGAP6;PGLS;PGLYRP2;PHPT1;PKD1L3;PLEKHA7;PLPP1;PMEL;PMVK;PODXL;PPA1;PPIA;PPL;PPP1CA;PPP1R7;PPT1;PRDX1;PRDX2;PRDX4;PRDX5;PRDX6;PROCR;PROZ;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC5;PSMD7;PSME1;PSME2;PTGDS;QDPR;RAB13;RAB25;RAB34;RAB4A;RAB5C;RAC1;RAC2;RACK1;RAN;RAP2B;RARRES1;RBP5;RETN;RHOA;RHOG;RIDA;RNASET2;RNH1;RRAS;RUVBL2;S100A10;S100A11;S100A4;S100A6;S100A8;S100A9;S100P;SAT2;SCAMP2;SCAMP3;SCGB1A1;SCRN2;SDF4;SEC14L3;SERBP1;SERPINB1;SERPINB6;SERPINE1;SH3BGRL3;SHMT1;SHMT2;SIT1;SLC12A1;SLC22A5;SLC23A1;SLC25A1;SLC25A3;SLC35F6;SLC3A1;SLC3A2;SLC44A4;SMPD1;SMS;SNF8;SNRPD2;SNX3;SOD1;SRI;SRSF7;SSBP1;SSR4;ST13;STMN1;STXBP2;SUB1;SVIP;SYNGR2;SYPL1;SYTL1;TAGLN2;TALDO1;TAX1BP3;TGM4;THRAP3;TIMP1;TKT;TMC4;TMED9;TMEM109;TMEM256;TMEM59;TOR3A;TPI1;TPRG1L;TPT1;TRMT10A;TSPO;TUBA1A;TUBA4A;TUBB;TUBB4B;TUFM;TWF2;TXN;TXNDC17;UBA52;UBB;UBC;UBE2D2;UBE2V2;UBXN6;UFC1;UPK1B;VAMP5;VAMP8;VASP;VAT1;VDAC1;VDAC3;VIM;VMO1;VPS25;VPS28;VPS4A;YBX1;YWHAB;YWHAH;ZG16B
GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),1.31374823094308e-11,2.233371992603236e-09,2.01245917120688e-11,3.421180591051696e-09,2.1438020339511383,132,404,GC-robust,ACADM;ALAS2;AURKAIP1;BAD;BAX;BCS1L;BNIP1;BOK;C19ORF12;CCDC51;CHCHD1;CIBAR1;CISD1;CISD2;COA3;COA5;COQ10B;COQ4;COQ5;COQ7;CYB5A;CYC1;CYCS;DAP3;DARS2;DMAC1;DNAJC15;DNAJC19;DNAJC30;ECSIT;FIS1;FOXRED1;FUNDC1;FUNDC2;GADD45GIP1;GHITM;GRPEL1;GSDMD;HAX1;HIGD1A;HINT2;IFI27L1;IFI27L2;IFI6;KGD4;LDHB;LGALS3;MCUR1;MFF;MGST3;MICOS10;MICOS13;MIEF2;MOAP1;MPC2;MPV17L2;MTFP1;MTG1;MTLN;NME3;NME4;OCIAD2;PARL;PET100;PGAM5;PGRMC1;PHB2;PIGBOS1;PLD6;PPOX;QTRT1;RAC2;RDH13;ROMO1;SCO1;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A18;SLC25A28;SLC25A3;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SMIM26;SMIM30;SQOR;STAR;STING1;STMP1;STOML2;SURF1;TIMM10;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM14A;TMEM14B;TMEM14C;TMEM177;TMEM223;TMEM70;TOMM20;TOMM22;TOMM40;TOMM5;TOMM7;TSPO;TUFM;UBA52;UBB;UBC;UQCC2;UQCC3;UQCC4;VAT1;VDAC1;VDAC2;VDAC3
GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),7.15997554744365e-11,9.128968822990653e-09,5.081599749891869e-11,6.479039681112133e-09,2.6400262180467555,84,224,GC-robust,ALAS2;AURKAIP1;BCS1L;BOK;CCDC51;CHCHD1;CIBAR1;COA3;COA5;COA8;COQ10B;COQ4;COQ5;COQ7;CYC1;CYCS;DAP3;DMAC1;DNAJC15;DNAJC19;DNAJC30;ECSIT;FOXRED1;GADD45GIP1;GHITM;GRPEL1;HIGD1A;IFI6;KGD4;LDHB;LGALS3;MCUR1;MICOS10;MICOS13;MPC2;MPV17L2;MTFP1;MTG1;MTLN;NME4;OCIAD2;PARL;PET100;PHB2;PPOX;RDH13;ROMO1;SCO1;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A18;SLC25A3;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SQOR;STMP1;STOML2;SURF1;TIMM10;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM177;TMEM223;TMEM70;TOMM40;UQCC2;UQCC3;UQCC4
GO_Cellular_Component_2026,Spliceosomal tri-snRNP Complex (GO:0097526),1.08675565428443e-09,9.237423061417655e-08,2.70603012795053e-09,2.3001256087579506e-07,8.738090105626211,22,33,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;TXNL4A;TXNL4B;USP39;ZMAT2
GO_Cellular_Component_2026,U4/U6 X U5 tri-snRNP Complex (GO:0046540),1.08675565428443e-09,9.237423061417655e-08,2.70603012795053e-09,2.3001256087579506e-07,8.738090105626211,22,33,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;TXNL4A;TXNL4B;USP39;ZMAT2
GO_Biological_Process_2026,Protein-RNA Complex Assembly (GO:0022618),1.6654357118643197e-11,9.475298763081649e-08,1.84946879047056e-10,5.494771776488034e-07,3.021849219102687,64,157,GC-robust,ABT1;BRIX1;CELF4;CLP1;COIL;DENR;EIF2S3;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF3K;EIF3L;EIF3M;EIF6;ERAL1;FAU;GEMIN2;GEMIN6;HSP90AA1;HSP90AB1;ISY1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;MCTS1;NOP53;PDCD7;PHF5A;PRPF31;PTGES3;PUF60;RBM42;RRS1;SCNM1;SF3B5;SF3B6;SNRNP25;SNRNP27;SNRNP35;SNRPA;SNRPB;SNRPB2;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;SRSF10;SRSF6;STRAP;TSSC4;TXNL4A;TXNL4B;USP39
GO_Biological_Process_2026,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),3.1892624581224e-11,9.475298763081649e-08,1.49581251551936e-10,5.494771776488034e-07,5.776853932584269,33,58,GC-robust,ATP23;BCS1L;CMC1;COA3;COA5;COA6;COA8;DMAC1;DMAC2;ECSIT;FMC1;FOXRED1;FXN;HIGD1A;HIGD1B;HIGD2A;LYRM2;MTLN;OCIAD2;PET100;PET117;RAB5IF;SCO1;SMIM20;STMP1;SURF1;TMEM126A;TMEM126B;TMEM223;TMEM70;UQCC2;UQCC3;UQCC4
GO_Cellular_Component_2026,Precatalytic Spliceosome (GO:0071011),1.84815035538735e-08,1.3465095446393551e-06,5.75903081158976e-08,4.195865305586825e-06,4.707732155606103,28,54,GC-robust,LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;MAGOHB;MFAP1;PHF5A;PRPF31;RBMX2;RNF113A;SF3B5;SNRNP27;SNRNP35;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;TXNL4A;WBP4;ZMAT2
GO_Cellular_Component_2026,U2-type Precatalytic Spliceosome (GO:0071005),4.98693164252753e-08,3.1791689221113007e-06,1.58852732901523e-07,1.0126861722472092e-05,4.7341783531103925,26,50,GC-robust,LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;MAGOHB;MFAP1;PHF5A;PRPF31;RBMX2;RNF113A;SF3B5;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;TXNL4A;WBP4;ZMAT2
