"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::Mitochondrial Inner Membrane (GO:0005743)",5.4938481835584e-37,161,316,6.50926272893127e-37,"GO_Cellular_Component_2026",2.80186257361478e-34,3.31972399175495e-34,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)",4.45042037425425e-34,56,62,1.75771132605116e-33,"GO_Biological_Process_2026",2.64621995453158e-30,1.04513515447002e-29,"GC-robust"
"GO_Cellular_Component_2026::Mitochondrial Membrane (GO:0031966)",1.08199937445417e-32,209,496,2.94714318907734e-32,"GO_Cellular_Component_2026",2.75909840485814e-30,7.51521513214722e-30,"GC-robust"
"GO_Biological_Process_2026::Aerobic Electron Transport Chain (GO:0019646)",1.55592930189116e-32,55,62,5.96748898116206e-32,"GO_Biological_Process_2026",4.62577781452241e-29,1.18275631606632e-28,"GC-robust"
"GO_Biological_Process_2026::Proton Motive Force-Driven ATP Synthesis (GO:0015986)",2.98044940303443e-32,54,60,3.90814518831419e-32,"GO_Biological_Process_2026",5.90725071681424e-29,1.16189156448581e-28,"GC-robust"
"GO_Biological_Process_2026::Oxidative Phosphorylation (GO:0006119)",5.13347213338082e-31,53,60,1.27867061860802e-30,"GO_Biological_Process_2026",7.63090632627059e-28,1.59669671650878e-27,"GC-robust"
"GO_Biological_Process_2026::Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)",1.06247497705132e-30,49,53,1.3426645782953e-30,"GO_Biological_Process_2026",1.26349524270943e-27,1.59669671650878e-27,"GC-robust"
"GO_Biological_Process_2026::Cellular Respiration (GO:0045333)",6.46217210341116e-30,63,81,1.00048701856338e-29,"GO_Biological_Process_2026",6.40401255448046e-27,9.9148263539631e-27,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",2.16125311772246e-19,31,34,2.61906981617296e-19,"GO_Biological_Process_2026",1.83583014828254e-16,2.22471273242349e-16,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)",8.63322257670703e-19,55,90,4.04479534215758e-18,"GO_Biological_Process_2026",6.4166426801375e-16,3.00629413805862e-15,"GC-robust"
"GO_Biological_Process_2026::Aerobic Respiration (GO:0009060)",7.23921708341408e-15,57,109,1.67831067101136e-14,"GO_Biological_Process_2026",4.78270941977557e-12,1.10880391664817e-11,"GC-robust"
"GO_Biological_Process_2026::Protein-RNA Complex Assembly (GO:0022618)",5.34811346432447e-11,64,157,5.55076579005398e-10,"GO_Biological_Process_2026",3.17998826588733e-08,3.3004853387661e-07,"GC-robust"
"GO_Cellular_Component_2026::Extracellular Exosome (GO:0070062)",7.53086943861615e-11,420,1647,8.48223890270305e-11,"GO_Cellular_Component_2026",1.28024780456475e-08,1.44198061345952e-08,"GC-robust"
"GO_Cellular_Component_2026::Extracellular Vesicle (GO:1903561)",2.2713830627757e-10,421,1663,2.34207470801033e-10,"GO_Cellular_Component_2026",2.89601340503902e-08,2.98614525271317e-08,"GC-robust"
"GO_Cellular_Component_2026::Spliceosomal tri-snRNP Complex (GO:0097526)",1.84954799337429e-09,22,33,4.45609540800642e-09,"GO_Cellular_Component_2026",1.57211579436815e-07,3.78768109680546e-07,"GC-robust"
