,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
3194,GO_Molecular_Function_2023,GTPase Regulator Activity (GO:0030695),3.552676512831287e-11,2.1031844955961218e-08,0,0,2.8576217360621032,68.75647862507414,USP6NL;DOCK4;TRIO;DENND1A;ITSN1;FAM13A;SIPA1L2;ARHGAP4;RCBTB2;PREX1;AKAP13;DOCK11;TAGAP;TBC1D22A;SBF2;TBC1D10A;RALGPS1;PLEKHG2;ARHGEF12;RALGAPA2;TBC1D8;ARHGEF18;TBC1D9;ARAP1;VAV2;OBSCN;RALGAPB;TBC1D5;RASA1;RAPGEF1;ELMO1;SMCR8;ARHGEF2;DENND6A;PLCB1;DOCK2;MYCBP2;AGAP2;DENND3;ASAP1;ARHGAP15;ARHGAP21;CYTH4;TBC1D14;STXBP5;EIF2B5;GIT2;ARFGEF2;RANBP3;DENND4B;TNK2;TBCD;MYO9A;ARHGAP25;ARHGAP24;CCDC88A;DNMBP;CCDC88C;SGSM2;NF1;RGS12;LAMTOR1;SERGEF
4069,MSigDB_Hallmark_2020,Mitotic Spindle,2.054875717587585e-07,1.0274378587937926e-05,0,0,2.901731446224585,44.68051342208827,NOTCH2;DOCK4;TRIO;NUMA1;ITSN1;PXN;NEDD9;KLC1;SMC4;ARHGAP4;PREX1;ABR;AKAP13;BCL2L11;ARHGDIA;CNTRL;STK38L;CEP250;CEP192;RICTOR;PCNT;CDK5RAP2;DYNC1H1;SUN2;ARHGEF12;PLEKHG2;TBCD;CSNK1D;NET1;CCDC88A;NIN;RASA1;TAOK2;NF1;ARHGEF2;MAPRE1;DOCK2
3195,GO_Molecular_Function_2023,Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),6.633967120716187e-07,0.00019636542677319913,0,0,3.0058633152197243,42.76108889285713,DOCK4;TRIO;DENND1A;ITSN1;MYCBP2;DENND3;RCBTB2;PREX1;AKAP13;DOCK11;CYTH4;SBF2;RALGPS1;EIF2B5;ARFGEF2;ARHGEF12;PLEKHG2;DENND4B;ARHGEF18;VAV2;CCDC88A;OBSCN;DNMBP;CCDC88C;RAPGEF1;ELMO1;SMCR8;ARHGEF2;LAMTOR1;DENND6A;SERGEF;DOCK2
3196,GO_Molecular_Function_2023,GTPase Activator Activity (GO:0005096),4.477121916283574e-06,0.0008834853914799586,0,0,2.757230934409162,33.95951792695174,USP6NL;FAM13A;AGAP2;ASAP1;SIPA1L2;ARHGAP15;ARHGAP4;PREX1;ARHGAP21;TAGAP;TBC1D14;STXBP5;TBC1D22A;TBC1D10A;GIT2;RANBP3;RALGAPA2;TBCD;TBC1D8;TBC1D9;ARAP1;MYO9A;ARHGAP25;ARHGAP24;RALGAPB;TBC1D5;RASA1;SGSM2;NF1;RGS12;PLCB1
3197,GO_Molecular_Function_2023,Kinase Binding (GO:0019900),1.5232362006468578e-05,0.0022543895769573494,0,0,2.049496851756739,22.733200078984947,DGKD;CLTC;PRKAG2;PTPN22;AP2A2;TTC28;IKBKB;RPTOR;EIF4ENIF1;ZFYVE26;PRKACA;JAK2;TRIM22;CDK5RAP2;PARP6;AP1B1;VRK2;TOM1L2;SMCR8;ATF5;UTRN;MAPRE1;SP100;DCTN1;AGAP2;HTT;HIF1A;HDAC9;RELA;TTN;BAG5;RNF138;TBC1D14;RICTOR;CEP192;PLCG1;RAB11FIP2;MAP3K2;NEK9;MAP3K1;SMAD3;NEK6;CEP152;RCC2;NBEAL2;WARS1;POLA1;MAVS;TRIM38;BCL2L1
3198,GO_Molecular_Function_2023,Protein Kinase Binding (GO:0019901),2.930972940483247e-05,0.0034702719615321647,0,0,1.976420872121509,20.629072777157674,RNF13;CLTC;PRKAG2;AP2A2;IKBKB;RPTOR;ZFYVE26;PRKACA;JAK2;TRIM22;CDK5RAP2;ACVR1;PRKCB;DUSP1;AP1B1;VRK2;MAPK8IP3;TOM1L2;PRKD2;SMCR8;UTRN;MAPRE1;DCTN1;AGAP2;NEDD9;HIF1A;HDAC9;RELA;TTN;BAG5;RNF138;TBC1D14;RICTOR;CEP192;PLCG1;RAB11FIP2;MAP3K2;NEK9;MAP3K1;SMAD3;NEK6;CEP152;RCC2;NBEAL2;WARS1;CCDC88A;POLA1;MAVS;TAOK2;TRIM38;BCL2L1
3199,GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),0.0003304213909522729,0.03260157724062426,0,0,1.9314119218384076,15.480540381046781,SMG1;CAMK2D;PRKAA1;MAST3;TTN;IKBKB;GRK3;RPS6KA2;GRK6;MAP3K20;STK38L;PTK2B;PRKACA;MAP3K4;ACVR1;MAP3K2;MAP3K3;NEK9;MAP3K1;PRKCB;NEK6;MINK1;EIF2AK3;CSNK1D;VRK2;MASTL;MTOR;HIPK2;CLK2;CLK1;PIKFYVE;TAOK2;BMP2K;PRKD2;ATM;ALPK1;CDK14;MAP3K14;ATR
3,GO_Biological_Process_2023,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),4.352962053375824e-05,0.03475840199620595,0,0,3.2598097317529633,32.735233991658816,TRIO;ARHGEF12;FAM13A;ITSN1;ARAP1;ARHGAP15;CYRIB;ARHGAP25;MYO9A;ARHGAP4;VAV2;PREX1;ARHGAP21;AKAP13;OBSCN;DNMBP;TAGAP;ARHGEF2;DOCK2
0,GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030949),1.591875121494808e-05,0.03475840199620595,0,0,59.516129032258064,657.5349566580527,PRKCB;GRB10;PRKD2;ITGA5;HIF1A
1,GO_Biological_Process_2023,Vacuolar Transport (GO:0007034),2.5214428559374365e-05,0.03475840199620595,0,0,5.317924641868304,56.30668687269826,LRP1;AP1G2;NPC1;VPS53;VPS13C;VPS52;VPS8;VPS13D;VPS41;M6PR;ARSB;IGF2R
2,GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),3.581875776015706e-05,0.03475840199620595,0,0,11.922413793103448,122.0502130903452,NIBAN2;PRKCB;HGS;GRB10;PRKD2;ITGA5;HIF1A
3200,GO_Molecular_Function_2023,RNA Polymerase III Type 3 Promoter Sequence-Specific DNA Binding (GO:0001006),0.0004826020264897995,0.04081434281170876,0,0,23.778732545649838,181.58196824618875,RPTOR;SNAPC4;MTOR;ZFP36L2
