Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Molecular_Function_2026,GTPase Regulator Activity (GO:0030695),3.95953064395812e-12,5.487909472525954e-09,1.01727001893091e-11,1.4099362462382412e-08,1.8672784173388148,100,432,GC-robust,ABR;AGAP9;AKAP13;ALS2;ARAP1;ARAP2;ARFGAP1;ARFGEF2;ARHGAP15;ARHGAP21;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP35;ARHGAP6;ARHGEF12;ARHGEF18;ARHGEF2;ASAP1;BCR;CCDC88A;CCDC88C;CDC42EP2;CHN2;CPEB2;CYTH4;DENND1A;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;DOCK4;DOCK5;DOCK8;ELMO1;ELMO2;FARP2;GIT2;GNAQ;GPSM1;HERC2;IQSEC1;ITSN1;LRRK2;MCF2L;MYCBP2;MYO9A;MYO9B;NCKAP1L;NET1;NF1;OBSCN;PLCB1;PLCG1;PLEKHG2;PLXNB1;PREX1;RAB3GAP2;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RAP1GAP;RAPGEF1;RASA1;RASA3;RGS12;RGS5;RHOF;RIN3;RMC1;RPGR;SBF1;SBF2;SERGEF;SGSM2;SIPA1L2;SMCR8;STARD13;STARD8;STXBP5;STXBP5L;TBC1D14;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBC1D9;TBCD;TBCK;TNK2;TRIO;USP6NL;VAV2;VAV3
GO_Molecular_Function_2026,GTPase Activator Activity (GO:0005096),1.4732924664800802e-09,1.0209916792706955e-06,2.8115103962031703e-09,1.948376704568797e-06,2.215501664289111,56,212,GC-robust,ABR;AGAP9;ALS2;ARAP1;ARAP2;ARFGAP1;ARHGAP15;ARHGAP21;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP35;ARHGAP6;ASAP1;BCR;CDC42EP2;CHN2;GIT2;GNAQ;LRRK2;MYO9A;MYO9B;NCKAP1L;NF1;PLCB1;PLXNB1;PREX1;RAB3GAP2;RALGAPA2;RALGAPB;RAP1GAP;RASA1;RASA3;RGS12;RGS5;SGSM2;SIPA1L2;SMCR8;STARD13;STARD8;STXBP5;STXBP5L;TBC1D14;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBC1D9;TBCD;TBCK;USP6NL;VAV3
GO_Biological_Process_2026,Regulation of Intracellular Signal Transduction (GO:1902531),1.83563215994125e-07,0.0010914668823010672,3.24900228753213e-07,0.0019318567601666046,1.6954552922331294,69,320,GC-robust,ABR;ACVR1;AKAP13;APP;ARAP1;ARHGAP15;ARHGAP21;ARHGAP26;ARHGAP31;ARHGAP35;ARHGAP6;ARHGEF12;ARHGEF2;ATM;BCR;CAPN3;CARD9;CHN2;DNMBP;DOCK2;DOCK8;EP300;GNA12;GRAP;HIPK2;ITGAV;ITPR1;ITSN1;KAT6A;LRRK2;MALT1;MCF2L;MINK1;MTOR;MYO9A;MYO9B;NET1;NF1;OBSCN;PAK4;PIP5K1C;PLCG2;PPM1A;PPP2CA;PREX1;PRMT5;PTPN13;RASA1;RASA3;RASSF2;RHOF;RICTOR;SGMS1;SLA;SLC8A1;STARD13;STRIP1;TAB2;TAB3;TAF1;TBCK;TRAF4;TRIO;TTI1;USP7;VAV2;VAV3;VEGFA;VRK2
GO_Molecular_Function_2026,Guanyl-nucleotide Exchange Factor Activity (GO:0005085),7.29438681767786e-06,0.0033700067097671713,8.44628170484914e-06,0.0039021821476403025,1.7583668821926721,48,216,GC-robust,ABR;AKAP13;ALS2;ARFGEF2;ARHGEF12;ARHGEF18;ARHGEF2;BCR;CCDC88A;CCDC88C;CYTH4;DENND1A;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;DOCK4;DOCK5;DOCK8;ELMO1;ELMO2;FARP2;HERC2;IQSEC1;ITSN1;MCF2L;MYCBP2;NET1;OBSCN;PLCG1;PLEKHG2;PREX1;RAB3GAP2;RABGEF1;RALGPS1;RAPGEF1;RHOF;RIN3;RMC1;RPGR;SBF1;SBF2;SERGEF;SMCR8;TRIO;VAV2;VAV3
GO_Biological_Process_2026,Regulation of Small GTPase Mediated Signal Transduction (GO:0051056),1.15020376333003e-06,0.0034195557883801796,1.38891604914743e-06,0.004129247414115309,2.104200195651488,40,157,GC-robust,ABR;AKAP13;ARAP1;ARFGAP1;ARHGAP15;ARHGAP21;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP35;ARHGAP6;ARHGEF12;ARHGEF18;ARHGEF2;BCR;CHN2;DENND1A;DENND3;DNMBP;DOCK11;DOCK2;DOCK8;GIT2;ITGAV;ITSN1;MCF2L;MYO9A;MYO9B;NET1;OBSCN;OGT;PREX1;RALGPS1;RHOF;SRC;STARD13;STARD8;TRIO;VAV2;VAV3
GO_Biological_Process_2026,Negative Regulation of Autophagy (GO:0010507),3.13590423853688e-06,0.006215362200780096,2.99363936834487e-06,0.0059333932280595325,3.2253389830508477,21,61,GC-robust,BCL2L1;DAP;EIF4G1;EIF4G2;EP300;KDM4A;LEPR;LRRK2;MET;MTMR8;MTOR;PINK1;QSOX1;RPTOR;SMCR8;SNRNP70;STK38L;TAB2;TAB3;TBC1D14;WDR6
GO_Biological_Process_2026,Phosphatidylinositol Metabolic Process (GO:0046488),1.25077710852205e-05,0.01859280171818027,1.22491431200442e-05,0.018208351247945703,2.8663088512241055,21,66,GC-robust,INPP4A;INPP5D;INPP5F;MTM1;MTMR1;MTMR14;MTMR3;MTMR8;PI4KA;PIKFYVE;PIP5K1C;PITPNM3;PLCB1;PLCG1;PLCG2;PLCH2;PLCL2;PLEKHA8;SBF1;SYNJ1;VAC14
GO_Molecular_Function_2026,Small GTPase Binding (GO:0031267),6.03031536121102e-05,0.02039568500798854,7.16679487450322e-05,0.019866355392122927,1.662692496093764,43,202,GC-robust,ABCA1;AKAP13;ALS2;ANKFY1;AP1G1;ARHGEF2;CDC42EP2;DMXL2;DOCK2;DOCK4;DOCK5;EHBP1;EXOC2;EXOC5;EXOC8;FLNA;GIT2;HACE1;IPO8;KNTC1;LRRK2;MICALL2;MYCBP2;MYO5A;MYO9B;NDRG1;PLEKHA8;PLEKHG2;PPP6R1;RAB11FIP4;RAB3GAP2;RABGEF1;RANBP3;RAP1GAP;RIN3;RPTOR;SGSM2;SORL1;UNC13B;USP6NL;VPS39;WDR44;XPO5
GO_Molecular_Function_2026,Bitter Taste Receptor Activity (GO:0033038),7.35775072438259e-05,0.02039568500798854,5.92870873970886e-05,0.019866355392122927,18.384810126582277,6,8,GC-robust,TAS2R13;TAS2R30;TAS2R31;TAS2R4;TAS2R43;TAS2R46
GO_Cellular_Component_2026,Early Endosome (GO:0005769),0.0001419921150666,0.038408326146189,0.0001490495914447,0.034716048604312,1.4528443393103283,56,293,GC-robust,ABCB6;ALS2;ANKFY1;AP1B1;AP1G1;AP3B1;APP;ARAP1;ATP11B;ATP13A3;ATP13A4;DAGLA;DNAJC13;DOP1B;ECE1;ECPAS;EHD4;HGS;HLA-A;HLA-B;HLA-G;HPS3;HTT;IGF2R;INPP5F;KCNQ1;KIF16B;LDLRAD4;LMTK2;LNPEP;LRP1;MARCHF8;MVB12B;MYO5A;PIKFYVE;PLA2G4B;RABGEF1;RAPGEF1;RIN3;SLC2A13;SLC9A9;SNX13;SORL1;TBC1D2B;TBC1D3;TBCK;TMEM63A;VAC14;VPS11;VPS8;WASHC4;WASHC5;WDR81;WDR91;ZFYVE16;ZFYVE26
