Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Molecular_Function_2026,GTPase Regulator Activity (GO:0030695),1.81935746059295e-14,2.517990725460643e-11,1.40182950524548e-13,1.9401320352597443e-10,2.344122718380767,168,429,GC-robust,ABR;ACAP2;AGAP2;AGAP4;AKAP13;ALS2CL;ARAP1;ARAP2;ARF4;ARFGAP1;ARFGEF1;ARFGEF2;ARHGAP10;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP33;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGAP9;ARHGEF1;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF2;ARHGEF38;ARHGEF6;ARHGEF7;ARL2BP;ARRB1;ASAP1;BCR;CCDC88A;CCDC88C;CDC42SE1;CHN2;CPEB2;CYTH1;CYTH4;DAB2IP;DENND1A;DENND1B;DENND3;DENND4A;DENND4C;DIS3;DNMBP;DOCK1;DOCK10;DOCK11;DOCK2;DOCK4;DOCK5;DOCK8;DOCK9;EIF2B5;ELMO1;ELMO2;ELMOD2;FAM13A;FARP2;GAPVD1;GBF1;GIT2;GMIP;GNAQ;GPSM1;HERC1;HERC2;HPS4;IPO7;IQGAP2;IQSEC1;ITSN1;LLGL1;LRRK2;MADD;MCF2;MCF2L;MCF2L2;MON2;MYCBP2;MYO9A;MYO9B;NCKAP1L;NET1;NF1;OBSCN;PLCB1;PLCG1;PLEKHG1;PLEKHG2;PLXNB1;PREX1;RAB3GAP1;RAB3GAP2;RAB3IP;RABGAP1;RABGAP1L;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RALGPS2;RAP1GAP;RAPGEF1;RAPGEF2;RAPGEF6;RASA1;RASA3;RASGEF1B;RASGRF2;RASGRP1;RASGRP3;RCBTB2;RGS12;RGS13;RGS5;RHOF;RIC8B;RIN3;RMC1;RPGR;SBF1;SBF2;SERGEF;SGSM1;SGSM2;SH3BP5;SIPA1L1;SIPA1L2;SIRPA;SMCR8;SRGAP3;STARD13;STARD8;STXBP5;STXBP5L;SYDE2;SYNGAP1;TBC1D1;TBC1D14;TBC1D15;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBC1D8B;TBC1D9B;TBCD;TBCK;TNK2;TRIO;TSFM;USP6NL;VAV2;VAV3
GO_Molecular_Function_2026,GTPase Activator Activity (GO:0005096),1.29582160829555e-09,8.967085529405206e-07,2.77234873463382e-09,1.9184653243666034e-06,2.584523792877906,88,211,GC-robust,ABR;ACAP2;AGAP2;AGAP4;ARAP1;ARAP2;ARFGAP1;ARFGEF1;ARHGAP10;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP33;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGAP9;ARHGEF6;ARRB1;ASAP1;BCR;CHN2;DAB2IP;DOCK1;ELMOD2;FAM13A;GIT2;GMIP;GNAQ;IQGAP2;LLGL1;LRRK2;MYO9A;MYO9B;NCKAP1L;NF1;PLCB1;PLXNB1;PREX1;RAB3GAP1;RAB3GAP2;RABGAP1;RABGAP1L;RALGAPA2;RALGAPB;RAP1GAP;RAPGEF2;RASA1;RASA3;RASGRP3;RGS12;RGS13;RGS5;SGSM1;SGSM2;SIPA1L1;SIPA1L2;SMCR8;SRGAP3;STARD13;STARD8;STXBP5;STXBP5L;SYDE2;SYNGAP1;TBC1D1;TBC1D14;TBC1D15;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBC1D8B;TBC1D9B;TBCD;TBCK;USP6NL;VAV3
GO_Molecular_Function_2026,Guanyl-nucleotide Exchange Factor Activity (GO:0005085),1.7994998338709e-08,8.301692566924419e-06,7.49545491118189e-08,3.4579031990252456e-05,2.3781838316722035,85,214,GC-robust,ABR;AKAP13;ALS2CL;ARF4;ARFGEF1;ARFGEF2;ARHGEF1;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF2;ARHGEF38;ARHGEF6;ARHGEF7;BCR;CCDC88A;CCDC88C;CYTH1;CYTH4;DENND1A;DENND1B;DENND3;DENND4A;DENND4C;DIS3;DNMBP;DOCK1;DOCK10;DOCK11;DOCK2;DOCK4;DOCK5;DOCK8;DOCK9;EIF2B5;ELMO1;ELMO2;FARP2;GAPVD1;GBF1;HERC1;HERC2;HPS4;IQSEC1;ITSN1;MADD;MCF2;MCF2L;MCF2L2;MON2;MYCBP2;NET1;OBSCN;PLCG1;PLEKHG1;PLEKHG2;PREX1;RAB3GAP1;RAB3GAP2;RAB3IP;RABGEF1;RALGPS1;RALGPS2;RAPGEF1;RAPGEF2;RAPGEF6;RASGEF1B;RASGRF2;RASGRP1;RASGRP3;RCBTB2;RHOF;RIC8B;RIN3;RMC1;RPGR;SBF1;SBF2;SERGEF;SH3BP5;SMCR8;TRIO;TSFM;VAV2;VAV3
GO_Biological_Process_2026,Positive Regulation of DNA-templated Transcription (GO:0045893),8.38473524714163e-09,4.981371210326843e-05,7.38355661390523e-08,0.0004062720695567228,1.592347825036674,317,1045,GC-robust,ACTN4;ACVR1;AGO2;AGRN;AKAP8L;AKNA;APP;ARF4;ARHGEF11;ARHGEF2;ARID1A;ARID1B;ARNT;ARRB1;ASPH;ASXL2;ATF2;ATF6;ATM;ATXN7;BCAS3;BCL3;BCL9L;BCLAF1;BCLAF3;BDP1;BLM;BMAL1;BMAL2;BPTF;BRPF1;CAMK4;CAMTA2;CAPN3;CAPRIN2;CARM1;CASZ1;CCNC;CCNK;CD38;CDC73;CDK5RAP2;CDK8;CEBPA;CEP290;CHD3;CHD4;CHD6;CHD8;CHUK;CIITA;CRAMP1;CREB5;CREBBP;CRTC1;CRTC3;CSRNP1;CTBP2;CTNNB1;DAB2IP;DDX17;DDX3X;DHX9;DLL1;DNAJC2;DOT1L;DYRK1A;E2F3;ECD;EDRF1;EFCAB7;EIF2AK3;EIF4A1;ELK4;EP300;EP400;EPAS1;EPC2;ERCC6;ESR1;ETS1;FBXW11;FLI1;FOSL2;FOXJ3;FUBP3;GABPA;GNL3;GTF2A1;GTF2I;HCFC1;HDAC4;HDAC5;HEATR1;HIF1A;HIPK2;HIVEP3;HNRNPD;HNRNPU;ICE1;ICE2;IKBKB;IKBKG;IL26;ILF3;INHBA;IRF8;ITGA6;JAK2;KANSL2;KANSL3;KAT2B;KAT5;KAT6A;KAT6B;KDM1A;KDM3A;KDM4C;KDM5A;KDM6B;KLF7;KMT2A;KMT2C;KMT2D;KMT2E;LBHD1;LIN54;LMO7;LPIN1;LPIN2;MAML2;MAML3;MAP2K5;MAP3K12;MAP3K5;MAPRE3;MAVS;MAX;MAZ;MBTPS2;MC1R;MCM3AP;MED12;MED12L;MED13L;MED24;MED25;MED4;MEF2A;MEF2D;MET;MICAL2;MLLT10;MRTFB;MSANTD1;MSL3;MTA2;MTOR;MYBBP1A;MYRF;MYSM1;NAA15;NAMPT;NCK2;NCOA2;NCOA6;NFATC1;NFATC2;NFATC3;NFE2L1;NFIA;NFKB1;NFKB2;NFYA;NFYC;NGFR;NIBAN2;NLRC5;NLRP3;NOD2;NOTCH1;NOTCH2;NPAT;NR2C2;NR3C1;NR4A1;NR4A3;NRF1;OGT;PAXBP1;PBX2;PBX3;PCBP1;PCGF3;PCGF5;PELP1;PER1;PHIP;PIAS1;PICALM;PID1;PIK3R1;PKD1;PLCB1;PPARD;PPM1A;PPP1R12A;PPP3CA;PRDM10;PRDM11;PRDM15;PRDM16;PRDM2;PRDM4;PRKAA1;PRKDC;PRKN;PURB;QRICH1;RAI1;RARA;RBM14;RELA;RFX3;RFX5;RFX7;RGMA;RGMB;RHOQ;RIPK2;RNF14;RNF20;RNF40;RORA;RPTOR;RREB1;RUNX1;RUNX2;RXRA;RYBP;SBNO2;SCAF8;SEC14L2;SETD7;SETX;SF3B1;SF3B3;SFPQ;SKAP1;SKI;SLC9A1;SMAD2;SMAD3;SMAD4;SMARCA2;SMARCA4;SMARCA5;SMARCAD1;SMARCC2;SNW1;SP1;SP100;SP3;SRCAP;SREBF1;SRF;SS18L1;SSBP2;SSBP3;STAT1;STAT4;STAT6;SUPT20H;SUPT7L;TAF1;TAF2;TAF4;TAF6;TASP1;TBK1;TBL1X;TCERG1;TCF12;TCF20;TCF4;TET2;TET3;TFEC;TLR2;TMF1;TNIP1;TNKS;TP53BP1;TP53INP1;TP53INP2;TRERF1;TRIM44;TRRAP;UBE2E1;UBP1;UBTF;USP16;UTP15;VDR;VEGFA;WDR43;WDR75;WWOX;XPC;ZEB2;ZFHX3;ZMIZ1;ZMIZ2;ZNF318;ZNF516;ZNF746;ZXDC
GO_Molecular_Function_2026,Protein Serine/Threonine Kinase Activity (GO:0004674),2.50572877484565e-07,8.66982156096595e-05,4.97098784141417e-07,0.0001719961793129303,1.9621283201103827,121,344,GC-robust,AAK1;ACVR1;AKT3;ALPK1;ATM;ATR;BCR;BMP2K;BUB1;CAMK1D;CAMK2A;CAMK2D;CAMK2G;CAMK4;CASK;CCNK;CDC42BPA;CDC42BPB;CDC42BPG;CDC7;CDK11B;CDK14;CDK16;CDK6;CDK8;CHUK;CLK1;CLK2;CLK3;CLK4;CSNK1D;CSNK1G2;CSNK1G3;DAPK1;DYRK1A;EIF2AK3;FAM20C;FYN;GAK;GRK3;GRK5;HIPK2;HIPK3;HUNK;IKBKB;IRAK3;LATS2;LMTK2;LRRK2;MAK;MAP3K1;MAP3K12;MAP3K14;MAP3K2;MAP3K20;MAP3K4;MAP3K5;MAP3K7;MAP3K9;MAP4K3;MAP4K5;MAPK14;MAPK8;MAPKAP1;MAPKAPK2;MARK2;MAST4;MASTL;MINK1;MTOR;NEK10;NEK11;NEK6;NEK7;NEK9;NLK;NRBP2;OXSR1;PAK4;PDK1;PIK3R4;PIKFYVE;PINK1;PKN2;PRKAA1;PRKCA;PRKCB;PRKCD;PRKCE;PRKCH;PRKCQ;PRKCZ;PRKD3;PRKDC;PRP4K;PTK2B;RICTOR;RIPK2;ROCK1;ROCK2;RPTOR;SIK1;SLK;SMG1;SNRK;STK24;STK26;STK3;STK36;STK38L;STK39;TAF1;TAOK2;TBK1;TNIK;TOP1;TRIO;TRPM7;TTN;ULK1;VRK2
GO_Biological_Process_2026,Regulation of Small GTPase Mediated Signal Transduction (GO:0051056),7.0243626553077e-08,0.00020865869267591524,1.36768917541398e-07,0.0004062720695567228,2.642651443070092,66,156,GC-robust,ABR;AKAP13;ARAP1;ARFGAP1;ARHGAP10;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGAP9;ARHGEF1;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF2;BCR;CD2AP;CHN2;CYRIB;DENND1A;DENND3;DENND4A;DENND4C;DNMBP;DOCK10;DOCK11;DOCK2;DOCK8;DOCK9;FAM13A;GIT2;GMIP;ITGAV;ITSN1;KANK1;MADD;MCF2;MCF2L;MYO9A;MYO9B;NET1;OBSCN;OGT;PKP4;PLEKHG1;PREX1;RALGPS1;RALGPS2;RASGRF2;RHOF;SRC;SRGAP3;STARD13;STARD8;SYDE2;TRIO;VAV2;VAV3
GO_Biological_Process_2026,Regulation of Intracellular Signal Transduction (GO:1902531),3.48940051251241e-07,0.0006690346185468951,8.57768176721924e-07,0.0012740001844762376,1.9839117063604093,112,316,GC-robust,ABR;ACVR1;AKAP13;AKAP6;APP;ARAP1;ARHGAP10;ARHGAP15;ARHGAP21;ARHGAP22;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGAP9;ARHGEF1;ARHGEF11;ARHGEF12;ARHGEF2;ATM;BCL3;BCR;CAPN3;CARD9;CEACAM1;CHN2;CLEC6A;CMKLR1;CYLD;DAB2IP;DLG1;DNMBP;DOCK2;DOCK8;EP300;EZR;FAM13A;GMIP;GNA12;GRAP;GRAP2;HIPK2;ITFG2;ITGAV;ITPR1;ITSN1;KAT6A;LRRK2;MALT1;MAP3K7;MCF2;MCF2L;MINK1;MTOR;MYO9A;MYO9B;NET1;NF1;NOP2;OBSCN;PAK4;PDE3B;PECAM1;PIP5K1C;PLCG2;PLEKHG1;PPM1A;PPP2CA;PRDM11;PREX1;PRMT5;PTPN11;PTPN13;PTPN22;RASA1;RASA3;RASGRF2;RASSF2;RHOF;RICTOR;SGMS1;SHOC2;SLA;SLC8A1;SNW1;SRGAP3;STARD13;STK3;STRIP1;STRN;STRN4;SYDE2;SYNGAP1;TAB2;TAB3;TAF1;TBCK;TNIK;TRAF1;TRAF4;TRAF5;TRIO;TTI1;USP2;USP7;VAV2;VAV3;VEGFA;VRK2
GO_Biological_Process_2026,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),4.50452528898768e-07,0.0006690346185468951,2.98104555150343e-06,0.0035420783242963755,1.5828974150862416,242,798,GC-robust,ACTN4;ACVR1;AGO2;AGRN;AKAP8L;AKNA;APP;ARF4;ARHGEF2;ARNT;ARRB1;ASXL2;ATF2;ATF6;ATM;ATXN7;BCAS3;BCL9L;BCLAF1;BCLAF3;BMAL1;BMAL2;BPTF;CAMTA2;CAPRIN2;CASZ1;CCNC;CCNK;CDC73;CDK8;CEBPA;CHD6;CHD8;CHUK;CIITA;CREBBP;CRTC1;CRTC3;CSRNP1;CTBP2;CTNNB1;DAB2IP;DDX17;DDX3X;DHX9;DLL1;DOT1L;E2F3;ECD;EFCAB7;EIF4A1;ELK4;ELL2;EP300;EPAS1;ERCC6;ESR1;ETS1;FOSL2;FOXJ3;FUBP3;GABPA;GTF2A1;GTF2I;HCFC1;HDAC4;HDAC5;HIF1A;HIPK2;HNRNPD;HNRNPU;ICE1;ICE2;IKBKB;IKBKG;IL26;INHBA;IRF8;ITGA6;JAK2;KANSL3;KAT2B;KAT5;KDM1A;KDM4C;KDM6B;KLF7;KMT2A;KMT2C;KMT2D;LIN54;LMO7;LPIN1;LPIN2;MAML2;MAML3;MAP2K5;MAVS;MAX;MBTPS2;MC1R;MCM3AP;MED12;MED12L;MED13L;MED23;MED24;MED25;MED26;MED27;MED4;MEF2A;MEF2D;MET;MICAL2;MLLT10;MRTFB;MYBBP1A;MYSM1;NAMPT;NCBP1;NCK2;NCOA2;NCOA6;NFATC1;NFATC2;NFATC3;NFE2L1;NFIA;NFKB1;NFKB2;NFYA;NFYC;NLRC5;NLRP3;NOD2;NOTCH1;NOTCH2;NPAT;NR2C2;NR3C1;NR4A1;NR4A3;NRF1;OGT;PAXBP1;PAXIP1;PBX2;PBX3;PCBP1;PCGF5;PELP1;PER1;PHIP;PIAS1;PID1;PIK3R1;PKD1;PPARD;PPP1R12A;PPP3CA;PRDM10;PRDM15;PRDM2;PRDM4;PRKDC;PRKN;PURB;RARA;RBM14;RELA;RFX3;RFX5;RFX7;RGMA;RHOQ;RIPK2;RNF20;RNF40;RORA;RREB1;RUNX1;RUNX2;RXRA;SBNO2;SETX;SF3B1;SFPQ;SKAP1;SKI;SLC9A1;SMAD2;SMAD3;SMAD4;SMARCA2;SMARCA4;SMARCA5;SMARCAD1;SNW1;SP1;SP100;SP3;SRCAP;SREBF1;SRF;SS18L1;SSBP2;SSBP3;STAT1;STAT4;STAT6;TAF1;TAF2;TAF4;TAF6;TBK1;TBL1X;TCERG1;TCF12;TCF20;TCF4;TET2;TET3;TFEC;TLR2;TMF1;TNIP1;TNKS;TP53BP1;TRERF1;UBE2E1;UBP1;USP16;VDR;VEGFA;WWOX;ZEB2;ZFHX3;ZMIZ1;ZMIZ2;ZMYND8;ZNF746
GO_Biological_Process_2026,Phosphatidylinositol Metabolic Process (GO:0046488),1.03731171171232e-06,0.0012325337758565787,7.09544115891269e-07,0.0012740001844762376,3.8173231511254015,34,66,GC-robust,CDS1;FIG4;INPP4A;INPP4B;INPP5D;INPP5F;INPPL1;LPGAT1;MTM1;MTMR1;MTMR14;MTMR3;MTMR6;MTMR8;MTMR9;PI4KA;PI4KB;PIKFYVE;PIP5K1C;PITPNM2;PITPNM3;PLCB1;PLCB2;PLCG1;PLCG2;PLCH2;PLCL1;PLCL2;PLEKHA1;PLEKHA8;SACM1L;SBF1;SYNJ1;VAC14
GO_Biological_Process_2026,Phosphatidylinositol Biosynthetic Process (GO:0006661),5.17937025339454e-06,0.00512843977923616,4.27367205396007e-06,0.00423164761209613,4.24182333247489,26,48,GC-robust,CDS1;FIG4;INPP4A;INPP4B;INPP5D;INPP5F;INPPL1;MTM1;MTMR1;MTMR14;MTMR3;MTMR6;MTMR9;PI4KA;PI4KB;PIKFYVE;PIP5K1C;PITPNM2;PITPNM3;PLCG2;PLEKHA1;PLEKHA8;SACM1L;SBF1;SYNJ1;VAC14
