"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Molecular_Function_2026::GTPase Regulator Activity (GO:0030695)",6.7717783244083e-12,100,432,1.73431449318947e-11,"GO_Molecular_Function_2026",9.37891297930549e-09,2.40202557306742e-08,"GC-robust"
"GO_Molecular_Function_2026::GTPase Activator Activity (GO:0005096)",2.0577169332068e-09,56,212,3.92470726884779e-09,"GO_Molecular_Function_2026",1.42496897624571e-06,2.71785978367709e-06,"GC-robust"
"GO_Biological_Process_2026::Regulation of Intracellular Signal Transduction (GO:1902531)",2.01217523488695e-07,69,318,3.57536719989843e-07,"GO_Biological_Process_2026",0.00119643939466378,0.00212591333705961,"GC-robust"
"GO_Biological_Process_2026::Regulation of Small GTPase Mediated Signal Transduction (GO:0051056)",1.45797486537054e-06,40,157,1.75280110938596e-06,"GO_Biological_Process_2026",0.00433455927474663,0.00521107769820446,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of Autophagy (GO:0010507)",3.64724314571522e-06,21,61,3.47127303119137e-06,"GO_Biological_Process_2026",0.00722883591480756,0.0068800631478213,"GC-robust"
"GO_Molecular_Function_2026::Guanyl-nucleotide Exchange Factor Activity (GO:0005085)",9.37661412803105e-06,48,216,1.08102003578343e-05,"GO_Molecular_Function_2026",0.00432887018910767,0.00499070916520017,"GC-robust"
"GO_Biological_Process_2026::Phosphatidylinositol Metabolic Process (GO:0046488)",1.44624786831891e-05,21,66,1.41239578776935e-05,"GO_Biological_Process_2026",0.0214984745625605,0.0209952633851913,"GC-robust"
"GO_Biological_Process_2026::Intracellular Signaling Cassette (GO:0141124)",4.7923917817401e-05,63,327,6.06707658884722e-05,"GO_Biological_Process_2026",0.0569911230684533,0.060124728995476,"n.s."
"GO_Biological_Process_2026::Lysosomal Transport (GO:0007041)",6.25150788829709e-05,16,47,5.84543444127898e-05,"GO_Biological_Process_2026",0.0619524431730242,0.060124728995476,"n.s."
"GO_Molecular_Function_2026::Small GTPase Binding (GO:0031267)",7.48444474523338e-05,43,202,8.85829529344626e-05,"GO_Molecular_Function_2026",0.0215492776277242,0.0245374779628461,"GC-robust"
"GO_Biological_Process_2026::Phosphatidylinositol Biosynthetic Process (GO:0006661)",7.74966539070688e-05,16,48,7.81174365341183e-05,"GO_Biological_Process_2026",0.0658278720187758,0.0663551825188382,"n.s."
"GO_Molecular_Function_2026::Bitter Taste Receptor Activity (GO:0033038)",7.77952260928673e-05,6,8,6.25358350142042e-05,"GO_Molecular_Function_2026",0.0215492776277242,0.0216530328736682,"GC-robust"
"GO_Biological_Process_2026::Regulation of Protein-Containing Complex Assembly (GO:0043254)",0.000103239477959241,27,107,9.66419265226036e-05,"GO_Biological_Process_2026",0.0767327419932062,0.0718291118879252,"n.s."
"GO_Biological_Process_2026::Positive Regulation of GTPase Activity (GO:0043547)",0.000141228694707764,20,71,0.000153389497438369,"GO_Biological_Process_2026",0.0933050909702626,0.0869409601047074,"n.s."
"GO_Cellular_Component_2026::Early Endosome (GO:0005769)",0.00016474089070581,56,292,0.000172762289666053,"GO_Cellular_Component_2026",0.0475527685867543,0.0427090623827731,"GC-robust"
"GO_Biological_Process_2026::Endocytic Recycling (GO:0032456)",0.00017142929994445,22,82,0.000160839314018127,"GO_Biological_Process_2026",0.0996857911805431,0.0869409601047074,"n.s."
"GO_Cellular_Component_2026::Trans-Golgi Network (GO:0005802)",0.000189492042964997,50,252,0.000161251335545873,"GO_Cellular_Component_2026",0.0475527685867543,0.0427090623827731,"GC-robust"
"GO_Biological_Process_2026::Endomembrane System Organization (GO:0010256)",0.000204678786670138,39,182,0.000159639844044836,"GO_Biological_Process_2026",0.0996857911805431,0.0869409601047074,"n.s."
"GO_Biological_Process_2026::Positive Regulation of DNA-templated Transcription (GO:0045893)",0.000217199290738473,161,1049,0.000252801024424929,"GO_Biological_Process_2026",0.0996857911805431,0.107368206516474,"n.s."
"GO_Biological_Process_2026::Myeloid Leukocyte Differentiation (GO:0002573)",0.00021794740755921,19,68,0.000249681748863158,"GO_Biological_Process_2026",0.0996857911805431,0.107368206516474,"n.s."
"GO_Cellular_Component_2026::Late Endosome (GO:0005770)",0.000279722168157378,45,224,0.000251229778722195,"GO_Cellular_Component_2026",0.0475527685867543,0.0427090623827731,"GC-robust"
"GO_Biological_Process_2026::Regulation of Autophagosome Assembly (GO:2000785)",0.000284366061304128,14,42,0.00021676400286524,"GO_Biological_Process_2026",0.11447448732198,0.107368206516474,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)",0.000288785285877852,127,803,0.000344348452556898,"GO_Biological_Process_2026",0.11447448732198,0.125103784028326,"n.s."
"GO_Biological_Process_2026::Regulation of Cell Projection Organization (GO:0031344)",0.000308112957258311,7,13,0.000292346508290238,"GO_Biological_Process_2026",0.11450247774112,0.11588615588625,"n.s."
"GO_Molecular_Function_2026::GTPase Binding (GO:0051020)",0.0003337769107412,45,228,0.000378391971329312,"GO_Molecular_Function_2026",0.0770468368960936,0.0873454800485162,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Catabolic Process (GO:0009895)",0.000362138262811787,23,92,0.000357679839973351,"GO_Biological_Process_2026",0.126663182981111,0.125103784028326,"n.s."
"GO_Biological_Process_2026::Negative Regulation of miRNA Transcription (GO:1902894)",0.000442850823461725,9,22,0.000532977779219885,"GO_Biological_Process_2026",0.146288388683523,0.16679399343376,"n.s."
"GO_Molecular_Function_2026::Protein Serine/Threonine Kinase Activity (GO:0004674)",0.000513200038541346,62,345,0.000505817850428694,"GO_Molecular_Function_2026",0.101540293339966,0.0908753102489389,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Epithelial Cell Migration (GO:0010634)",0.000523466860756491,12,35,0.000452428088715742,"GO_Biological_Process_2026",0.160532885338552,0.1494520786391,"n.s."
