gene_name,logFC,logCPM,PValue,F,FDR
SYS1-DBNDD2,8.165973068113415,2.3036272526154464,2.682946092626436e-09,739.1314201894418,5.5006267333994475e-05
ENSG00000226963.1,-8.641819641034639,2.402239223366624,5.620458696836907e-09,606.8057869217266,5.5006267333994475e-05
DGKI,-9.633334985373756,8.264054232838433,1.1042922134819986e-08,1553.905347999841,5.5006267333994475e-05
SNORD89,9.225628182055022,3.9413921577574818,1.983880651398776e-08,388.94897949635083,5.5006267333994475e-05
UQCR11,-5.947846085497465,6.741375685056916,2.087075989705433e-08,1262.9675172618722,5.5006267333994475e-05
HCST,-6.040408323758567,7.78411794739161,2.6140875523872562e-08,1174.0830073194709,5.5006267333994475e-05
LINC01387,-7.612358371976322,5.56073098244949,3.2626507884177946e-08,1096.6215240993506,5.5006267333994475e-05
COX6B1,-5.317384816156575,7.03589718336539,3.488476341030447e-08,1069.3330395376029,5.5006267333994475e-05
MICOS13,-5.732454071588718,5.2752964516355805,4.213239642801448e-08,1006.2594704805143,5.5006267333994475e-05
FAU,-6.893144225646741,10.774305911432101,4.264663533695141e-08,1001.9259737058555,5.5006267333994475e-05
LGALS1,-6.007627958672722,7.417295696511247,4.443973238095871e-08,988.66491416572,5.5006267333994475e-05
MZT2B,-6.688470788786127,7.404770303316572,4.4627714498636017e-08,987.392081042371,5.5006267333994475e-05
SSR4,-5.669249539774771,7.5257118629686035,4.57551212831356e-08,979.3588445292617,5.5006267333994475e-05
NDUFB7,-5.57336892300737,6.09141243408371,4.729875601105766e-08,968.9702671939041,5.5006267333994475e-05
IFITM2,-5.2658171901861115,7.643451456953782,4.966026531847536e-08,953.6868106416132,5.5006267333994475e-05
TMEM256,-6.72971855928632,4.507337223487942,5.110326323850973e-08,948.5707998115018,5.5006267333994475e-05
TSPAN9,-7.908830951343409,7.413856755825574,5.119442666098818e-08,944.7475719889114,5.5006267333994475e-05
APRT,-5.869890928952558,7.222371139704073,5.2815494558531565e-08,934.8525058911347,5.5006267333994475e-05
BLOC1S1,-5.341251353802905,5.953645550147095,5.549476777502623e-08,920.0497377724819,5.5006267333994475e-05
ATP5MF,-4.93411064742333,5.727942727880085,5.635723984713515e-08,915.4559266117977,5.5006267333994475e-05
SF3B5,-5.267585966239125,6.353150479609391,5.683215292142885e-08,912.9486469103513,5.5006267333994475e-05
NDUFA11,-5.113353781138316,6.0620169102757435,5.939135973491633e-08,900.0185032105966,5.5006267333994475e-05
NDUFB8,-5.17965208415426,6.2425298928049555,5.951103155855934e-08,899.4160871214635,5.5006267333994475e-05
PRDX5,-4.935000483487402,6.039543693091205,6.055236244672374e-08,894.3703237535165,5.5006267333994475e-05
RPS11,-5.755958972450267,10.421368254328188,6.270218808005733e-08,884.2409887919874,5.5006267333994475e-05
UBA52,-6.43502865393137,10.324735493780683,6.93581354932752e-08,855.777319469307,5.5006267333994475e-05
NEDD8,-4.921655969487936,6.355131890969762,6.971240813059913e-08,854.3831550206796,5.5006267333994475e-05
S100A4,-5.598379607764715,9.547446483997698,7.084722275767768e-08,849.9011441350293,5.5006267333994475e-05
AURKAIP1,-5.105605195381152,5.711289820123914,7.195989899935426e-08,845.7030581789517,5.5006267333994475e-05
