,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
4586,KEGG_2021_Human,Ribosome,1.3800685759801e-54,4.112604356420697e-52,0,0,19.855533832029924,2462.4329091479954,RPL4;RPL5;RPL30;MRPS15;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL36;RPL10A;RPL8;RPL9;MRPL33;RPS15;RPS4X;RPS14;RPL7A;MRPL2;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPSA;MRPS7;MRPS5;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;MRPL18;RPL12;RPL11;RPS27L;MRPL10;MRPL11;MRPL20;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;MRPL24;MRPL21;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPL26L1;RPS23
0,GO_Biological_Process_2026,Cytoplasmic Translation (GO:0002181),4.425771804266589e-48,1.6840061715234373e-44,0,0,20.747485632183906,2262.2361172466285,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RACK1;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;EEF1D;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL39L;RWDD1;RPL35A;RPL23A;RPS25;RPS28;EIF3M;EIF2S3;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPL26L1;RPS23
1,GO_Biological_Process_2026,Translation (GO:0006412),2.0258964843005103e-46,3.854268061381721e-43,0,0,7.6484375,804.7143048869833,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL8;APEH;RPL10A;RPL9;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;TUFM;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;MRPL18;MRPL10;MRPL11;MRPL20;RPL39L;MRPL27;MRPL28;MRPL23;EEF2;MRPL24;MRPL21;AIMP1;RPS25;RPS28;RPS27;RPS29;NACA;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS15;RPLP1;RPLP0;MRPL36;MRPL33;MRPL41;RPS4X;RPL7A;MRPL2;QARS1;RACK1;RPLP2;MRPS26;MRPS23;MRPS21;RPL13A;MRPL47;MRPS7;MRPL43;MRPS5;MRPL52;MRPL51;EEF1D;RPL37A;RPL10;MRPS33;RPL12;MRPS34;RPL11;RPS27L;MRPL58;MRPL57;LAGE3;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;GADD45GIP1;RWDD1;TPRKB;RPL35A;RPL23A;RPL22L1;FAU;RPL26L1
2,GO_Biological_Process_2026,Protein Biosynthetic Process (GO:0160307),5.840372761254661e-45,7.407539452191328e-42,0,0,12.75858491544766,1299.4814524644937,RPL4;RPL5;RPL30;MRPS15;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL36;RPL10A;RPL8;RPL9;RPS15;MRPL41;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPSA;MRPS7;MRPL43;MRPS5;MRPL52;MRPL51;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;MRPL18;MRPS33;RPL12;RPL11;RPS27L;MRPL10;MRPL11;MRPL55;RPS15A;RPL14;RPL13;RPS2;RPL18;RPS27A;RPL19;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;MRPL24;RPS25;RPS28;RPS27;NACA;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
3,GO_Biological_Process_2026,Macromolecule Biosynthetic Process (GO:0009059),4.629353013690858e-38,4.403672054273429e-35,0,0,7.287923200242845,626.5122678663323,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;TUFM;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL18;MRPL10;MRPL11;MRPL27;MRPL28;MRPL23;EEF2;MRPL24;RPS25;RPS28;RPS27;RPS29;NACA;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS15;RPLP1;RPLP0;MRPL36;MRPL41;RPS4X;RPL7A;SERP1;RPLP2;MRPS21;RPL13A;MRPS7;MRPL43;MRPS5;DDOST;MRPL52;MRPL51;DAD1;EEF1D;RPL37A;RPL10;MRPS33;RPL12;RPL11;RPS27L;LAGE3;MRPL55;RPS15A;RPL14;RPL13;RPS2;RPL18;RPS27A;KCNJ1;RPL19;TPRKB;RPL35A;RPL23A;TMEM59;MGAT4B;FAU
4934,GO_Cellular_Component_2026,Large Ribosomal Subunit (GO:0015934),3.8166564312040644e-32,1.423612848839116e-29,0,0,36.35434019592435,2629.9946919661884,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;RBM3;RPL7A;MRPL20;RPL18A;RPL36AL;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL18;RPL39;RPL19;RPL39L;RPL23;RPL22;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL26L1
4935,GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),6.048958367120516e-31,1.1281307354679764e-28,0,0,4.158322347500495,289.3371159893474,NDUFA11;NDUFA12;MPV17L2;MICOS13;PHB2;MPC2;SLC25A45;CHCHD1;BCS1L;COX6B1;COX7A2L;TMEM126A;AURKAIP1;UQCRB;NDUFB10;SHMT2;NDUFB11;MRPL18;ATP5MC2;ATP5MC3;COX7A2;MRPL10;UQCRH;MRPL11;ATP5MC1;TIMM50;MRPL20;GRPEL1;STMP1;ATP5MK;ATP5MJ;CYC1;ATP5MG;NDUFV1;ATP5MF;ATP5ME;DNAJC19;COA3;SURF1;UQCC3;MRPL27;MRPL28;UQCC4;MRPL23;MRPL24;MRPL21;COQ4;UQCRQ;NDUFAF3;CIBAR1;SLC25A3;COX7B;MRPS15;COX4I1;MRPL36;ECSIT;COX7C;MRPL33;MRPL41;MRPL2;TMEM223;MTG1;UQCRFS1;COA5;MRPS26;TIMM29;MRPS23;NDUFC2;MRPS21;MRPL47;TIMM22;NDUFC1;NME4;MRPS7;MRPL43;MRPS5;MRPL52;SMDT1;MRPL51;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A5;SLC25A11;SLC25A4;NDUFB9;NDUFB8;NDUFB7;DMAC1;NDUFB4;MRPS33;NDUFB3;MRPS34;TIMM13;NDUFB2;NDUFB1;MRPL58;UQCR11;TIMM10;COX5B;PPOX;MRPL57;COX5A;MRPL54;PARL;MRPL55;UCP2;RPS3;SLC25A22;GADD45GIP1;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO;OCIAD2
4936,GO_Cellular_Component_2026,Cytosolic Large Ribosomal Subunit (GO:0022625),1.8652974282548347e-30,2.3191864691301777e-28,0,0,34.66917883498194,2373.248553678918,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;RPL7A;RPL18A;RPL36AL;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL18;RPL39;RPL19;RPL39L;RPL23;RPL22;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL26L1
4587,KEGG_2021_Human,Coronavirus disease,1.186596491974444e-28,1.7680287730419217e-26,0,0,6.3353780133787705,407.3730009789821,RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;TNF;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;F2;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;CFD;RPL10;RPL12;RPL11;RPS27L;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL35A;ISG15;RPL23A;NFKBIA;RPS25;RPS28;RPS27;STING1;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPL26L1;RPS23;NFKBIB
4937,GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),7.532087405199313e-28,7.023671505348359e-26,0,0,3.229795316893792,201.71108643805624,IFI27L2;NDUFA11;NDUFA12;MPV17L2;MICOS13;PHB2;TOMM20;TOMM22;MPC2;SLC25A45;CHCHD1;TMEM14B;TMEM14C;BCS1L;COX6B1;TUFM;COX7A2L;TMEM126A;AURKAIP1;UBA52;UQCRB;NDUFB10;SHMT2;NDUFB11;MRPL18;MGST3;ATP5MC2;ATP5MC3;COX7A2;MRPL10;UQCRH;MRPL11;ATP5MC1;TIMM50;MRPL20;RHOT2;GRPEL1;UBB;STMP1;UBC;ATP5MK;ATP5MJ;CYC1;ATP5MG;NDUFV1;ATP5MF;ATP5ME;GSDMD;DNAJC19;COA3;MOAP1;FIS1;SURF1;UQCC3;MRPL27;MRPL28;UQCC4;MRPL23;MRPL24;MRPL21;COQ4;UQCRQ;NDUFAF3;CIBAR1;SLC25A3;COX7B;MRPS15;COX4I1;MRPL36;ECSIT;COX7C;BBC3;MRPL33;MRPL41;FUNDC2;MRPL2;TMEM223;MTG1;RAC2;TSPO;UQCRFS1;COA5;MRPS26;TIMM29;MRPS23;NDUFC2;MRPS21;NME3;MRPL47;TIMM22;NDUFC1;NME4;MRPS7;MRPL43;MRPS5;MRPL52;QTRT1;SMDT1;MRPL51;HAX1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A5;SLC25A11;SLC25A4;NDUFB9;NDUFB8;NDUFB7;SMIM26;DMAC1;NDUFB4;MRPS33;NDUFB3;MRPS34;TIMM13;NDUFB2;NDUFB1;MIEF2;MRPL58;UQCR11;TIMM10;COX5B;PPOX;MRPL57;COX5A;MRPL54;PARL;MRPL55;UCP2;RPS3;RPS27A;SLC25A22;GADD45GIP1;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;BAD;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;STING1;NDUFAB1;ATP5PO;TOMM7;OCIAD2;TOMM5
