Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),2.27749291610381e-47,1.161521387212943e-44,5.891348042471441e-47,3.004587501660435e-44,5.045283802013074,202,386,GC-robust,ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MJ;ATP5MK;ATP5PB;ATP5PD;ATP5PF;ATP5PO;AURKAIP1;BCS1L;CHCHD1;CIBAR1;COA3;COA5;COA8;COQ4;COQ5;COQ7;COX14;COX16;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DMAC1;DNAJC19;DNAJC30;ECSIT;GADD45GIP1;GRPEL1;HIGD1A;IFI6;KGD4;LDHB;LGALS3;MCUR1;MICOS10;MICOS13;MPC2;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL45;MRPL47;MRPL49;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPL57;MRPL58;MRPL9;MRPS10;MRPS12;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS33;MRPS34;MRPS7;MTFP1;MTG1;MTLN;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF3;NDUFAF4;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NME4;OCIAD2;OXA1L;PARL;PET100;PHB2;PPOX;RDH13;ROMO1;SDHC;SDHD;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A22;SLC25A3;SLC25A39;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SQOR;STMP1;STOML2;SURF1;TIMM10;TIMM10B;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM160;TMEM177;TMEM223;TMEM70;TOMM40;UCP2;UQCC2;UQCC3;UQCC4;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),5.759312166785649e-42,1.4686246025303405e-39,5.35791159934098e-41,1.36626745783195e-38,3.6608245663393553,249,563,GC-robust,ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MJ;ATP5MK;ATP5PB;ATP5PD;ATP5PF;ATP5PO;AURKAIP1;BAD;BAK1;BAX;BCS1L;CHCHD1;CIBAR1;CISD1;COA3;COA5;COASY;COQ4;COQ5;COQ7;COX14;COX16;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYB5A;CYB5R3;CYC1;CYCS;DARS2;DMAC1;DNAJC19;DNAJC30;ECSIT;FIS1;FUNDC1;FUNDC2;GADD45GIP1;GRPEL1;GSDMD;HAX1;HIGD1A;HINT2;IFI27L2;IFI6;KGD4;LDHB;LGALS3;MCUR1;MGST3;MICOS10;MICOS13;MIEF2;MOAP1;MPC2;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL45;MRPL47;MRPL49;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPL57;MRPL58;MRPL9;MRPS10;MRPS12;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS33;MRPS34;MRPS7;MTFP1;MTG1;MTLN;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF3;NDUFAF4;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NME3;NME4;OCIAD2;OXA1L;PARL;PET100;PGAM5;PGRMC1;PHB2;PLD6;PMAIP1;PPOX;QTRT1;RAC2;RDH13;RHOT2;ROMO1;SDHC;SDHD;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A22;SLC25A28;SLC25A3;SLC25A39;SLC25A42;SLC25A45;SLC25A5;SLC44A2;SMDT1;SMIM20;SMIM26;SMIM30;SQOR;STAR;STING1;STMP1;STOML2;SURF1;TIMM10;TIMM10B;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM14A;TMEM14B;TMEM14C;TMEM160;TMEM177;TMEM223;TMEM70;TOMM20;TOMM22;TOMM40;TOMM5;TOMM7;TSPO;TUFM;UBA52;UBB;UBC;UCP2;UQCC2;UQCC3;UQCC4;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ;VAT1;VDAC1;VDAC2;VDAC3
GO_Cellular_Component_2026,Large Ribosomal Subunit (GO:0015934),4.16380755017667e-40,7.078472835300339e-38,4.93324136731782e-38,8.386510324440294e-36,inf,53,53,GC-robust,MRPL20;RBM3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL7L1;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Cellular_Component_2026,Cytosolic Large Ribosomal Subunit (GO:0022625),1.64482538300786e-38,2.0971523633350214e-36,1.28234105196336e-36,1.634984841253284e-34,inf,51,51,GC-robust,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL7L1;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Translation (GO:0006412),3.6448956628102e-40,2.1643390445766968e-36,7.88942787193006e-38,4.68474227035207e-34,6.780456520239984,127,212,GC-robust,AARS1;AIMP1;AIMP2;APEH;AURKAIP1;CHCHD1;DHPS;DRG1;EEF1A1;EEF1A2;EEF1B2;EEF1D;EEF1E1;EEF1G;EEF2;EIF5A;FAU;GADD45GIP1;LAGE3;MRPL10;MRPL11;MRPL12;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL33;MRPL34;MRPL35;MRPL36;MRPL39;MRPL4;MRPL40;MRPL41;MRPL43;MRPL45;MRPL47;MRPL49;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPL57;MRPL58;MRPL9;MRPS10;MRPS12;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS2;MRPS21;MRPS23;MRPS26;MRPS28;MRPS33;MRPS34;MRPS7;NACA;OXA1L;QARS1;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RWDD1;TPRKB;TUFM;UBA52
GO_Biological_Process_2026,Protein Biosynthetic Process (GO:0160307),1.39678734183229e-31,4.147061617900069e-28,1.4321049966314798e-30,4.2519197349988635e-27,10.633076242255658,78,111,GC-robust,DHPS;EEF1A1;EEF1A2;FAU;MRPL10;MRPL11;MRPL12;MRPL18;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL34;MRPL35;MRPL36;MRPL41;MRPL43;MRPL51;MRPL52;MRPL55;MRPL9;MRPS12;MRPS15;MRPS16;MRPS17;MRPS18B;MRPS21;MRPS33;MRPS7;NACA;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Cytoplasmic Translation (GO:0002181),4.64622668455078e-31,7.677732600821089e-28,5.17227598506282e-29,6.142594959860605e-26,18.893772048399327,59,73,GC-robust,DRG1;EEF1D;EIF2S3;EIF3I;EIF3M;FAU;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RWDD1;UBA52
GO_Biological_Process_2026,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),5.171931694726231e-31,7.677732600821089e-28,5.91625901785468e-30,1.1710248682673696e-26,30.236514522821576,54,62,GC-robust,COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;CYC1;CYCS;NDUFA1;NDUFA12;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;SDHAF2;SDHC;SDHD;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRFS1;UQCRH;UQCRQ
GO_Biological_Process_2026,Negative Regulation of Syncytium Formation by Plasma Membrane Fusion (GO:0034242),7.85319578286757e-31,9.326455311733527e-28,1.57624548984916e-29,2.339936429681078e-26,100.61076604554866,45,47,GC-robust,ERVH48-1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
GO_Biological_Process_2026,Negative Regulation of Myoblast Fusion (GO:1901740),4.567891200816719e-30,4.52068965840828e-27,7.67652735263485e-29,7.597203236657623e-26,98.35234590616375,44,46,GC-robust,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
