Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Extracellular Exosome (GO:0070062),1.54518498139356e-19,7.395260809758687e-17,5.80944094878349e-21,2.2149166278164324e-18,1.876143680108438,492,1627,GC-robust,A1BG;A2M;AARS1;ABHD14B;ACAT1;ACE;ACOT7;ACP1;ACTB;ACTG1;ACTG2;ACTR1B;ADH5;AEBP1;AGT;AHCY;AHSA1;AKR1A1;AKR1B1;AKR1C3;AKR1C4;AKR7A2;ALK;ALYREF;ANGPTL6;ANP32B;ANXA6;AP1M1;AP2M1;APEH;APRT;ARF3;ARF5;ARF6;ARHGAP1;ARHGDIA;ARHGDIB;ARL3;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ARRDC1;ARSA;ASL;ATP6AP1;ATP6AP2;ATP6V0C;ATP6V1F;ATP6V1G1;AUP1;AXL;B3GAT3;B4GALT3;BAG6;BAX;BLVRB;BRK1;BSG;BST2;BTG2;C2;CA1;CA6;CACYBP;CALB1;CALR;CAMP;CAPG;CAPN1;CAPNS1;CAPZA1;CBR1;CCT3;CCT7;CCT8;CD19;CD248;CD37;CD48;CD59;CD63;CD70;CD79B;CD81;CETP;CFD;CFL1;CHID1;CHMP1A;CHMP2A;CHMP3;CHMP5;CHST14;CIB1;CKB;CLIC1;CLIC3;CLN5;CLTRN;CMPK1;CNP;COASY;COL6A2;COMT;CORO1A;CORO1B;CPB2;CPNE1;CPNE3;CPNE5;CPNE7;CRB2;CRB3;CRTC2;CSK;CSNK2B;CSRP1;CST3;CSTB;CTSA;CTSD;CTSF;CTSL;CTSZ;CUTA;CXCR4;CYB5R1;DBI;DCTN2;DCXR;DDAH2;DDT;DDX19B;DNAJB9;DNASE2;DNPH1;DPP3;DPP7;DSTN;DUT;ECH1;EDIL3;EEF1A1;EEF2;EFEMP2;EFNB1;EIF2S3;EIF3E;EIF3H;EIF3I;EIF6;EMILIN1;ENO1;EPS8L2;EPX;ESD;F12;F2;FABP3;FABP5;FBL;FBLN5;FCER2;FCGR3A;FERMT3;FLNA;FLOT1;FTL;FURIN;FUT2;FUZ;FXYD2;G6PD;GAL3ST4;GALK1;GALM;GANAB;GAPDH;GEMIN4;GET3;GFUS;GGCT;GIPC1;GLOD4;GLRX;GMPPA;GNAI2;GNAS;GNB2;GNPDA1;GNPTG;GPC1;GPI;GPX4;GRHPR;GRN;GSS;GSTK1;GSTO1;GSTP1;GUSB;H2AC11;H2AC12;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AJ;H2AX;H2AZ1;H2AZ2;H2BC9;H3-3A;HEBP1;HEBP2;HINT1;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HNRNPA1;HPRT1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;HSPB1;HSPE1;HYAL1;IDH2;IGFBP2;IGSF8;ITGB2;ITGB4;ITIH2;ITM2B;ITM2C;JCHAIN;KCNG2;KHK;KLK1;KRT10;KRT18;LAMB1;LAMP1;LAMTOR1;LCAT;LCK;LDHA;LDHAL6A;LDHB;LGALS1;LGALS3;LGALS3BP;LMAN2;LRRN4;LSP1;LTBP3;LYPLA2;MARCKSL1;MAT2B;MDH2;METRNL;MIF;MMRN2;MOGS;MPI;MPST;MVB12A;MXRA8;MYH10;MYL12A;MYL12B;MYL6;MYL6B;NACA;NAGLU;NAPRT;NAPSA;NAXE;NEDD8;NHERF1;NHERF2;NIT2;NME1;NME2;NPC2;NT5C;NUCB1;NUCB2;NUDT5;NUTF2;OMD;ORM2;OTUB1;PA2G4;PARD6B;PARK7;PCBD1;PCYOX1;PDCD2;PDCD5;PDCD6;PDZK1;PEBP1;PFN1;PFN2;PGAP6;PGLS;PGLYRP2;PHGDH;PHPT1;PKD1L3;PKM;PLEKHA7;PMEL;PMVK;PODXL;PPA1;PPIA;PPL;PPP1CA;PPP1R7;PPT1;PRDX1;PRDX2;PRDX4;PRDX5;PRDX6;PROCR;PROZ;PRXL2B;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC5;PSMD2;PSMD3;PSMD7;PSME1;PSME2;PTGDS;QDPR;RAB11B;RAB13;RAB34;RAB4A;RAB5C;RAC1;RAC2;RAC3;RACK1;RAN;RAP2B;RARRES1;RBP5;RETN;RHOA;RHOG;RIDA;RNASET2;RNH1;RRAS;RUVBL2;S100A10;S100A11;S100A4;S100A6;S100A8;S100A9;S100P;SAT2;SCAMP2;SCAMP3;SCGB1A1;SCGB3A1;SCRN2;SDF4;SEC14L3;SERBP1;SERPINB1;SERPINB6;SERPINE1;SERPINF1;SH3BGRL3;SHMT1;SHMT2;SIT1;SLC1A5;SLC22A5;SLC23A1;SLC25A1;SLC25A3;SLC35F6;SLC3A1;SLC3A2;SLC44A2;SLC44A4;SLC5A2;SMPD1;SMS;SNF8;SNRPD2;SNX3;SOD1;SPON2;SRI;SRSF7;SSBP1;SSR4;ST13;STK11;STK25;STMN1;STOM;STXBP2;SUB1;SVIP;SYNGR2;SYPL1;SYTL1;TAF6L;TAGLN2;TALDO1;TAX1BP3;TGM4;THRAP3;TIMP1;TKT;TMC4;TMC6;TMED9;TMEM109;TMEM256;TMEM59;TOR1A;TOR3A;TPI1;TPRG1L;TPT1;TSPO;TTC38;TUBA1A;TUBA4A;TUBB;TUBB4B;TUFM;TWF2;TXN;TXNDC17;UBA52;UBAC1;UBB;UBC;UBE2D2;UBE2V2;UBXN6;UFC1;UPK1B;UPK3A;VAMP5;VAMP8;VASP;VAT1;VDAC1;VDAC3;VIM;VMO1;VPS25;VPS28;VPS37D;VPS4A;WNT4;YBX1;YWHAB;YWHAH;ZG16B
GO_Cellular_Component_2026,Extracellular Vesicle (GO:1903561),2.90010227833674e-19,7.395260809758687e-17,8.68594756006444e-21,2.2149166278164324e-18,1.8679352297464054,495,1642,GC-robust,A1BG;A2M;AARS1;ABHD14B;ACAT1;ACE;ACOT7;ACP1;ACTB;ACTG1;ACTG2;ACTR1B;ADH5;AEBP1;AGT;AHCY;AHSA1;AKR1A1;AKR1B1;AKR1C3;AKR1C4;AKR7A2;ALK;ALYREF;ANGPTL6;ANP32B;ANXA6;AP1M1;AP2M1;APEH;APRT;ARF3;ARF5;ARF6;ARHGAP1;ARHGDIA;ARHGDIB;ARL3;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ARRDC1;ARSA;ASL;ATP1A3;ATP6AP1;ATP6AP2;ATP6V0C;ATP6V1F;ATP6V1G1;AUP1;AXL;B3GAT3;B4GALT3;BAG6;BAX;BLVRB;BRK1;BSG;BST2;BTG2;C2;CA1;CA6;CACYBP;CALB1;CALR;CAMP;CAPG;CAPN1;CAPNS1;CAPZA1;CBR1;CCT3;CCT7;CCT8;CD19;CD248;CD37;CD48;CD59;CD63;CD70;CD79B;CD81;CETP;CFD;CFL1;CHID1;CHMP1A;CHMP2A;CHMP3;CHMP5;CHST14;CIB1;CKB;CLIC1;CLIC3;CLN5;CLTRN;CMPK1;CNP;COASY;COL6A2;COMT;CORO1A;CORO1B;CPB2;CPNE1;CPNE3;CPNE5;CPNE7;CRB2;CRB3;CRTC2;CSK;CSNK2B;CSRP1;CST3;CSTB;CTSA;CTSD;CTSF;CTSL;CTSZ;CUTA;CXCR4;CYB5R1;DBI;DCTN2;DCXR;DDAH2;DDT;DDX19B;DNAJB9;DNASE2;DNPH1;DPP3;DPP7;DSTN;DUT;ECH1;EDIL3;EEF1A1;EEF2;EFEMP2;EFNB1;EIF2S3;EIF3E;EIF3H;EIF3I;EIF6;EMILIN1;ENO1;EPS8L2;EPX;ESD;F12;F2;FABP3;FABP5;FBL;FBLN5;FCER2;FCGR3A;FERMT3;FLNA;FLOT1;FTL;FURIN;FUT2;FUZ;FXYD2;G6PD;GAL3ST4;GALK1;GALM;GANAB;GAPDH;GEMIN4;GET3;GFUS;GGCT;GIPC1;GLOD4;GLRX;GMPPA;GNAI2;GNAS;GNB2;GNPDA1;GNPTG;GPC1;GPI;GPX4;GRHPR;GRN;GSS;GSTK1;GSTO1;GSTP1;GUSB;H2AC11;H2AC12;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AJ;H2AX;H2AZ1;H2AZ2;H2BC9;H3-3A;HEBP1;HEBP2;HINT1;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HNRNPA1;HPRT1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;HSPB1;HSPE1;HYAL1;IDH2;IGFBP2;IGSF8;ITGB2;ITGB4;ITIH2;ITM2B;ITM2C;JCHAIN;KCNG2;KHK;KLK1;KRT10;KRT18;LAMB1;LAMP1;LAMTOR1;LCAT;LCK;LDHA;LDHAL6A;LDHB;LGALS1;LGALS3;LGALS3BP;LMAN2;LRRN4;LSP1;LTBP3;LYPLA2;MAN1B1;MARCKSL1;MAT2B;MDH2;METRNL;MIF;MMRN2;MOGS;MPI;MPST;MVB12A;MXRA8;MYH10;MYL12A;MYL12B;MYL6;MYL6B;NACA;NAGLU;NAPRT;NAPSA;NAXE;NEDD8;NHERF1;NHERF2;NIT2;NME1;NME2;NPC2;NT5C;NUCB1;NUCB2;NUDT5;NUTF2;OMD;ORM2;OTUB1;PA2G4;PARD6B;PARK7;PCBD1;PCYOX1;PDCD2;PDCD5;PDCD6;PDZK1;PEBP1;PFN1;PFN2;PGAP6;PGLS;PGLYRP2;PHGDH;PHPT1;PKD1L3;PKM;PLEKHA7;PMEL;PMVK;PODXL;PPA1;PPIA;PPL;PPP1CA;PPP1R7;PPT1;PRDX1;PRDX2;PRDX4;PRDX5;PRDX6;PROCR;PROZ;PRXL2B;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC5;PSMD2;PSMD3;PSMD7;PSME1;PSME2;PTGDS;QDPR;RAB11B;RAB13;RAB34;RAB3A;RAB4A;RAB5C;RAC1;RAC2;RAC3;RACK1;RAN;RAP2B;RARRES1;RBP5;RETN;RHOA;RHOG;RIDA;RNASET2;RNH1;RRAS;RUVBL2;S100A10;S100A11;S100A4;S100A6;S100A8;S100A9;S100P;SAT2;SCAMP2;SCAMP3;SCGB1A1;SCGB3A1;SCRN2;SDF4;SEC14L3;SERBP1;SERPINB1;SERPINB6;SERPINE1;SERPINF1;SH3BGRL3;SHMT1;SHMT2;SIT1;SLC1A5;SLC22A5;SLC23A1;SLC25A1;SLC25A3;SLC35F6;SLC3A1;SLC3A2;SLC44A2;SLC44A4;SLC5A2;SMPD1;SMS;SNF8;SNRPD2;SNX3;SOD1;SPON2;SRI;SRSF7;SSBP1;SSR4;ST13;STK11;STK25;STMN1;STOM;STXBP2;SUB1;SVIP;SYNGR2;SYPL1;SYTL1;TAF6L;TAGLN2;TALDO1;TAX1BP3;TGM4;THRAP3;TIMP1;TKT;TMC4;TMC6;TMED9;TMEM109;TMEM256;TMEM59;TOR1A;TOR3A;TPI1;TPRG1L;TPT1;TSPO;TTC38;TUBA1A;TUBA4A;TUBB;TUBB4B;TUFM;TWF2;TXN;TXNDC17;UBA52;UBAC1;UBB;UBC;UBE2D2;UBE2V2;UBXN6;UFC1;UPK1B;UPK3A;VAMP5;VAMP8;VASP;VAT1;VDAC1;VDAC3;VIM;VMO1;VPS25;VPS28;VPS37D;VPS4A;WNT4;YBX1;YWHAB;YWHAH;ZG16B
GO_Cellular_Component_2026,Mitochondrial Membrane (GO:0031966),2.84746030461297e-10,4.840682517842049e-08,3.92411781278201e-10,6.671000281729418e-08,2.1796226036119615,137,400,GC-robust,ACADVL;ATAD3A;AURKAIP1;BAD;BAK1;BAX;BBC3;BCS1L;BOK;CCDC127;CCDC51;CHCHD1;CIBAR1;CISD1;COA3;COA5;COASY;COQ4;COQ5;COQ7;CYB5A;CYB5R3;CYC1;CYCS;DARS2;DMAC1;DNAJC19;DNAJC30;ECSIT;FIS1;FOXRED1;FUNDC1;FUNDC2;GADD45GIP1;GPAT2;GRPEL1;GSDMD;HAX1;HIGD1A;HINT2;IFI27L1;IFI27L2;IFI6;KGD4;LDHB;LGALS3;MCUR1;MFF;MGST3;MICOS10;MICOS13;MIEF2;MOAP1;MPC2;MPV17L2;MTFP1;MTG1;MTLN;NME3;NME4;OCIAD2;OXA1L;PARL;PET100;PGAM5;PGRMC1;PHB2;PLD6;PPOX;QTRT1;RAC2;RDH13;RHOT2;ROMO1;SCO1;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A22;SLC25A28;SLC25A3;SLC25A38;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SLC44A2;SMDT1;SMIM20;SMIM26;SMIM30;SQOR;STAR;STING1;STMP1;STOML2;SURF1;TAFAZZIN;TIMM10;TIMM10B;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM14A;TMEM14B;TMEM14C;TMEM177;TMEM223;TMEM70;TOMM20;TOMM22;TOMM40;TOMM5;TOMM7;TSPO;TUFM;UBA52;UBB;UBC;UCP2;UQCC2;UQCC3;UQCC4;VAT1;VDAC1;VDAC2;VDAC3
GO_Cellular_Component_2026,Mitochondrial Inner Membrane (GO:0005743),4.46384322545016e-09,5.691400112448955e-07,2.0273579205105803e-09,2.58488134865099e-07,2.6030293299079426,85,221,GC-robust,ATAD3A;AURKAIP1;BCS1L;BOK;CCDC51;CHCHD1;CIBAR1;COA3;COA5;COA8;COQ4;COQ5;COQ7;CYC1;CYCS;DMAC1;DNAJC19;DNAJC30;ECSIT;FOXRED1;GADD45GIP1;GRPEL1;HIGD1A;IFI6;KGD4;LDHB;LGALS3;MCUR1;MICOS10;MICOS13;MPC2;MPV17L2;MTFP1;MTG1;MTLN;NME4;OCIAD2;OXA1L;PARL;PET100;PHB2;PPOX;RDH13;ROMO1;SCO1;SFXN4;SHMT2;SLC25A1;SLC25A10;SLC25A11;SLC25A22;SLC25A3;SLC25A38;SLC25A39;SLC25A4;SLC25A42;SLC25A45;SLC25A5;SMDT1;SMIM20;SQOR;STMP1;STOML2;SURF1;TAFAZZIN;TIMM10;TIMM10B;TIMM13;TIMM17A;TIMM17B;TIMM22;TIMM29;TIMM50;TIMM9;TMEM11;TMEM126A;TMEM126B;TMEM177;TMEM223;TMEM70;TOMM40;UCP2;UQCC2;UQCC3;UQCC4
GO_Cellular_Component_2026,Spliceosomal tri-snRNP Complex (GO:0097526),2.74275762009858e-08,2.331343977083793e-06,1.45017897771956e-07,1.0015566425742849e-05,7.235797254487857,21,33,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;TXNL4A;TXNL4B;USP39
GO_Cellular_Component_2026,U4/U6 X U5 tri-snRNP Complex (GO:0046540),2.74275762009858e-08,2.331343977083793e-06,1.45017897771956e-07,1.0015566425742849e-05,7.235797254487857,21,33,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;TXNL4A;TXNL4B;USP39
GO_Cellular_Component_2026,Spliceosomal snRNP Complex (GO:0097525),3.68077058146745e-08,2.681704280783428e-06,1.31652791169254e-07,1.0015566425742849e-05,4.801226993865031,29,54,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PHF5A;PRPF31;RBMX2;SF3A2;SF3B4;SF3B5;SNRPA;SNRPB;SNRPB2;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;TSSC4;TXNL4A;TXNL4B
GO_Cellular_Component_2026,Mitochondrial Intermembrane Space (GO:0005758),4.54176738704916e-08,2.8953767092438396e-06,1.57106924325378e-07,1.0015566425742849e-05,4.4254041233351575,31,60,GC-robust,AKT1;ARL2;BLOC1S1;CHCHD10;CHCHD2;CHCHD5;CMC4;COA4;COA6;CYCS;HAX1;NME4;PPOX;PRELID1;PRELID3B;REXO2;SOD1;STAR;STMP1;STOML2;TAFAZZIN;THOP1;TIMM10;TIMM10B;TIMM13;TIMM29;TIMM8A;TIMM8B;TIMM9;TRIAP1;UQCC2
GO_Biological_Process_2026,Protein-RNA Complex Assembly (GO:0022618),5.45655954476541e-10,3.125327104238437e-06,1.96852985250383e-08,3.897689107957583e-05,2.8290435508153307,64,158,GC-robust,ABT1;BRIX1;CLP1;COIL;EIF2S3;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF3K;EIF3L;EIF3M;EIF6;ERAL1;FAU;GEMIN2;GEMIN4;GEMIN6;HSP90AA1;HSP90AB1;ISY1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;MCTS1;NOP53;PDCD7;PHF5A;PRPF31;PTGES3;PUF60;RBM42;RRS1;SCNM1;SF3A2;SF3B4;SF3B5;SF3B6;SNRNP25;SNRNP35;SNRPA;SNRPB;SNRPB2;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;SRSF6;STRAP;TSSC4;TXNL4A;TXNL4B;USP39;XAB2
GO_Biological_Process_2026,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),1.05229868829577e-09,3.125327104238437e-06,1.23724502246353e-08,3.897689107957583e-05,5.097114570442258,32,58,GC-robust,ATP23;BCS1L;COA3;COA5;COA6;COA8;DMAC1;DMAC2;ECSIT;FMC1;FOXRED1;FXN;HIGD1A;HIGD1B;HIGD2A;LYRM2;MTLN;OCIAD2;OXA1L;PET100;PET117;SCO1;SMIM20;STMP1;SURF1;TMEM126A;TMEM126B;TMEM223;TMEM70;UQCC2;UQCC3;UQCC4
