"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::Mitochondrial Inner Membrane (GO:0005743)",1.41975920417162e-30,160,312,1.16699125403864e-31,"GO_Cellular_Component_2026",7.24077194127525e-28,5.95165539559705e-29,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)",4.25413844748057e-29,55,62,1.3150671394888e-29,"GO_Biological_Process_2026",2.52865989318245e-25,7.81675907712145e-26,"GC-robust"
"GO_Biological_Process_2026::Aerobic Electron Transport Chain (GO:0019646)",1.11776086104606e-27,54,62,3.3768045611494e-28,"GO_Biological_Process_2026",2.38772413469655e-24,6.69057543715735e-25,"GC-robust"
"GO_Biological_Process_2026::Proton Motive Force-Driven ATP Synthesis (GO:0015986)",1.20510975842693e-27,53,60,2.29698185419366e-28,"GO_Biological_Process_2026",2.38772413469655e-24,6.69057543715735e-25,"GC-robust"
"GO_Cellular_Component_2026::Mitochondrial Membrane (GO:0031966)",1.91339891743371e-27,212,491,4.20608130390154e-28,"GO_Cellular_Component_2026",4.87916723945595e-25,1.07255073249489e-25,"GC-robust"
"GO_Biological_Process_2026::Cellular Respiration (GO:0045333)",3.27595711161713e-27,64,82,1.02608379612113e-27,"GO_Biological_Process_2026",4.86807226786306e-24,1.524760521036e-24,"GC-robust"
"GO_Biological_Process_2026::Oxidative Phosphorylation (GO:0006119)",1.67928650000058e-26,52,60,5.68091810787698e-27,"GO_Biological_Process_2026",1.99633579120069e-23,6.26062675638767e-24,"GC-robust"
"GO_Biological_Process_2026::Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)",2.55635535584006e-26,48,53,6.31960978101044e-27,"GO_Biological_Process_2026",2.53249603918555e-23,6.26062675638767e-24,"GC-robust"
"GO_Cellular_Component_2026::Extracellular Exosome (GO:0070062)",1.07942697997338e-18,494,1629,3.13004822992504e-19,"GO_Cellular_Component_2026",1.83502586595475e-16,5.32108199087257e-17,"GC-robust"
"GO_Cellular_Component_2026::Extracellular Vesicle (GO:1903561)",1.82370556236751e-18,497,1644,4.71130778560757e-19,"GO_Cellular_Component_2026",2.32522459201857e-16,6.00691742664965e-17,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",3.95545028760707e-16,30,34,1.59847847078027e-16,"GO_Biological_Process_2026",3.3587423585052e-13,1.3573365757597e-13,"GC-robust"
"GO_Biological_Process_2026::Aerobic Respiration (GO:0009060)",7.29892701830165e-15,61,109,3.86190668632565e-15,"GO_Biological_Process_2026",5.42310277459813e-12,2.86939666793996e-12,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)",5.63560615834654e-14,52,90,7.15870269651718e-14,"GO_Biological_Process_2026",3.72200477835687e-11,4.72792542534423e-11,"GC-robust"
"GO_Cellular_Component_2026::Mitochondrial Intermembrane Space (GO:0005758)",4.31912487200833e-09,37,68,2.88260124800814e-09,"GO_Cellular_Component_2026",4.40550736944849e-07,2.9402532729683e-07,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal snRNP Assembly (GO:0000387)",6.0822075497984e-09,37,70,8.30197837120206e-09,"GO_Biological_Process_2026",3.61526416760017e-06,4.93469594384251e-06,"GC-robust"
"GO_Biological_Process_2026::Protein-RNA Complex Assembly (GO:0022618)",9.5048536508195e-09,65,158,1.80959908432702e-08,"GO_Biological_Process_2026",5.13607728186101e-06,9.77841541567255e-06,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, Cytochrome C to Oxygen (GO:0006123)",4.02676535702882e-08,11,11,4.54266735483308e-08,"GO_Biological_Process_2026",1.99459110684828e-05,2.25013456309399e-05,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)",8.22399418769845e-08,22,34,7.05614458764399e-08,"GO_Biological_Process_2026",3.49167296083426e-05,2.99583738778256e-05,"GC-robust"
"GO_Biological_Process_2026::NADH Dehydrogenase Complex Assembly (GO:0010257)",8.22399418769845e-08,22,34,7.05614458764399e-08,"GO_Biological_Process_2026",3.49167296083426e-05,2.99583738778256e-05,"GC-robust"
"GO_Biological_Process_2026::Energy Derivation by Oxidation of Organic Compounds (GO:0015980)",1.04671276122608e-07,22,35,1.51309278824525e-07,"GO_Biological_Process_2026",4.14777376848521e-05,5.29048443137045e-05,"GC-robust"
"GO_Biological_Process_2026::Response to Type I Interferon (GO:0034340)",1.13148001575109e-07,26,45,1.29474528730595e-07,"GO_Biological_Process_2026",4.2034482585153e-05,4.8099787423416e-05,"GC-robust"
"GO_Biological_Process_2026::ATP Biosynthetic Process (GO:0006754)",1.44082290314761e-07,18,25,9.34816142202154e-08,"GO_Biological_Process_2026",5.0377949037114e-05,3.7043647661664e-05,"GC-robust"
"GO_Cellular_Component_2026::Spliceosomal tri-snRNP Complex (GO:0097526)",2.05181968772394e-07,21,33,2.14655838383806e-07,"GO_Cellular_Component_2026",1.34332696412707e-05,1.37582429176477e-05,"GC-robust"
"GO_Cellular_Component_2026::U4/U6 X U5 tri-snRNP Complex (GO:0046540)",2.05181968772394e-07,21,33,2.14655838383806e-07,"GO_Cellular_Component_2026",1.34332696412707e-05,1.37582429176477e-05,"GC-robust"
"GO_Cellular_Component_2026::Spliceosomal snRNP Complex (GO:0097525)",2.10717955157187e-07,29,54,2.15815575178788e-07,"GO_Cellular_Component_2026",1.34332696412707e-05,1.37582429176477e-05,"GC-robust"
"GO_Cellular_Component_2026::U12-type Spliceosomal Complex (GO:0005689)",6.4687922130206e-07,17,26,1.81911887428658e-06,"GO_Cellular_Component_2026",3.66564892071167e-05,9.27750625886154e-05,"GC-robust"
"GO_Cellular_Component_2026::Mitochondrial Matrix (GO:0005759)",7.57080810514003e-07,119,375,2.02900405140956e-06,"GO_Cellular_Component_2026",3.86111213362141e-05,9.40720060198977e-05,"GC-robust"
"GO_Cellular_Component_2026::Cytoplasmic Vesicle Lumen (GO:0060205)",1.08332911732897e-06,47,110,4.43916812217256e-07,"GO_Cellular_Component_2026",5.02270772579795e-05,2.51552860256445e-05,"GC-robust"
"GO_Biological_Process_2026::RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)",1.26826540862645e-06,67,189,6.85598739716709e-06,"GO_Biological_Process_2026",0.000418809421604202,0.00194057090898863,"GC-robust"
"GO_Cellular_Component_2026::Precatalytic Spliceosome (GO:0071011)",1.90112843376725e-06,27,54,3.5195733478964e-06,"GO_Cellular_Component_2026",8.07979584351083e-05,0.00013807556980209,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039)",2.47296549715637e-06,13,17,2.05174246052554e-06,"GO_Biological_Process_2026",0.000773647732373551,0.000677530954742433,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal tri-snRNP Complex Assembly (GO:0000244)",3.74672629224462e-06,21,38,5.60721654022189e-06,"GO_Biological_Process_2026",0.0011135270540551,0.00166646475575395,"GC-robust"
"GO_Molecular_Function_2026::2 Iron, 2 Sulfur Cluster Binding (GO:0051537)",4.54438506583315e-06,11,14,8.57954074280775e-06,"GO_Molecular_Function_2026",0.00628942893111308,0.0118740843880459,"GC-robust"
"GO_Cellular_Component_2026::U2-type Precatalytic Spliceosome (GO:0071005)",4.69759805923299e-06,25,50,8.05408604322449e-06,"GO_Cellular_Component_2026",0.000184290385400679,0.000245703636698541,"GC-robust"
"GO_Cellular_Component_2026::U4 snRNP (GO:0005687)",5.15917536367504e-06,9,10,7.94627478693684e-06,"GO_Cellular_Component_2026",0.000187941388248162,0.000245703636698541,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal Conformational Changes to Generate Catalytic Conformation (GO:0000393)",6.02747127208706e-06,21,38,5.60721654022189e-06,"GO_Biological_Process_2026",0.00170606139244217,0.00166646475575395,"GC-robust"
"GO_Biological_Process_2026::MRNA Splicing, via Spliceosome (GO:0000398)",6.95656449359013e-06,75,227,3.44784030568584e-05,"GO_Biological_Process_2026",0.00187953724317726,0.00731927242035595,"GC-robust"
"GO_Cellular_Component_2026::Intracellular Organelle Lumen (GO:0070013)",7.82703338043637e-06,220,779,3.08981931329393e-06,"GO_Cellular_Component_2026",0.000266119134934837,0.000131317320814992,"GC-robust"
"GO_Biological_Process_2026::Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)",9.8217895220805e-06,24,48,1.21938911457487e-05,"GO_Biological_Process_2026",0.00253829203996724,0.00278771111424348,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, Ubiquinol to Cytochrome C (GO:0006122)",1.13617420147583e-05,10,12,9.04837593582908e-06,"GO_Biological_Process_2026",0.00281392477232181,0.00244470666193491,"GC-robust"
"GO_Cellular_Component_2026::Ficolin-1-rich Granule Lumen (GO:1904813)",1.19695271784046e-05,47,120,8.1901212232847e-06,"GO_Cellular_Component_2026",0.000381528678811645,0.000245703636698541,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Membrane (GO:0051204)",1.28946857611327e-05,16,26,1.16344072907305e-05,"GO_Biological_Process_2026",0.00306584048656691,0.00276619667744409,"GC-robust"
"GO_Cellular_Component_2026::Secretory Granule Lumen (GO:0034774)",1.29953956579811e-05,88,264,5.05312540188227e-06,"GO_Cellular_Component_2026",0.000389861869739432,0.000184078139639997,"GC-robust"
"GO_Biological_Process_2026::Spliceosome Conformational Change to Release U4 (Or U4atac) and U1 (Or U11) (GO:0000388)",2.11686190710837e-05,19,35,2.20882611744809e-05,"GO_Biological_Process_2026",0.00462577904247625,0.00486268979337462,"GC-robust"
