Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Molecular_Function_2026,GTPase Regulator Activity (GO:0030695),7.28472953643249e-19,1.0067496219349702e-15,2.7187186946501497e-16,3.757269236006507e-13,2.445638889733378,172,426,GC-robust,ABR;ACAP2;AGAP4;AGAP9;AKAP13;ALS2;ARAP1;ARAP2;ARF4;ARFGEF1;ARFGEF2;ARFGEF3;ARHGAP10;ARHGAP11B;ARHGAP12;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF38;ARHGEF6;ARHGEF7;ARHGEF9;ARL2BP;ASAP1;BCR;CCDC88A;CCDC88C;CHN2;CPEB2;CYTH1;DENND1A;DENND1B;DENND3;DENND4A;DENND4C;DENND5B;DIS3;DNMBP;DOCK1;DOCK10;DOCK11;DOCK2;DOCK3;DOCK4;DOCK5;DOCK7;DOCK8;DOCK9;ECT2;ELMO1;ELMO2;ELMOD2;EVI5;FAM13A;FAM13B;FARP2;FGD4;FGD6;GAPVD1;GBF1;GIT2;GNAQ;GPSM2;HERC1;HERC2;HPS4;IPO7;IQGAP2;IQSEC1;ITSN1;KRIT1;LARS1;LRRK2;MCF2;MCF2L;MCF2L2;MON2;MYCBP2;MYO9A;NCKAP1L;NET1;NF1;OBSCN;PLCB1;PLCG1;PLEKHG1;PLEKHG2;PREX1;PREX2;RAB3GAP1;RAB3GAP2;RAB3IP;RABGAP1;RABGAP1L;RABGEF1;RALGAPA1;RALGAPA2;RALGAPB;RALGPS1;RALGPS2;RAP1A;RAP1GDS1;RAPGEF1;RAPGEF2;RAPGEF6;RASA1;RASA2;RASA3;RASGEF1B;RASGRF2;RASGRP1;RASGRP3;RCBTB2;RGS12;RGS13;RGS5;RHOF;RIC1;RIC8B;RIN3;RMC1;RPGR;SBF2;SERGEF;SGSM1;SGSM2;SH3BP5;SIPA1L1;SIPA1L2;SLC38A9;SMCR8;SOS1;SRGAP2;SRGAP2C;SRGAP3;STARD13;STXBP5;STXBP5L;SWAP70;SYDE2;TBC1D1;TBC1D14;TBC1D15;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D4;TBC1D5;TBC1D8B;TBCD;TBCK;TRIO;USP6NL;VAV2;VAV3;WASL
GO_Molecular_Function_2026,Guanyl-nucleotide Exchange Factor Activity (GO:0005085),1.09034249830481e-13,7.534266663286238e-11,7.0219747906813e-12,4.852184580360779e-09,2.824040144256335,93,211,GC-robust,ABR;AKAP13;ALS2;ARF4;ARFGEF1;ARFGEF2;ARFGEF3;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF38;ARHGEF6;ARHGEF7;ARHGEF9;BCR;CCDC88A;CCDC88C;CYTH1;DENND1A;DENND1B;DENND3;DENND4A;DENND4C;DENND5B;DIS3;DNMBP;DOCK1;DOCK10;DOCK11;DOCK2;DOCK3;DOCK4;DOCK5;DOCK7;DOCK8;DOCK9;ECT2;ELMO1;ELMO2;FARP2;FGD4;FGD6;GAPVD1;GBF1;HERC1;HERC2;HPS4;IQSEC1;ITSN1;MCF2;MCF2L;MCF2L2;MON2;MYCBP2;NET1;OBSCN;PLCG1;PLEKHG1;PLEKHG2;PREX1;PREX2;RAB3GAP1;RAB3GAP2;RAB3IP;RABGEF1;RALGPS1;RALGPS2;RAP1A;RAP1GDS1;RAPGEF1;RAPGEF2;RAPGEF6;RASGEF1B;RASGRF2;RASGRP1;RASGRP3;RCBTB2;RHOF;RIC1;RIC8B;RIN3;RMC1;RPGR;SBF2;SERGEF;SH3BP5;SLC38A9;SMCR8;SOS1;SWAP70;TRIO;VAV2;VAV3
GO_Molecular_Function_2026,GTPase Activator Activity (GO:0005096),2.5113652684223097e-11,1.156902266986544e-08,1.30653906145087e-10,6.018789943083673e-08,2.6632396317272446,90,211,GC-robust,ABR;ACAP2;AGAP4;AGAP9;ALS2;ARAP1;ARAP2;ARFGEF1;ARHGAP10;ARHGAP11B;ARHGAP12;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP24;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGEF6;ASAP1;BCR;CHN2;DOCK1;DOCK7;ECT2;ELMOD2;EVI5;FAM13A;FAM13B;GIT2;GNAQ;IQGAP2;LARS1;LRRK2;MYO9A;NCKAP1L;NF1;PLCB1;PREX1;PREX2;RAB3GAP1;RAB3GAP2;RABGAP1;RABGAP1L;RALGAPA1;RALGAPA2;RALGAPB;RAPGEF2;RASA1;RASA2;RASA3;RASGRP3;RGS12;RGS13;RGS5;SGSM1;SGSM2;SIPA1L1;SIPA1L2;SMCR8;SOS1;SRGAP2;SRGAP2C;SRGAP3;STARD13;STXBP5;STXBP5L;SYDE2;TBC1D1;TBC1D14;TBC1D15;TBC1D2;TBC1D22A;TBC1D22B;TBC1D2B;TBC1D3;TBC1D3L;TBC1D4;TBC1D5;TBC1D8B;TBCD;TBCK;USP6NL;VAV3
GO_Biological_Process_2026,Regulation of Small GTPase Mediated Signal Transduction (GO:0051056),3.54301069187286e-11,2.1038397488341042e-07,7.60401516806977e-10,4.515264206799829e-06,2.943158785664967,70,155,GC-robust,ABR;AKAP13;ARAP1;ARHGAP10;ARHGAP11B;ARHGAP12;ARHGAP15;ARHGAP17;ARHGAP21;ARHGAP22;ARHGAP25;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGEF11;ARHGEF12;ARHGEF18;ARHGEF9;BCR;CD2AP;CHN2;CYRIB;DENND1A;DENND3;DENND4A;DENND4C;DNMBP;DOCK10;DOCK11;DOCK2;DOCK3;DOCK7;DOCK8;DOCK9;ECT2;FAM13A;FAM13B;FGD4;GIT2;ITGAV;ITSN1;KANK1;MCF2;MCF2L;MYO9A;NET1;OBSCN;OGT;PKP4;PLEKHG1;PREX1;PREX2;RABL3;RALGPS1;RALGPS2;RASGRF2;RHOF;SRGAP2;SRGAP3;STARD13;SWAP70;SYDE2;TRIO;VAV2;VAV3;WNK1
GO_Molecular_Function_2026,Protein Serine/Threonine Kinase Activity (GO:0004674),3.2493447060857904e-09,1.1226485959526406e-06,8.015685720213091e-09,2.7694194163336232e-06,2.056190247181624,125,343,GC-robust,AAK1;ACVR1;AKT3;ALPK1;ATM;ATR;BCR;BMP2K;BRAF;BUB1;CAMK1D;CAMK2A;CAMK2D;CAMK2G;CAMK4;CASK;CCNK;CDC42BPA;CDC7;CDK11A;CDK11B;CDK13;CDK14;CDK19;CDK6;CDK8;CHUK;CLK1;CLK4;CSNK1A1;CSNK1D;CSNK1G3;DCAF1;DYRK1A;EIF2AK3;FAM20C;FYN;GAK;GRK3;GRK5;GSK3B;HIPK2;HIPK3;HUNK;IKBKB;IRAK3;LATS2;LMTK2;LRRK2;MAK;MAP3K1;MAP3K12;MAP3K14;MAP3K2;MAP3K20;MAP3K4;MAP3K5;MAP3K7;MAP3K9;MAP4K3;MAP4K4;MAP4K5;MAPK14;MAPK4;MAPK8;MAPK9;MAPKAP1;MAST4;MASTL;MTOR;NEK10;NEK11;NEK6;NEK7;NEK9;NLK;OXSR1;PAK1;PDK1;PIK3R4;PIKFYVE;PINK1;PKN2;PRKAA1;PRKACB;PRKCA;PRKCB;PRKCE;PRKCH;PRKCQ;PRKD3;PRKDC;PRP4K;PTK2B;RICTOR;RIPK2;ROCK1;ROCK2;RPTOR;SIK1;SIK2;SIK3;SLK;SMG1;SNRK;STK24;STK26;STK3;STK38;STK38L;STK39;TAF1;TAOK1;TBK1;TLK1;TLK2;TNIK;TOP1;TRIO;TRPM7;TTN;ULK4;VRK1;VRK2;WNK1
GO_Molecular_Function_2026,Small GTPase Binding (GO:0031267),1.77970195897429e-07,4.919096214604938e-05,1.34925751668899e-06,0.0002663819840091692,2.17075360121304,76,201,GC-robust,ABCA1;ABI2;AFDN;AKAP13;ALS2;ANKFY1;AP1G1;BICD1;BRAF;CCDC186;CHML;CYRIB;DENND5B;DMXL2;DOCK1;DOCK2;DOCK3;DOCK4;DOCK5;DOCK7;EHBP1;ERC1;EVI5;EXOC2;EXOC5;EXOC8;FGD4;FGD6;GAPVD1;GCC2;GGA2;GIT2;GOLGA4;HACE1;HPS4;IPO7;IPO8;IQGAP2;KIF3A;KNTC1;LRRK2;MAPKAP1;MYCBP2;MYO5A;NDRG1;NGFR;PAK1;PICALM;PLEKHA8;PLEKHG1;PLEKHG2;RAB3GAP1;RAB3GAP2;RABGAP1;RABGAP1L;RABGEF1;RABGGTB;RANBP3;RAPGEF6;RIC1;RIN3;RNF152;RPTOR;SGSM1;SGSM2;SORL1;SRGAP2;STRN3;TRIP11;USP33;USP6NL;VPS39;WDR44;WHAMM;XPO4;XPO5
GO_Molecular_Function_2026,GTPase Binding (GO:0051020),2.14279333342464e-07,4.9355673113214205e-05,1.08648679741375e-06,0.00025025412567096706,2.098427768131641,84,227,GC-robust,ABCA1;ABI2;AFDN;AKAP13;ALS2;AMBRA1;ANKFY1;AP1G1;ATG16L1;BECN1;BICD1;BRAF;CCDC186;CHML;CYRIB;DENND5B;DMXL2;DOCK1;DOCK2;DOCK3;DOCK4;DOCK5;DOCK7;EHBP1;ERC1;EVI5;EXOC2;EXOC5;EXOC8;FGD4;FGD6;FNBP1L;GAPVD1;GCC2;GGA2;GIT2;GOLGA4;HACE1;HPS4;IARS1;IPO7;IPO8;IQGAP2;KIF3A;KNTC1;LCP1;LRRK2;MAPKAP1;MYCBP2;MYO5A;NDRG1;NGFR;PAK1;PICALM;PLEKHA8;PLEKHG1;PLEKHG2;RAB3GAP1;RAB3GAP2;RABGAP1;RABGAP1L;RABGEF1;RABGGTB;RANBP3;RAPGEF6;RASA1;RIC1;RIN3;RNF152;RPTOR;SGSM1;SGSM2;SORL1;SPTBN1;SRGAP2;STRN3;TRIP11;USP33;USP6NL;VPS39;WDR44;WHAMM;XPO4;XPO5
GO_Biological_Process_2026,Regulation of Intracellular Signal Transduction (GO:1902531),6.87926080653003e-08,0.00020424525334587662,2.54996546958463e-07,0.0005047231652797844,1.9653644663972458,112,316,GC-robust,ABR;ACVR1;AKAP13;AKAP6;APP;ARAP1;ARHGAP10;ARHGAP11B;ARHGAP15;ARHGAP21;ARHGAP22;ARHGAP26;ARHGAP31;ARHGAP32;ARHGAP35;ARHGAP5;ARHGAP6;ARHGAP8;ARHGEF11;ARHGEF12;ARHGEF9;ATM;BCR;CAPN3;CARD9;CHN2;CLEC6A;CUL1;CYLD;DLG1;DNMBP;DOCK2;DOCK3;DOCK8;ECT2;EP300;EZR;FAM13A;FAM13B;FGD4;GNA12;GRAP;HIPK2;ITGAV;ITPR1;ITSN1;KAT6A;LRRK2;MALT1;MAP3K7;MAP4K4;MCF2;MCF2L;MTOR;MYO9A;NET1;NF1;OBSCN;PAK1;PDE3B;PHLPP1;PLCG2;PLEKHG1;PPM1A;PPP2CA;PREX1;PREX2;PRMT5;PTPN11;PTPN13;PTPN22;RASA1;RASA2;RASA3;RASGRF2;RASSF2;RHOF;RICTOR;SGMS1;SHOC2;SIRT1;SLA;SLC8A1;SNW1;SRGAP2;SRGAP3;STARD13;STK3;STRIP1;STRN;STRN3;SWAP70;SYDE2;TAB2;TAB3;TAF1;TBCK;TNIK;TRAF3;TRAF5;TRIO;TTI1;UFL1;ULK4;URB2;USP2;USP7;VAV2;VAV3;VRK2;WWC3;ZFAND6
GO_Biological_Process_2026,Positive Regulation of DNA-templated Transcription (GO:0045893),1.17695885132246e-07,0.0002329593886384256,9.67532794765852e-06,0.009610803063170909,1.4355567575855666,296,1039,GC-robust,ACVR1;AGO2;AKAP8L;APP;ARF4;ARHGEF11;ARID1B;ARNT;ASPH;ASXL2;ATAD2;ATF2;ATF6;ATF7IP;ATM;ATRX;ATXN7;AUTS2;BCAS3;BCLAF1;BCLAF3;BDP1;BLM;BMAL1;BMAL2;BPTF;BTRC;CAMK4;CAPN3;CAPRIN2;CCNC;CCNK;CCNT2;CD200;CD38;CDC73;CDK13;CDK5RAP2;CDK8;CEP290;CHD3;CHD4;CHD6;CHD8;CHUK;CIITA;CRAMP1;CREB5;CREBBP;CRLF3;CRTC3;CTBP2;CTNNB1;DCAF6;DDX17;DDX3X;DHX36;DHX9;DNAJC2;DOT1L;DYRK1A;E2F3;ECD;EDRF1;EFCAB7;EIF2AK3;EP300;EP400;EPC1;EPC2;ERCC6;ESR1;ETS1;FBXW11;FLI1;FOXJ3;FUBP3;GABPA;GNL3;GTF2A1;GTF2I;HDAC4;HEATR1;HIF1A;HIPK2;HIVEP3;HNRNPD;HNRNPU;ICE1;ICE2;IKBKB;IL26;ILF3;INHBA;INO80;ITGA6;JAK2;KANSL2;KANSL3;KAT2B;KAT5;KAT6A;KAT6B;KAT7;KDM1A;KDM3A;KDM4C;KDM5A;KLF7;KMT2A;KMT2C;KMT2D;KMT2E;LEF1;LIN54;LMO7;LPIN1;LPIN2;LRP6;MAML2;MAML3;MAP2K5;MAP3K12;MAP3K5;MAPRE3;MAX;MAZ;MBTD1;MBTPS2;MCM3AP;MDFIC;MED1;MED12;MED12L;MED13;MED13L;MED14;MED4;MEF2A;MEF2C;MET;MICAL2;MLLT10;MRTFB;MSL3;MTOR;MYBL1;MYSM1;NAA15;NAA16;NAMPT;NCK2;NCOA1;NCOA2;NCOA6;NFATC1;NFATC2;NFATC3;NFE2L1;NFIA;NFKB1;NFYA;NFYC;NGFR;NLRP3;NOD2;NOTCH2;NPAT;NR2C2;NR3C1;NR4A1;NR4A3;NRF1;NSD1;NSD3;OGT;PAXBP1;PBX3;PCBP1;PCGF3;PCGF5;PHIP;PIAS1;PICALM;PID1;PIK3R1;PLAG1;PLAGL1;PLCB1;POU2F1;POU2F3;PPM1A;PPP1R12A;PPP3CA;PRDM10;PRDM15;PRDM16;PRDM2;PRDM4;PRKAA1;PRKDC;PRKN;PURB;QRICH1;RAI1;RBBP4;RBPJ;RELA;RFX3;RFX5;RFX7;RGMA;RGMB;RHOQ;RIPK2;RLF;RNF14;RNF20;RNF40;RORA;RPTOR;RREB1;RUNX1;RUNX2;RYBP;SCAF8;SENP1;SETD4;SETD7;SETX;SF3B1;SF3B3;SFPQ;SIRT1;SKAP1;SKI;SMAD2;SMAD3;SMAD4;SMARCA2;SMARCA5;SMARCAD1;SMARCC1;SMARCC2;SNW1;SP100;SP3;SS18L1;SSBP2;STAT1;STAT4;STRN3;SUPT20H;SUPT3H;TAF1;TAF2;TAF4;TAF5L;TAF6;TASP1;TBK1;TBL1X;TBL1XR1;TCERG1;TCF12;TCF4;TET2;TET3;TFEC;TGFB2;TLR2;TMF1;TNKS;TOX;TP53BP1;TP53INP2;TRERF1;TRIM44;TRRAP;UBE2E1;UBP1;USP16;UTP15;WASL;WDR43;WDR75;WWOX;XPC;YAF2;ZBTB18;ZEB2;ZMIZ1;ZNF516;ZNF609;ZNF711;ZXDC
GO_Biological_Process_2026,Positive Regulation of GTPase Activity (GO:0043547),2.59723842398377e-07,0.0003855600440403907,1.94247083076697e-07,0.0005047231652797844,3.7700172619838,36,70,GC-robust,ABR;ALS2;ARAP1;ARHGAP11B;BCAR3;BCR;CORO1C;DOCK10;DOCK11;DOCK8;DOCK9;ECT2;EVI5;EZH2;ITGA6;NDEL1;NET1;NF1;RAB11FIP2;RALGAPA1;RALGAPA2;RALGAPB;RAP1A;RAPGEF1;RAPGEF2;RASGRP1;RIC1;SEMA4D;SIPA1L1;SNX13;SNX9;SRGAP2;SYDE2;TBC1D2;TSC1;USP6NL
