"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Molecular_Function_2026::GTPase Regulator Activity (GO:0030695)",2.21464995728158e-14,98,429,6.94327209413448e-13,"GO_Molecular_Function_2026",3.06507554087771e-11,9.60948857828212e-10,"GC-robust"
"GO_Molecular_Function_2026::GTPase Activator Activity (GO:0005096)",5.48364605202096e-10,54,212,1.993193166308e-09,"GO_Molecular_Function_2026",3.7946830679985e-07,1.37928967108514e-06,"GC-robust"
"GO_Molecular_Function_2026::Guanyl-nucleotide Exchange Factor Activity (GO:0005085)",4.09521069621033e-08,49,213,3.40520719793624e-07,"GO_Molecular_Function_2026",1.88925720118503e-05,0.000157093558731458,"GC-robust"
"GO_Molecular_Function_2026::Protein Serine/Threonine Kinase Activity (GO:0004674)",1.29053627136846e-06,67,345,2.16381411062961e-06,"GO_Molecular_Function_2026",0.000446525549893486,0.000748679682277844,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of Autophagy (GO:0010507)",1.15985939380091e-05,19,61,1.70947147685092e-05,"GO_Biological_Process_2026",0.0689420423675263,0.101610984584019,"n.s."
"GO_Biological_Process_2026::Regulation of Small GTPase Mediated Signal Transduction (GO:0051056)",2.52301879429024e-05,34,157,7.65896286091152e-05,"GO_Biological_Process_2026",0.0749841185663061,0.139623844404923,"n.s."
"GO_Biological_Process_2026::Negative Regulation of miRNA Transcription (GO:1902894)",8.72038311957088e-05,9,22,0.000299843713486856,"GO_Biological_Process_2026",0.119020100995516,0.254610147566553,"n.s."
"GO_Biological_Process_2026::Lysosomal Transport (GO:0007041)",9.50847992195726e-05,15,47,9.52740859213954e-05,"GO_Biological_Process_2026",0.119020100995516,0.139623844404923,"n.s."
"GO_Biological_Process_2026::Regulation of Intracellular Signal Transduction (GO:1902531)",0.000100117850770118,57,317,0.000117449398052594,"GO_Biological_Process_2026",0.119020100995516,0.139623844404923,"n.s."
"GO_Biological_Process_2026::Negative Regulation of miRNA Metabolic Process (GO:2000629)",0.000275307382594807,9,24,0.000642869006978188,"GO_Biological_Process_2026",0.250556930562053,0.281093539069734,"n.s."
"GO_Biological_Process_2026::Regulation of Autophagosome Assembly (GO:2000785)",0.000295070409477519,14,42,9.54308851297024e-05,"GO_Biological_Process_2026",0.250556930562053,0.139623844404923,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Macroautophagy (GO:0016242)",0.000429274424090687,10,28,0.000508957997346407,"GO_Biological_Process_2026",0.313883913920931,0.28037954597861,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Autophagosome Assembly (GO:1902902)",0.000475261646246363,6,10,0.000248069427786739,"GO_Biological_Process_2026",0.313883913920931,0.245754113127396,"n.s."
"GO_Molecular_Function_2026::Small GTPase Binding (GO:0031267)",0.000666998999047312,37,201,0.00112077347646705,"GO_Molecular_Function_2026",0.184625322936296,0.248268456966332,"n.s."
"GO_Biological_Process_2026::Regulation of Organelle Assembly (GO:1902115)",0.000750724619377863,20,82,0.000446547194357192,"GO_Biological_Process_2026",0.368512307630439,0.28037954597861,"n.s."
"GO_Biological_Process_2026::Interleukin-1-mediated Signaling Pathway (GO:0070498)",0.000764219219458788,8,20,0.000781988727132209,"GO_Biological_Process_2026",0.368512307630439,0.290508812129616,"n.s."
"GO_Cellular_Component_2026::Early Endosome (GO:0005769)",0.000769131502702269,49,292,0.00165575319736353,"GO_Cellular_Component_2026",0.249014436082998,0.4222170653277,"n.s."
"GO_Molecular_Function_2026::Kinase Binding (GO:0019900)",0.000847630316822911,64,402,0.00143507778593255,"GO_Molecular_Function_2026",0.191676952424012,0.248268456966332,"n.s."
"GO_Biological_Process_2026::Post-Golgi Vesicle-Mediated Transport (GO:0006892)",0.000897305257222665,13,43,0.00049984430924641,"GO_Biological_Process_2026",0.368512307630439,0.28037954597861,"n.s."
"GO_Molecular_Function_2026::JUN Kinase Binding (GO:0008432)",0.000969464354745726,5,9,0.00137389662642701,"GO_Molecular_Function_2026",0.191676952424012,0.248268456966332,"n.s."
"GO_Cellular_Component_2026::Trans-Golgi Network (GO:0005802)",0.000976527200325482,45,253,0.000746790893767427,"GO_Cellular_Component_2026",0.249014436082998,0.380863355821388,"n.s."
"GO_Biological_Process_2026::Cytoplasmic Microtubule Organization (GO:0031122)",0.000978013035545763,15,57,0.000971892359085855,"GO_Biological_Process_2026",0.368512307630439,0.320940454578129,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Epithelial Cell Migration (GO:0010634)",0.000995549842595075,11,34,0.000709354489577055,"GO_Biological_Process_2026",0.368512307630439,0.281093539069734,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)",0.00105380521850721,113,800,0.00272653215811914,"GO_Biological_Process_2026",0.368512307630439,0.413288897873327,"n.s."
"GO_Biological_Process_2026::Vacuolar Transport (GO:0007034)",0.00107557759306987,10,32,0.00166063088505346,"GO_Biological_Process_2026",0.368512307630439,0.372651299731556,"n.s."
"GO_Biological_Process_2026::Regulation of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746)",0.00123088591028983,4,6,0.00181811704108599,"GO_Biological_Process_2026",0.368512307630439,0.372651299731556,"n.s."
"GO_Biological_Process_2026::Regulation of Vacuole Organization (GO:0044088)",0.00123141280342332,8,19,0.000518871972706041,"GO_Biological_Process_2026",0.368512307630439,0.28037954597861,"n.s."
"GO_Biological_Process_2026::Protein auto-ADP-ribosylation (GO:0070213)",0.00127962042620733,6,12,0.000897981865481125,"GO_Biological_Process_2026",0.368512307630439,0.313976718142342,"n.s."
"GO_Biological_Process_2026::Regulation of Osteoclast Differentiation (GO:0045670)",0.00129487562492304,11,36,0.00121175514698716,"GO_Biological_Process_2026",0.368512307630439,0.342984409223415,"n.s."
"GO_Biological_Process_2026::TORC2 Signaling (GO:0038203)",0.00137398432500624,5,10,0.00249972382506728,"GO_Biological_Process_2026",0.368512307630439,0.412732178227775,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Wound Healing, Spreading of Epidermal Cells (GO:1903691)",0.00139090513039122,3,3,0.00132664416903601,"GO_Biological_Process_2026",0.368512307630439,0.355062675977484,"n.s."
"GO_Biological_Process_2026::Vesicle Cytoskeletal Trafficking (GO:0099518)",0.00148311472675731,8,21,0.00114245921472642,"GO_Biological_Process_2026",0.368512307630439,0.342984409223415,"n.s."
"GO_Biological_Process_2026::Regulation of Retrograde Transport, Endosome to Golgi (GO:1905279)",0.0015004410493013,5,8,0.000671418887312009,"GO_Biological_Process_2026",0.368512307630439,0.281093539069734,"n.s."
"GO_Biological_Process_2026::Peptidyl-serine Phosphorylation (GO:0018105)",0.0015499339991186,11,34,0.000709354489577055,"GO_Biological_Process_2026",0.368512307630439,0.281093539069734,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol Phosphate Binding (GO:1901981)",0.00162494275988169,28,147,0.00255820196361003,"GO_Molecular_Function_2026",0.281115097459533,0.321868319785117,"n.s."
"GO_Biological_Process_2026::Regulation of Cell-Matrix Adhesion (GO:0001952)",0.00180939175093399,15,58,0.00117994430696532,"GO_Biological_Process_2026",0.413654791059678,0.342984409223415,"n.s."
"GO_Cellular_Component_2026::Golgi Membrane (GO:0000139)",0.00195355001682091,69,456,0.00356140494237224,"GO_Cellular_Component_2026",0.332103502859554,0.493811254275716,"n.s."
"GO_Biological_Process_2026::Regulation of Endothelial Cell Development (GO:1901550)",0.00211681955079908,5,9,0.00137389662642701,"GO_Biological_Process_2026",0.429327112369157,0.355062675977484,"n.s."
"GO_Biological_Process_2026::Phosphatidylinositol Metabolic Process (GO:0046488)",0.00214282323917974,16,66,0.00172404904116198,"GO_Biological_Process_2026",0.429327112369157,0.372651299731556,"n.s."
"GO_Biological_Process_2026::Membrane Fission (GO:0090148)",0.00225939692128488,12,44,0.00219675711794513,"GO_Biological_Process_2026",0.429327112369157,0.412732178227775,"n.s."
"GO_Biological_Process_2026::Marginal Zone B Cell Differentiation (GO:0002315)",0.00229829200919731,4,7,0.00387302944529973,"GO_Biological_Process_2026",0.429327112369157,0.467710292811299,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Dendrite Extension (GO:1903861)",0.00231637051688835,6,14,0.00240329501219084,"GO_Biological_Process_2026",0.429327112369157,0.412732178227775,"n.s."
"GO_Biological_Process_2026::Regulation of Dendrite Extension (GO:1903859)",0.00231637051688835,6,14,0.00240329501219084,"GO_Biological_Process_2026",0.429327112369157,0.412732178227775,"n.s."
"GO_Molecular_Function_2026::GTPase Binding (GO:0051020)",0.00232680962881901,39,227,0.00308263438892794,"GO_Molecular_Function_2026",0.357811614031724,0.328181999559713,"n.s."
"GO_Biological_Process_2026::Positive Regulation of DNA-templated Transcription (GO:0045893)",0.00238354554309929,140,1048,0.00720174810341339,"GO_Biological_Process_2026",0.429327112369157,0.572422690836681,"n.s."
"GO_Molecular_Function_2026::Bitter Taste Receptor Activity (GO:0033038)",0.00260320175213627,5,8,0.000671418887312009,"GO_Molecular_Function_2026",0.36028312249566,0.185848748007964,"n.s."
"GO_Biological_Process_2026::Cortical Cytoskeleton Organization (GO:0030865)",0.00264694938512839,10,34,0.00275208583215951,"GO_Biological_Process_2026",0.457802699045748,0.413288897873327,"n.s."
"GO_Biological_Process_2026::Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)",0.0026956753813259,13,52,0.00339602175397021,"GO_Biological_Process_2026",0.457802699045748,0.463385353335302,"n.s."
"GO_Biological_Process_2026::Response to Macrophage Colony-Stimulating Factor (GO:0036005)",0.00286760158990276,3,4,0.00486981123941885,"GO_Biological_Process_2026",0.473472884732833,0.516895678698315,"n.s."
"GO_Molecular_Function_2026::Transcription Coactivator Binding (GO:0001223)",0.00309587766003379,10,37,0.00538777422051316,"GO_Molecular_Function_2026",0.389517698316979,0.403273393576775,"n.s."
"GO_Biological_Process_2026::Regulation of Epithelial Cell Migration (GO:0010632)",0.00312900615102813,11,39,0.00248225979877237,"GO_Biological_Process_2026",0.473977847508166,0.412732178227775,"n.s."
"GO_Biological_Process_2026::Cellular Response to Interleukin-1 (GO:0071347)",0.0031451928215577,12,48,0.00480127217665694,"GO_Biological_Process_2026",0.473977847508166,0.516895678698315,"n.s."
"GO_Biological_Process_2026::Response to Tumor Necrosis Factor (GO:0034612)",0.00318566654347826,15,65,0.00394511466400515,"GO_Biological_Process_2026",0.473977847508166,0.467710292811299,"n.s."
"GO_Biological_Process_2026::Endocytic Recycling (GO:0032456)",0.00318962212320435,18,81,0.00261784384129277,"GO_Biological_Process_2026",0.473977847508166,0.413288897873327,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Sodium Ion Transmembrane Transport (GO:1902306)",0.00333440697180638,4,6,0.00181811704108599,"GO_Biological_Process_2026",0.478984876968104,0.372651299731556,"n.s."
"GO_Biological_Process_2026::Regulation of Establishment of Protein Localization (GO:0070201)",0.00339176122399846,6,13,0.00151317149400048,"GO_Biological_Process_2026",0.478984876968104,0.372651299731556,"n.s."
