gene_name,logFC,logCPM,PValue,F,FDR
SYS1-DBNDD2,8.109350510894709,2.2715403013713864,2.5864903078331977e-09,718.1121512668852,5.110008645217643e-05
DGKI,-9.310649891559589,8.23225959422677,5.017050886013628e-09,1830.1428810642487,5.110008645217643e-05
ENSG00000299949.1,7.617808455230222,1.78970383416857,6.402717260014588e-09,571.6698808468168,5.110008645217643e-05
TSPAN9,-8.182584815770685,7.37922487298426,9.27704607477159e-09,1505.1189735473242,5.408476634474824e-05
MZT2B,-6.248604327830702,7.391053460938874,2.2275294697321515e-08,1138.6588882496744,5.408476634474824e-05
SNORD89,9.333773418788716,4.088962493447674,2.449832385371522e-08,323.86523591078884,5.408476634474824e-05
NDUFA11,-5.42421183588427,6.034814115109664,2.9351187356185824e-08,1043.0852055682226,5.408476634474824e-05
LINC01387,-7.403178568024073,5.5242149996231324,2.982116820074483e-08,1041.3209356488605,5.408476634474824e-05
UQCR11,-5.489894591213876,6.727030423676554,2.989975365984302e-08,1036.9140162595309,5.408476634474824e-05
COX6B1,-5.167853001650605,7.018380049484855,3.1516758017181374e-08,1019.6133147371438,5.408476634474824e-05
OST4,-5.690972645514973,7.367241418401783,3.2548773145189116e-08,1009.2192000313585,5.408476634474824e-05
HCST,-5.960767457454349,7.763738545894978,3.5823219965927305e-08,978.9080127293236,5.408476634474824e-05
COPS9,-5.273296937592019,5.907243917538746,4.371657741657785e-08,918.9111779196559,5.408476634474824e-05
SF3B5,-5.0802812138022135,6.342261555833824,4.8378831070927933e-08,889.6933315276046,5.408476634474824e-05
TMEM256,-6.087988789612539,4.493295722056855,4.9661113718382404e-08,884.1763138708787,5.408476634474824e-05
NDUFB8,-4.75781477865963,6.237870676095631,4.9823200133267426e-08,881.3972814924102,5.408476634474824e-05
SCHLAP1,-7.9241939963965216,5.1765621149933665,5.0504622783996815e-08,889.6088367469553,5.408476634474824e-05
NDUFB7,-5.271364752918426,6.080778325682356,5.422024749288574e-08,858.0071654475565,5.408476634474824e-05
ELOB,-5.435376148565266,6.918848323403687,5.857242416319332e-08,837.1448808752665,5.408476634474824e-05
MICOS13,-5.459986985297595,5.264085710696717,6.086922998156848e-08,827.1954889376366,5.408476634474824e-05
MALAT1,9.13876473347702,14.513677388800161,6.209621836963321e-08,821.6549430982219,5.408476634474824e-05
NEDD8,-4.544799553648491,6.354225303564303,6.812313759949997e-08,797.782928245639,5.408476634474824e-05
AURKAIP1,-4.975626733434558,5.697122694724342,6.824263673024009e-08,797.405136497006,5.408476634474824e-05
CPEB2,4.559331340696653,6.530879764328845,6.826084004204273e-08,797.2885111102656,5.408476634474824e-05
ENSG00000301740.1,-6.119552914378231,0.20519215701089982,7.277307773883313e-08,314.6019827547892,5.408476634474824e-05
HIGD2A,-5.1305384871157305,6.516476723633987,7.444279081291932e-08,775.5913493203385,5.408476634474824e-05
MRPL54,-4.713674180714411,5.834943018537315,7.633125101487428e-08,769.440234507196,5.408476634474824e-05
ATP5F1D,-5.399186541110131,6.8255711954413,7.643259490271287e-08,769.099827945755,5.408476634474824e-05
LPCAT3,5.6294003728704105,4.614440798280707,7.804094373123543e-08,764.799364250246,5.408476634474824e-05
ATP5MF,-4.43745975352248,5.7257290949500685,8.070663258797105e-08,755.8820188322144,5.408476634474824e-05
PRDX5,-4.794510262789395,6.030573722661676,8.090082926478965e-08,755.3037566356953,5.408476634474824e-05
BLOC1S1,-4.84605167651298,5.951976894517797,8.704093274821246e-08,737.9099795610719,5.408476634474824e-05
C12orf57,-5.097690606420536,7.21810354483867,8.77707711578428e-08,735.8950003955539,5.408476634474824e-05
LGALS1,-5.6810699865235605,7.404191494441342,9.390689871718834e-08,720.2151675701003,5.408476634474824e-05
TMEM238,-8.23266997002813,4.282027287123859,9.553820200944207e-08,731.504097842624,5.408476634474824e-05
UBL5,-4.610824579528787,6.824128080905551,1.0229938896246787e-07,700.8237060288809,5.408476634474824e-05
CKLF,-4.600094531817336,5.211799138207719,1.0341592552152006e-07,698.4799866768781,5.408476634474824e-05
UBA52,-6.259420121422576,10.308335434507493,1.0639484950626576e-07,692.0947415278982,5.408476634474824e-05
SMIM26,-5.564765501990488,5.528350835317794,1.0724930513653092e-07,690.5112945921571,5.408476634474824e-05
COX6A1,-4.799135632135196,6.455613721999277,1.0930559692109883e-07,686.1779798009202,5.408476634474824e-05
POLR2J,-4.882206681837043,5.347505914934011,1.1003259254475687e-07,684.8360134992032,5.408476634474824e-05
MZT2A,-4.98636329179892,6.2438470093672915,1.1122016279425717e-07,682.432536595213,5.408476634474824e-05
ANAPC11,-4.5818004223410105,5.308063363681106,1.116763718696898e-07,681.5525154759587,5.408476634474824e-05
ARL14EPL,-7.437795538049537,5.865669534751591,1.1349442534279115e-07,679.5890658339019,5.408476634474824e-05
S100A4,-5.040076360738115,9.543170175536789,1.1678342073692121e-07,671.8337584034734,5.408476634474824e-05
PTRHD1,-5.100636827229221,4.407255082193393,1.1759394998943472e-07,670.7577776805325,5.408476634474824e-05
LAGE3,-5.64049227614262,3.7807889874122274,1.1789390051409957e-07,671.826209846733,5.408476634474824e-05
NDUFB10,-4.925440652692544,5.784978998531492,1.1948766408111298e-07,667.0096605830896,5.408476634474824e-05
TMEM258,-4.370301558660355,6.072153772894838,1.218409835634985e-07,662.8233737240116,5.408476634474824e-05
COX14,-4.991827758564384,5.585866824864689,1.234976688691364e-07,660.0437989065797,5.408476634474824e-05
IFITM2,-4.788121022667246,7.636073134402961,1.263890423887575e-07,655.1066350543695,5.408476634474824e-05
AKAP13-AS1,6.603710876441188,3.362396744032611,1.2665731148863826e-07,674.4131045997859,5.408476634474824e-05
RPS11,-5.456901272180412,10.41055747343182,1.2804125712021248e-07,652.3969128036772,5.408476634474824e-05
PHPT1,-4.816915603314552,5.173779570141998,1.298450526393492e-07,649.611030122229,5.408476634474824e-05
ALKBH7,-6.675660803030121,5.8139335865975905,1.3008066931245722e-07,649.5588661889377,5.408476634474824e-05
FAU,-6.593976919018125,10.759514911789207,1.326683503484549e-07,645.0494711322164,5.408476634474824e-05
UQCRH,-3.9959077647629324,7.281202237649591,1.3369357206603619e-07,643.4674290037615,5.408476634474824e-05
NME3,-5.268289172804204,4.905431599789124,1.3435945587281883e-07,642.6845108077953,5.408476634474824e-05
H2AZ1,-4.002334527442465,7.129269684945137,1.3510099391064013e-07,641.3210360733316,5.408476634474824e-05
FIS1,-4.290549476100784,6.037347436825413,1.35533808657432e-07,640.6791214994138,5.408476634474824e-05
VAMP5,-4.915018064697737,5.317343892864542,1.4196804738172702e-07,631.3655343160128,5.572362226984737e-05
ENSG00000249870.1,8.366579562492522,2.9411359721585604,1.4687909910301492e-07,304.0993794837867,5.6066985398510986e-05
SH3BGRL3,-4.493953464296349,8.545436664650834,1.4752621142322149e-07,623.5644269727532,5.6066985398510986e-05
ST6GALNAC2,6.225049717904263,0.48858436552635726,1.5736094514795748e-07,221.3309366113669,5.719797584828861e-05
ATP5F1E,-4.663631328108811,8.84495289323249,1.6043390008291362e-07,607.0911324659577,5.719797584828861e-05
DBI,-3.9943004374702746,6.566903828248097,1.6120780518170633e-07,606.1604068567018,5.719797584828861e-05
MRPS12,-5.149895518055714,3.831199541607288,1.6530405564569255e-07,602.1299643025857,5.719797584828861e-05
ATP5MC2,-4.467212292541661,7.683030797681672,1.6547024187478425e-07,601.1302785381068,5.719797584828861e-05
FAM89B,-5.598790457775371,4.873641013336058,1.673522980234456e-07,599.3102820522018,5.719797584828861e-05
SCAND1,-4.74362871318362,5.571838785103685,1.6913890193039746e-07,596.9923163928884,5.719797584828861e-05
OAZ1,-4.180424136613555,8.553424877375662,1.6961351063895467e-07,596.4020195218202,5.719797584828861e-05
GPX4,-4.5690884828837826,6.691734650493888,1.7553806621089476e-07,589.9091848733077,5.837372110121463e-05
S1PR4,-4.391866789556033,4.869747628614958,1.827835338351375e-07,582.4288359218822,5.837688245251806e-05
ATP5MJ,-3.731883712932934,6.385645206655306,1.8318236257503237e-07,581.9250200105159,5.837688245251806e-05
ATP5PO,-4.60752785613766,6.53886332479353,1.8668257329239764e-07,578.4272662733681,5.837688245251806e-05
ETFB,-4.119085146941759,5.134963323006521,1.887997211679904e-07,576.387930322766,5.837688245251806e-05
VPS28,-4.568279504889794,5.8948198576851745,1.9008581643180524e-07,575.1280319682155,5.837688245251806e-05
NUDT1,-4.9776509563578335,4.357181634147819,1.9017653724664446e-07,575.2960717622218,5.837688245251806e-05
MCFD2-AS1,-6.446092168013755,0.8545026020716302,1.956124675612391e-07,315.80055092429274,5.928543431416136e-05
MT-ND3,-6.651752988425336,10.41860663458504,2.010857305549672e-07,564.8473390967714,5.9540116482138465e-05
NDUFB11,-5.2059590297643155,6.577982269994527,2.016717525002733e-07,564.3674157961896,5.9540116482138465e-05
CD52,-4.998391503448996,8.948056777374875,2.0404210951605386e-07,562.2198151767384,5.9540116482138465e-05
ENSG00000259589.2,6.925874305775786,2.598686639945785,2.10074939891037e-07,438.46519081944535,5.9540116482138465e-05
CDKN2D,-4.089262327194239,5.6455836413593845,2.1111493685798813e-07,556.1681136770297,5.9540116482138465e-05
COX8A,-4.651358981877518,6.468179603891182,2.1137325736047152e-07,555.9253628067862,5.9540116482138465e-05
TMEM147,-4.936506119466513,4.56071817582336,2.2113095538660367e-07,548.171308968646,6.124670419920671e-05
NDUFA13,-5.050417205220558,6.324560691170657,2.225725578047258e-07,546.8640078490973,6.124670419920671e-05
MT-ND6,-4.5626046635661215,8.111898399837465,2.314989893984619e-07,539.991050133161,6.124670419920671e-05
ENSG00000298154.1,6.055126224303406,0.9523726622665014,2.3750047701511659e-07,285.14131426406834,6.124670419920671e-05
TMEM141,-4.919790521928805,3.6247354069322646,2.393993359705976e-07,534.9003097877767,6.124670419920671e-05
RPS27,-5.617986743176773,11.280688495842597,2.3962336567922323e-07,534.0703949401785,6.124670419920671e-05
DPP7,-4.0970008550634525,5.571981423215939,2.3992163489475785e-07,533.8928549338362,6.124670419920671e-05
TRAPPC1,-4.896396276579393,5.4814688631405994,2.4423531008926933e-07,530.8898288362918,6.124670419920671e-05
