,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
3378,KEGG_2021_Human,Ribosome,2.1008982142262777e-19,5.441326374846059e-17,0,0,7.341038118410381,315.71420425807906,RPL5;RPL30;RPL31;RPL34;RPLP1;MRPL19;RPL11;RPS27L;RPL10A;MRPL13;RPL6;RPL7;MRPL33;RPS15;MRPL1;RPL36AL;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS6;RPL35A;RPS3A;RPL23A;RPS26;RPS28;MRPS9;RPS29;RPL37A;RPL24;RPS20;FAU;RPS21;RSL24D1;RPS24
0,GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),5.524992128315447e-19,1.5768327534212285e-15,0,0,8.912011418533158,374.6594890561678,RPL5;RPL30;RPL31;RPL34;RPLP1;RPL11;RPL10A;RPL6;RPL7;RPS15;RPL36AL;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;ZC3H15;RWDD1;EIF2B3;RPL21;RPS7;RPS8;RPS6;RPL35A;RPS3A;RPL23A;RPS26;RPS28;RPS29;RPL37A;RPL24;RPS20;FAU;RPS21;RPS24
2854,GO_Molecular_Function_2023,RNA Binding (GO:0003723),3.397715342099182e-16,1.7804028392599714e-13,0,0,2.2340688967913236,79.57364289265577,RPL5;TCERG1;RPL30;ACAA2;RPL31;RPL34;CISD2;PEBP1;NUCKS1;PARK7;RPL10A;BZW1;YARS2;GPATCH8;RPL6;RPL7;RPS15;SNRPD2;RPL36AL;ZC3H12B;RPL38;ZNF326;RPL37;RPS13;CAST;PDIA3;DDX18;PNISR;MBNL1;RPL21;RPS7;EIF1AX;RPS8;SCAF11;RPS6;FNDC3A;THOC2;CDC40;FAM133B;DYNC1LI1;XRN1;RPL24;TFAM;SRFBP1;PPIG;DAP3;ZCCHC8;KHDRBS1;ZCCHC7;KHDRBS2;CSTF3;MRPL19;UTP23;ZCCHC9;SNU13;C1ORF52;RPF2;MRPL13;SAMSN1;MTDH;DHX36;BRIX1;ZC3H15;PRPF38B;ZRANB2;CPSF2;RDX;EIF2AK2;LARP7;UPF3B;CWC15;PA2G4;EIF2S2;LARP4;H1-3;QKI;TDRD3;PUM2;RPS26;LSM8;RPS28;MPHOSPH10;RPS20;DHX29;CDK13;EIF4G3;RPS21;DZIP3;RPS24;CPEB4;RBM25;FASTKD1;NVL;TUT4;ADK;SRP54;ZC3H8;LARP1B;IFIH1;RO60;MRPL1;TMSB4X;EIF5B;NCBP2;ZFR;NSUN6;PRPF40A;RPS3A;DDX52;DDX50;PTBP2;DNAJC2;MRPS9;NSA2;NEMF;PSMA1;ZNF638;FRG1;RPL37A;LUC7L3;NSRP1;DCP2;TRIM56;NUFIP1;ROCK2;RPL11;SRBD1;WBP4;GTPBP10;MRPS31;NOL7;RPS27L;MTIF2;HSPD1;IFI16;TRA2A;RPL14;RPL13;ASCC3;RPS27A;SMNDC1;SRSF10;SRSF11;TEFM;NOP58;TRMT10B;SSB;TRMT10C;KRR1;CCDC59;IMMT;RPL35A;NAP1L1;RPL23A;DEK;NOC3L;U2SURP;KTN1;PRKRA;PSMC1;ESF1;PKN2;FAU;SNTB2
3379,KEGG_2021_Human,Coronavirus disease,2.0332517364907335e-14,2.6330609987554998e-12,0,0,4.671493902439025,147.27610921292487,RPL5;RPL30;RPL31;RPL34;RPLP1;RPL11;RPS27L;CGAS;RPL10A;RPL6;RPL7;RPS15;IFIH1;TBK1;RPL36AL;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS6;EIF2AK2;RPL35A;RPS3A;RPL23A;IRAK4;RPS26;RPS28;PIK3CA;RPS29;RPL37A;RPL24;RPS20;FAU;RPS21;RSL24D1;RPS24;IFNAR1
1,GO_Biological_Process_2023,Translation (GO:0006412),1.0936516548594426e-13,1.5606409114844246e-10,0,0,4.077328431372549,121.68413207846832,RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;YARS2;RPL6;RPL7;MRPL33;RPS15;EEF1B2;MRPL1;RPL36AL;RPLP2;RPL38;RPL37;RPS13;RARS1;RPL21;RPS7;RPS8;RPS6;RPS3A;MRPS9;RPL37A;RPL24;DAP3;MRPL19;RPL11;SRBD1;MRPS31;MRPL13;RPL14;RPL13;RPS27A;ZC3H15;RWDD1;GATC;RPL35A;RPL23A;WARS2;RPS26;RPS28;RPS29;RPS20;FAU;RPS21;RPS24
2,GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),7.743980331260842e-13,7.367106621806147e-10,0,0,4.982031943212068,138.9323823573851,RPL5;RPL30;RPL31;RPL34;RPLP1;RPL11;SRBD1;RPL10A;YARS2;MRPL13;RPL6;RPL7;RPS15;RPL36AL;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;RPL21;RPS7;RPS8;RPS6;RPL35A;RPS3A;RPL23A;RPS26;RPS28;RPS29;RPL37A;RPL24;RPS20;FAU;RPS21;RPS24
3,GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),6.511521738694867e-11,4.6459707605587876e-08,0,0,4.039084136209385,94.73616441403706,RPL5;RPL30;RPL31;RPL34;RPLP1;RPL11;SRBD1;RPL10A;YARS2;MRPL13;RPL6;RPL7;EEF1B2;RPS15;RPL36AL;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;RPL21;RPS7;RPS8;RPS6;RPL35A;RPS3A;RPL23A;RPS26;RPS28;RPS29;RPL37A;RPL24;RPS20;FAU;RPS21;RPS24
4,GO_Biological_Process_2023,Gene Expression (GO:0010467),1.9082523446350827e-08,1.0892304383177051e-05,0,0,2.797173128970364,49.71833398689308,RPL5;RPL30;NUP107;NUFIP1;RPL31;RPL34;RPLP1;RPL11;SRBD1;RPL10A;MRPL13;YARS2;RPL6;RPL7;HSPD1;RPS15;RPL36AL;EXOSC8;RPL14;RPLP2;RPL13;RPL38;RPL37;RPS27A;RPS13;RPL21;RPS7;RPS8;NCBP2;RPS6;THOC1;RPL35A;RPS3A;RPL23A;THOC2;RPS26;RPS28;RPS29;RPL37A;RPL24;MPHOSPH10;RPS20;FAU;RPS21;RPS24;MBTPS2
2855,GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Inhibitor Activity (GO:0055105),7.906444472788186e-08,2.0714884518705047e-05,0,0,89.93123543123544,1470.6457233189426,RPS15;RPL5;RPS7;GLMN;RPL11;RPS20;RPL37
2856,GO_Molecular_Function_2023,Ubiquitin Ligase Inhibitor Activity (GO:1990948),9.583060294315037e-07,0.00016738411980736932,0,0,76.9941792782305,1066.9929329773283,RPS15;RPL5;RPS7;RPL11;RPS20;RPL37
