"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Cytoplasmic Translation (GO:0002181)",5.62212061740309e-34,76,105,4.56548850509963e-29,"GO_Biological_Process_2026",3.3389774346757e-30,2.71144362317867e-25,"GC-robust"
"GO_Biological_Process_2026::Protein Biosynthetic Process (GO:0160307)",1.93569870725661e-28,84,142,1.08829740522881e-22,"GO_Biological_Process_2026",5.74805731119851e-25,3.23169914482696e-19,"GC-robust"
"GO_Biological_Process_2026::Translation (GO:0006412)",2.4739537932894e-24,119,246,2.8223421305458e-21,"GO_Biological_Process_2026",4.89760385944859e-21,5.58729663777051e-18,"GC-robust"
"GO_Cellular_Component_2026::Cytosolic Large Ribosomal Subunit (GO:0022625)",7.95078506504604e-24,42,51,2.25879544326787e-20,"GO_Cellular_Component_2026",4.05490038317348e-21,1.15198567606661e-17,"GC-robust"
"GO_Cellular_Component_2026::Large Ribosomal Subunit (GO:0015934)",1.64301799392211e-22,42,53,3.56389197191098e-19,"GO_Cellular_Component_2026",4.18969588450138e-20,9.08792452837301e-17,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of Myoblast Fusion (GO:1901740)",5.57103646024941e-22,38,46,1.2201433319108e-18,"GO_Biological_Process_2026",8.27159638435531e-19,1.81160781205456e-15,"GC-robust"
"GO_Biological_Process_2026::Regulation of Myoblast Fusion (GO:1901739)",2.20235962635893e-21,40,52,1.71397740069879e-17,"GO_Biological_Process_2026",2.61596276418913e-18,2.03586235655003e-14,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of Syncytium Formation by Plasma Membrane Fusion (GO:0034242)",2.18393428440361e-20,38,49,6.81676486988939e-17,"GO_Biological_Process_2026",2.16173095251217e-17,6.74746109371218e-14,"GC-robust"
"GO_Cellular_Component_2026::Cytosolic Small Ribosomal Subunit (GO:0022627)",2.50472704922822e-20,33,37,1.82431160100662e-18,"GO_Cellular_Component_2026",4.25803598368798e-18,3.10132972171126e-16,"GC-robust"
"GO_Cellular_Component_2026::Small Ribosomal Subunit (GO:0015935)",5.96518560334582e-19,33,39,5.68634059994357e-17,"GO_Cellular_Component_2026",7.60561164426592e-17,7.25008426492806e-15,"GC-robust"
