"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Regulation of Transcription by RNA Polymerase II (GO:0006357)",2.15888756524753e-07,580,1769,6.17925528260258e-07,"GO_Biological_Process_2026",0.00128216332500051,0.00307085404461094,"GC-robust"
"GO_Biological_Process_2026::Regulation of DNA-templated Transcription (GO:0006355)",9.7980982728196e-07,546,1706,3.26070800549869e-05,"GO_Biological_Process_2026",0.00290954528211378,0.0319408454361017,"GC-robust"
"GO_Cellular_Component_2026::Nucleus (GO:0005634)",3.34916957568888e-05,1240,4370,0.196278362002136,"GO_Cellular_Component_2026",0.0170807648360133,0.884203597667634,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Leukocyte Degranulation (GO:0043301)",3.49588390676436e-05,9,9,1.01449388305283e-05,"GO_Biological_Process_2026",0.0692068484075784,0.0200835972381691,"GC-driven"
"GO_Cellular_Component_2026::Intracellular Membrane-Bounded Organelle (GO:0043231)",8.25595163980664e-05,1269,4503,0.3030326219929,"GO_Cellular_Component_2026",0.0210526766815069,1,"n.s."
"GO_Molecular_Function_2026::RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)",0.000322595265828448,262,772,8.60434698281828e-05,"GO_Molecular_Function_2026",0.258360524849813,0.0673540970090967,"n.s."
"GO_Biological_Process_2026::Positive Regulation of DNA-templated Transcription (GO:0045893)",0.000499585357063321,357,1038,1.0341316870217e-06,"GO_Biological_Process_2026",0.741759358899765,0.00307085404461094,"GC-driven"
"GO_Molecular_Function_2026::Cis-regulatory Region Sequence-Specific DNA Binding (GO:0000987)",0.000501780499920949,258,766,0.000169610659268921,"GO_Molecular_Function_2026",0.258360524849813,0.0673540970090967,"n.s."
"GO_Molecular_Function_2026::RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)",0.000559221915259335,290,899,0.00157756140998299,"GO_Molecular_Function_2026",0.258360524849813,0.233096585919825,"n.s."
"GO_Biological_Process_2026::Innate Immune Response in Mucosa (GO:0002227)",0.000788479037846789,9,13,0.00230373868786845,"GO_Biological_Process_2026",0.802526091666795,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Myeloid Leukocyte Mediated Immunity (GO:0002887)",0.00103802502628742,6,6,0.000469481901457325,"GO_Biological_Process_2026",0.802526091666795,0.126738773307048,"n.s."
"GO_Biological_Process_2026::Regulation of Extrinsic Apoptotic Signaling Pathway via Death Domain Receptors (GO:1902041)",0.00105778267278353,16,26,0.000341906975592964,"GO_Biological_Process_2026",0.802526091666795,0.101529276402331,"n.s."
"GO_Biological_Process_2026::Positive Regulation of RNA Biosynthetic Process (GO:1902680)",0.00108102521187647,169,467,4.30252169538329e-05,"GO_Biological_Process_2026",0.802526091666795,0.0319408454361017,"GC-driven"
"GO_Cellular_Component_2026::Azurophil Granule (GO:0042582)",0.00114751671152202,57,136,0.000286771097274779,"GO_Cellular_Component_2026",0.178118720785354,0.0121877716341781,"GC-driven"
"GO_Biological_Process_2026::Positive Regulation of Protein Localization to Early Endosome (GO:1902966)",0.00149165070861,7,9,0.00269749692498036,"GO_Biological_Process_2026",0.844994308045559,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Regulation of Protein Localization to Early Endosome (GO:1902965)",0.00149165070861,7,9,0.00269749692498036,"GO_Biological_Process_2026",0.844994308045559,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Chromatin Organization (GO:0006325)",0.00156506775357824,112,327,0.00633717725539544,"GO_Biological_Process_2026",0.844994308045559,0.397392327695349,"n.s."
"GO_Cellular_Component_2026::Vacuolar Lumen (GO:0005775)",0.00156601427078065,61,138,2.7767706349099e-05,"GO_Cellular_Component_2026",0.178118720785354,0.00354038255951012,"GC-driven"
"GO_Cellular_Component_2026::Specific Granule (GO:0042581)",0.00188807057872271,59,136,7.19396755803284e-05,"GO_Cellular_Component_2026",0.178118720785354,0.00611487242432792,"GC-driven"
"GO_Molecular_Function_2026::Protein Kinase Binding (GO:0019901)",0.00199585132161149,162,460,0.000287411474443241,"GO_Molecular_Function_2026",0.69156248293838,0.0796704607156664,"n.s."
"GO_Cellular_Component_2026::Endoplasmic Reticulum Membrane (GO:0005789)",0.00244622614672608,249,784,0.00763010832044167,"GO_Cellular_Component_2026",0.178118720785354,0.121604851357039,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)",0.00266004596315756,223,633,2.16089041039306e-05,"GO_Biological_Process_2026",1,0.0316307070418878,"GC-driven"
"GO_Cellular_Component_2026::Lysosomal Membrane (GO:0005765)",0.0027445225024164,145,387,2.09615934638813e-05,"GO_Cellular_Component_2026",0.178118720785354,0.00354038255951012,"GC-driven"
"GO_Cellular_Component_2026::Lysosomal Lumen (GO:0043202)",0.00279401914957417,37,75,6.40697042994329e-05,"GO_Cellular_Component_2026",0.178118720785354,0.00611487242432792,"GC-driven"
"GO_Biological_Process_2026::Negative Regulation of DNA-templated Transcription (GO:0045892)",0.00306264659878547,292,858,2.66296573849872e-05,"GO_Biological_Process_2026",1,0.0316307070418878,"GC-driven"
"GO_Biological_Process_2026::Negative Regulation of RNA Biosynthetic Process (GO:1902679)",0.00347827421460459,149,412,0.000124088976448908,"GO_Biological_Process_2026",1,0.0658289286230533,"n.s."
"GO_Biological_Process_2026::Chromatin Remodeling (GO:0006338)",0.00376260869542341,92,275,0.0235708347166829,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Cellular_Component_2026::Cell-substrate Junction (GO:0030055)",0.00431026918558368,115,308,0.000169967360854215,"GO_Cellular_Component_2026",0.201674162962616,0.0108354192544562,"GC-driven"
"GO_Biological_Process_2026::Cellular Response to Heat (GO:0034605)",0.00462564185196333,19,37,0.0021111842941197,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Regulation of Protein Kinase Activity (GO:0045859)",0.00465978579672425,21,49,0.0172353799191391,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911)",0.00467306310562273,13,21,0.00115522971077741,"GO_Biological_Process_2026",1,0.214403414134595,"n.s."
"GO_Cellular_Component_2026::Extracellular Vesicle (GO:1903561)",0.00468042603855169,531,1634,6.5779159667359e-06,"GO_Cellular_Component_2026",0.201674162962616,0.00250149117202696,"GC-driven"
