gene_name,logFC,logCPM,PValue,F,FDR
ENSG00000294512.1,-7.042218791527828,2.633414054478898,1.2979928910438053e-11,563.9637742165532,3.132596504123802e-07
ENSG00000295857.1,-5.754367362157012,2.3750539860813964,2.5979899252563703e-11,357.63123347252144,3.132596504123802e-07
FASN,3.4510189934140567,5.724983629967652,6.050354839324345e-11,834.5095092248837,3.132596504123802e-07
ENSG00000293320.1,-5.846764560223668,3.7059863400992987,6.3839133792156e-11,594.5792737470656,3.132596504123802e-07
PLEC,3.3872449701907485,7.889447514156638,6.427983476978427e-11,824.3023690980323,3.132596504123802e-07
KDM6B,2.201575910884669,8.624972230609744,7.239649882421544e-11,804.660786926483,3.132596504123802e-07
MYO1G,2.4600471508036996,7.229470977062797,1.889076603246883e-10,662.2575832094462,6.283976272656083e-07
PCNX3,3.1690566268660736,4.911431569491557,1.9634984421535778e-10,657.0941521680568,6.283976272656083e-07
ARHGEF1,1.745360477968503,8.076275168302208,2.2205721702760475e-10,640.836122990423,6.283976272656083e-07
AMPD2,2.5250851229421984,5.495559316732157,2.8570234394262987e-10,608.8023348012537,6.283976272656083e-07
CACTIN,3.0799299311873103,3.642399739838952,2.8619900066132867e-10,608.673575851683,6.283976272656083e-07
SBF1,3.213968369872201,5.7703777136101175,3.328235147667109e-10,590.1726279140748,6.283976272656083e-07
HCFC1,2.165818725047809,6.4795387209556,3.4018709874818105e-10,587.5434972758545,6.283976272656083e-07
PIEZO1,2.106784547540205,6.463003399886137,3.712956934453792e-10,577.1633751345196,6.283976272656083e-07
DUSP1,1.717575529959182,9.073846273179448,4.169784222627651e-10,563.6764408613404,6.283976272656083e-07
RPS8,-2.1821969487864257,7.198414884923796,4.454411454851913e-10,556.1411498460801,6.283976272656083e-07
PPP1R9B,3.1094290779585503,6.014834122119052,4.487449524118135e-10,555.3128119207589,6.283976272656083e-07
RMRP,4.1380649033049,2.5890889139615894,4.589908166878797e-10,553.5557409074413,6.283976272656083e-07
STAB1,3.0136727280232067,6.142706003046016,4.5988579146624134e-10,552.5939665219842,6.283976272656083e-07
JUNB,1.912630952349918,8.210891633167874,4.881175958087269e-10,545.862958699848,6.336254511193085e-07
RPL34,-2.5860089067609473,7.103969516744416,5.575915393297878e-10,531.2498284373881,6.806679363745186e-07
ENSG00000249021.1,-4.114983784814476,2.0470995852973117,6.030504479286739e-10,495.79151019632883,6.806679363745186e-07
FLNA,3.4165093849281196,9.157494307826411,6.180427021097897e-10,520.2059618877774,6.806679363745186e-07
RPL6,-1.9391943709469297,6.930375582755725,6.292285060083371e-10,518.3085163398549,6.806679363745186e-07
CPSF1,2.4415698812985642,4.789786020358221,7.146265504299643e-10,505.0241712055162,6.81805759731467e-07
STRN4,2.0854702518157424,5.536100523228859,7.586119159173582e-10,498.89152181978955,6.81805759731467e-07
ENSG00000281383.1,5.6960422127385915,4.088184441319665,7.838757529625406e-10,499.611764204361,6.81805759731467e-07
PTPN6,2.0626875483914984,6.457195798805875,7.887923009263931e-10,494.93188724286273,6.81805759731467e-07
ENSG00000261544.1,-4.826016068856282,3.3735066123592734,8.037407712625348e-10,464.72004985782365,6.81805759731467e-07
ENSG00000294734.1,-4.369542666183411,0.8235004174174476,8.280867473745578e-10,253.59025968959443,6.81805759731467e-07
RTEL1-TNFRSF6B,4.555842981717512,1.579422612942763,8.410175788365687e-10,499.12276394946576,6.81805759731467e-07
ARAP1,2.1224622641139925,7.754682545897865,8.566208557600346e-10,486.6605303240088,6.81805759731467e-07
UBA1,2.345297669123997,6.6749752027565386,8.666354699614209e-10,485.5063661039323,6.81805759731467e-07
H4C3,-3.2453947791490223,3.898731650947121,1.0156129203039493e-09,472.9487966594077,7.279193012385326e-07
UBA7,3.681910496013279,5.06901637924541,1.0742972527591518e-09,464.6664922228082,7.279193012385326e-07
ENSG00000251194.2,-3.090895900303299,4.040592954134812,1.1011627656587354e-09,462.516447356973,7.279193012385326e-07
PFKL,2.141941333275934,5.6205184095549425,1.1016060166467047e-09,462.2709348888028,7.279193012385326e-07
APBB3,2.9393244340570184,3.9420498733039646,1.1061695613545345e-09,461.90904916693603,7.279193012385326e-07
FURIN,1.9927373054007151,6.013410626997599,1.127879342296097e-09,460.05063222467686,7.279193012385326e-07
