,gene_id,gene_name,length_median_tx,gc_median_tx,length_genomic,gc_genomic,length_exon_union,gc_exon_union
0,ENSG00000000003.17,TSPAN6,1655.0,40.6578947368421,12884,40.39894442719652,5302,41.22972463221426
1,ENSG00000000005.6,TNMD,873.5,41.27252683315215,14950,40.78260869565217,1476,42.41192411924119
2,ENSG00000000419.15,DPM1,1074.5,37.57892132737843,24289,40.19926715797275,9291,39.57593369927887
3,ENSG00000000457.15,SCYL3,2870.0,44.61592423710979,47287,39.82701376699727,7840,42.78061224489796
4,ENSG00000000460.18,FIRRM,3086.5,41.769197509475696,193450,39.22047040578961,8061,42.773849398337674
5,ENSG00000000938.14,FGR,2385.5,57.133908799036774,23502,53.05931410092758,4772,57.313495389773685
6,ENSG00000000971.18,CFH,3096.5,39.22819911227539,100723,35.079376110719494,15284,36.94059146820204
7,ENSG00000001036.15,FUCA2,1316.0,48.23393167342212,17882,39.81098311150878,3795,43.03030303030303
8,ENSG00000001084.14,GCLC,1800.0,44.20079260237781,119630,40.15715121625011,8618,44.40705500116036
9,ENSG00000001167.16,NFYA,3759.0,46.880571574459665,29458,40.69183243940525,12165,44.28277846280312
10,ENSG00000001460.19,STPG1,1685.0,49.5114006514658,61049,44.20219823420531,9624,49.771404821280136
11,ENSG00000001461.20,NIPAL3,4112.0,49.732908866149884,63209,45.04896454618804,14280,46.02941176470588
12,ENSG00000001497.19,LAS1L,2386.0,53.900019688332556,96270,42.7838371247533,12576,50.08746819338422
13,ENSG00000001561.8,ENPP4,4665.0,34.65896942484499,16736,36.11376673040153,4988,36.30713712910986
14,ENSG00000001617.13,SEMA3F,3126.0,61.362371664672665,34064,57.75892437764208,7244,61.66482606294865
15,ENSG00000001626.19,CFTR,4037.0,41.2124580998066,428852,36.89524591234272,16850,38.52225519287834
16,ENSG00000001629.11,ANKIB1,4063.0,42.90984921398781,156098,36.804443362503044,8481,41.61065912038674
17,ENSG00000001630.19,CYP51A1,2220.0,41.0459587955626,49817,38.3282815103278,4198,40.75750357313006
18,ENSG00000001631.18,KRIT1,3835.0,39.06844106463878,48669,36.50783866526947,21110,35.69872098531502
19,ENSG00000002016.19,RAD52,1894.0,50.02794857462269,79184,45.097494443321885,5437,48.42744160382564
20,ENSG00000002330.15,BAD,954.0,65.91846919440059,22119,56.92391156923912,2545,66.28683693516699
21,ENSG00000002549.14,LAP3,850.0,47.01567435132981,30778,44.161413997010854,3782,44.87043892120571
22,ENSG00000002586.21,CD99,1057.0,54.93616558917803,50325,47.47540983606557,5066,50.769838136596924
23,ENSG00000002587.11,HS3ST1,1636.0,54.88997555012225,36415,43.921460936427295,7885,47.089410272669625
24,ENSG00000002726.22,AOC1,2465.0,60.40220104402454,36878,47.80085687944032,3819,58.70646766169154
25,ENSG00000002745.13,WNT16,2190.0,46.97444831591173,15738,38.607192781802006,3264,41.881127450980394
26,ENSG00000002746.16,HECW1,679.5,50.05673178149492,453373,42.028528386119156,13935,47.76462145676354
27,ENSG00000002822.17,MAD1L1,2551.0,62.22910216718266,417457,55.653875728518145,7085,60.91743119266055
28,ENSG00000002834.20,LASP1,3848.0,56.670224119530424,52587,53.75473025652728,7722,57.08365708365708
29,ENSG00000002919.16,SNX11,2165.0,52.060737527114966,20245,48.03161274388738,4603,50.87986096024332
30,ENSG00000002933.10,TMEM176A,1177.0,59.527559055118104,5525,59.14932126696832,4851,60.48237476808905
31,ENSG00000003056.9,M6PR,2198.0,45.714285714285715,11499,42.71675797895469,6580,44.66565349544073
32,ENSG00000003096.16,KLHL13,3256.0,42.2014449638759,219547,36.55709255876874,7307,39.29109073491173
33,ENSG00000003137.9,CYP26B1,4025.0,56.21158911325724,18625,59.8496644295302,4839,56.58193841702831
34,ENSG00000003147.20,ICA1,1781.0,47.29032258064516,149507,40.30045415933702,6032,49.96684350132626
35,ENSG00000003249.16,DBNDD1,2075.0,61.987457790641585,15020,59.30093209054594,4493,61.49565991542399
36,ENSG00000003393.17,ALS2,5760.0,45.19850187265917,81846,38.17901913349461,33606,39.05552579896447
37,ENSG00000003400.17,CASP10,1645.0,46.54422426292895,46736,42.30999657651489,8965,45.197992191857224
38,ENSG00000003402.22,CFLAR,1830.0,48.218610142500204,60534,44.345326593319456,23977,46.39446135880219
39,ENSG00000003436.17,TFPI,2619.5,35.58247725283516,102024,36.57864816121697,19462,39.29195355050869
40,ENSG00000003509.17,NDUFAF7,1332.5,43.00113303011686,21773,38.96569145271667,6382,39.642745220933875
41,ENSG00000003756.18,RBM5,1931.0,49.1903418292797,30103,44.447397269375145,10546,44.26322776408117
42,ENSG00000003987.15,MTMR7,729.0,45.65819514539774,116735,40.260418897502895,6928,39.795034642032334
43,ENSG00000003989.19,SLC7A2,6783.5,42.00174997498843,73599,40.20027446025082,8848,43.037974683544306
44,ENSG00000004059.12,ARF5,897.0,59.88495073002115,3331,56.259381567096966,1958,59.90806945863125
45,ENSG00000004139.15,SARM1,1517.0,58.39636163672259,39694,51.55187181941855,11112,55.51655867530597
46,ENSG00000004142.13,POLDIP2,2168.0,55.35221354166667,11412,49.79845776375745,3371,52.35835063779294
47,ENSG00000004399.14,PLXND1,640.0,58.84796206045832,51469,58.306942042783035,9563,60.77590714211022
48,ENSG00000004455.19,AK2,2951.0,46.22247350233824,73011,46.323156784594104,18123,44.34144457319428
49,ENSG00000004468.14,CD38,1410.0,46.15384615384616,74958,41.08700872488594,6857,42.55505323027563
50,ENSG00000004478.9,FKBP4,2015.0,54.08438061041293,11134,52.5238009700018,5570,53.644524236983834
51,ENSG00000004487.19,KDM1A,2897.5,51.1779471816231,64299,39.193455574736774,18377,41.87843500027208
52,ENSG00000004534.16,RBM6,2007.0,47.96829724696404,160039,44.144864689232,7537,47.4459333952501
53,ENSG00000004660.16,CAMKK1,3574.0,58.69191498149344,34577,57.17384388466321,7561,57.743684697791295
54,ENSG00000004700.17,RECQL,3137.0,37.588892802446765,32760,37.56715506715507,5363,37.79600969606564
55,ENSG00000004766.18,VPS50,2742.0,38.16772765015223,128784,34.82497825816871,9742,35.844795729829606
56,ENSG00000004776.14,HSPB6,1026.0,64.22954329789046,3514,62.521343198634035,1724,63.10904872389791
57,ENSG00000004777.19,ARHGAP33,661.5,64.58524789104105,14291,60.926457210832,5260,64.67680608365018
58,ENSG00000004779.11,NDUFAB1,665.0,48.421052631578945,15306,48.73252319351889,1586,47.66708701134931
59,ENSG00000004799.9,PDK4,3467.0,39.37996413015629,14142,37.165888841747986,4935,38.3789260385005
60,ENSG00000004809.15,SLC22A16,1559.5,47.79265356087828,51995,41.355899605731324,4027,46.0392351626521
61,ENSG00000004838.15,ZMYND10,1677.0,60.136728578005275,4623,58.49015790612157,2889,59.84769816545518
62,ENSG00000004846.17,ABCB5,2225.5,41.293090029651836,161372,37.72153781325137,8796,40.825375170532055
63,ENSG00000004848.8,ARX,100.0,61.0,12727,54.62402765773552,3114,62.29929351316634
64,ENSG00000004864.15,SLC25A13,2952.0,44.339622641509436,201930,39.759322537513,3832,44.33716075156576
65,ENSG00000004866.23,ST7,1691.5,46.600475812846945,277833,39.16057487771431,7420,44.74393530997305
66,ENSG00000004897.13,CDC27,873.5,40.73815881447031,71720,38.655883993307306,6824,37.60257913247362
67,ENSG00000004939.16,SLC4A1,2157.5,57.921348964169646,19752,55.79181855002025,5125,56.39024390243902
68,ENSG00000004948.17,CALCR,2673.0,45.72510804408074,151253,35.381116407608445,5230,45.33460803059273
69,ENSG00000004961.16,HCCS,2153.5,43.58514254218085,11788,42.97590770274856,2845,44.95606326889279
70,ENSG00000004975.13,DVL2,1240.0,60.26831785345718,9183,55.15626701513666,5382,58.80713489409142
71,ENSG00000005001.11,PRSS22,1097.0,63.57176928764734,5483,59.36531096115265,2718,62.98749080206034
72,ENSG00000005007.15,UPF1,4229.5,60.36247674097703,36328,55.18057696542612,9509,59.322746871385
