,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts
0,ENSMUSG00000000001.5,Gnai3,3262.0,41.72286940527284,False,True,False,False,False,4710.0,0.016226324045203095,10504.0,0.02133659940180846,6846.0,0.01596155846506943,11341.0,0.018957231840696313
1,ENSMUSG00000000003.16,Pbsn,799.5,39.86565801486892,False,True,False,False,False,1.0,2.5251402168366767e-06,3.0,4.4273671163521835e-06,2.0,4.206446056437042e-06,1.0,1.690259364857427e-06
2,ENSMUSG00000000028.16,Cdc45,1551.5,48.38800950881086,False,True,False,False,False,1228.0,0.003666207588145296,2377.0,0.00416737230424988,3507.0,0.007691159416671697,4001.0,0.005918558695767848
3,ENSMUSG00000000031.20,H19,1951.2857142857142,55.51607133051241,True,False,False,False,False,70.0,0.0002356611716032947,215.0,0.00037955618389525663,302.0,0.0006795898692266152,347.0,0.0005093407005284979
4,ENSMUSG00000000037.18,Scml2,2914.5555555555557,42.61651842706159,False,True,False,False,False,111.0,0.00033116940598929543,320.0,0.0005239893532587023,274.0,0.0005532513867398747,428.0,0.0005803259632332282
5,ENSMUSG00000000049.12,Apoh,665.5,53.06992157601789,False,True,False,False,False,50.0,0.00015987835076019245,50.0,8.247870310098331e-05,87.0,0.00018124892758778413,91.0,0.00012641036740276444
6,ENSMUSG00000000056.8,Narf,1785.0,49.234624358550455,False,True,False,False,False,3047.0,0.010377827719627052,6939.0,0.01347504921116574,5566.0,0.012780889588262496,8291.0,0.013285816060411433
7,ENSMUSG00000000058.7,Cav2,1467.0,43.41451639131833,False,True,False,False,False,3.0,7.380446680474778e-06,5.0,9.047844694026219e-06,3.0,5.680338329833936e-06,6.0,7.670823690030372e-06
8,ENSMUSG00000000078.8,Klf6,2046.3333333333333,47.71224704322174,False,True,False,False,False,1780.0,0.005821357252426892,5733.0,0.010990289887625536,3069.0,0.006794316218602685,6015.0,0.009406257011503086
9,ENSMUSG00000000085.17,Scmh1,1540.5714285714287,50.71486506100974,False,True,False,False,False,3414.0,0.011939131832721281,12199.0,0.025659148922307664,7510.0,0.017680305234196565,12668.0,0.021820780976465653
10,ENSMUSG00000000088.8,Cox5a,1022.6666666666666,46.2251933438587,False,True,False,False,True,8242.0,0.03166289158596223,4574.0,0.008523133127010368,957.0,0.0020077123419169076,4060.0,0.006109593519628364
11,ENSMUSG00000000093.7,Tbx2,3626.0,63.23772752344181,False,True,False,False,False,41.0,0.00014292417600588118,78.0,0.00013389067023638463,78.0,0.0001675026514511424,115.0,0.00016362937613561968
12,ENSMUSG00000000094.13,Tbx4,3041.0,53.010306754162315,False,True,False,False,False,9.0,2.9754484564497245e-05,5.0,7.815165310347404e-06,6.0,1.0139042376904504e-05,7.0,8.430214952861763e-06
13,ENSMUSG00000000103.13,Zfy2,2831.0,39.82887665303775,False,True,False,False,False,4.0,1.2504208563749037e-05,17.0,2.6495420468840433e-05,11.0,2.1975366333218082e-05,20.0,2.508013317174799e-05
14,ENSMUSG00000000120.7,Ngfr,3446.0,58.5896691816599,False,True,False,False,False,11.0,3.515051603802862e-05,22.0,3.869687097997329e-05,37.0,8.411910860964325e-05,39.0,5.627858532152225e-05
15,ENSMUSG00000000125.6,Wnt3,3076.0,52.60078023407022,False,True,False,False,False,27.0,8.926641087293937e-05,26.0,4.419415080441057e-05,23.0,5.05451074122027e-05,32.0,4.481484745295256e-05
16,ENSMUSG00000000126.12,Wnt9a,3319.0,56.327189408629096,False,True,False,False,False,52.0,0.00016314271088470342,2.0,3.06137331597456e-06,4.0,8.035027103055162e-06,5.0,7.43018913441159e-06
17,ENSMUSG00000000127.16,Fer,2311.8,44.287923167491954,False,True,False,False,False,194.0,0.000607149685445002,715.0,0.001253623422512863,517.0,0.0011107512119209921,870.0,0.0012523250893895497
18,ENSMUSG00000000131.16,Xpo6,1962.75,51.20380286729537,False,True,False,False,False,4300.0,0.014756300457730284,10258.0,0.020734581641751633,11485.0,0.028493276829254944,13729.0,0.02366191567114118
19,ENSMUSG00000000134.18,Tfe3,2706.1428571428573,56.38215413550268,False,True,False,False,False,462.0,0.0014522500338234646,1031.0,0.0018051498176805834,681.0,0.0014254431380477843,1283.0,0.0018309523218186822
20,ENSMUSG00000000142.16,Axin2,1700.2857142857142,57.6580616117163,False,True,False,False,False,657.0,0.0021342918719503313,1547.0,0.0027411643547413304,2909.0,0.006378939647427959,3226.0,0.004756988242412684
21,ENSMUSG00000000148.18,Brat1,3167.5,57.307178020766095,False,True,False,False,False,871.0,0.0028987937305530553,1365.0,0.002423499522195279,1609.0,0.003473254617723877,2185.0,0.0031859402907421838
22,ENSMUSG00000000149.11,Gna12,2361.0,57.63520286481776,False,True,False,False,False,1213.0,0.003973171231632711,2288.0,0.004113553574012022,2248.0,0.004882717524737038,3159.0,0.004688204756660061
23,ENSMUSG00000000154.17,Slc22a18,1236.8,57.5289839555238,False,True,False,False,False,15.0,4.114301190538547e-05,29.0,5.001556546104064e-05,9.0,1.9195641319744694e-05,18.0,2.603001346987478e-05
24,ENSMUSG00000000157.17,Itgb2l,2022.4,52.282147378070796,False,True,False,False,False,6.0,2.196417576788909e-05,26.0,4.8870754239845985e-05,30.0,6.947782568788938e-05,42.0,6.545036838913868e-05
26,ENSMUSG00000000167.15,Pih1d2,1019.8571428571429,47.1329599666517,False,True,False,False,False,61.0,0.00017976809085202845,63.0,0.00011035204067410708,56.0,0.00011302313966454685,91.0,0.0001252150683625848
27,ENSMUSG00000000168.11,Dlat,1175.5,48.272693063326045,False,True,False,False,False,1784.0,0.005772454490676221,3916.0,0.0072353907874634716,2343.0,0.005076599267692851,4413.0,0.006648105824171694
28,ENSMUSG00000000171.6,Sdhd,1231.0,49.39073923639318,False,True,False,False,True,1692.0,0.00522247876311049,1039.0,0.0018096282340530497,1060.0,0.0022466352478205474,1498.0,0.0021233511346546254
29,ENSMUSG00000000182.10,Fgf23,1814.0,54.74090407938258,False,True,False,False,False,4.0,1.4984651783008991e-05,1.0,7.473801479266206e-07,2.0,3.850107292958879e-06,0.0,0.0
30,ENSMUSG00000000183.7,Fgf6,4657.0,49.88189821773674,False,True,False,False,False,5.0,1.5219846574407442e-05,5.0,8.134052433688464e-06,8.0,1.610083443597636e-05,9.0,1.11061426772984e-05
31,ENSMUSG00000000184.13,Ccnd2,1638.625,53.480596908851204,False,True,False,False,False,2415.0,0.009137478275924548,6709.0,0.013553313624690757,3295.0,0.007504716677533574,6654.0,0.01097629738749937
32,ENSMUSG00000000194.14,Gpr107,1509.6363636363637,50.677976611210276,False,True,False,False,False,3187.0,0.010942252488306537,6547.0,0.012621312909194769,6290.0,0.014543860440711974,8435.0,0.013540910419135414
33,ENSMUSG00000000197.9,Nalcn,3629.1428571428573,42.91730666432665,False,True,False,False,False,149.0,0.0004747138068172071,300.0,0.0005082762832477233,140.0,0.00028828420898938784,227.0,0.0003123701733937313
34,ENSMUSG00000000202.10,Btbd17,1423.857142857143,60.869170091484136,False,True,False,False,False,1.0,1.961715566989245e-06,2.0,2.95858135009732e-06,0.0,0.0,0.0,0.0
35,ENSMUSG00000000204.17,Slfn4,3163.6666666666665,42.35497242342992,False,True,False,False,False,20.0,7.349431075300646e-05,148.0,0.0002860725225323868,113.0,0.0002815421247994798,176.0,0.000295075037955997
36,ENSMUSG00000000214.12,Th,1257.3333333333333,55.743260808640706,False,True,False,False,False,1.0,2.9006728766705074e-06,5.0,1.0518201715360654e-05,9.0,1.6603215283267538e-05,8.0,1.072955910055143e-05
37,ENSMUSG00000000215.12,Ins2,499.3333333333333,56.94701929811649,False,True,False,False,False,24.0,8.234182581028386e-05,50.0,8.927327229489439e-05,33.0,7.430515335212398e-05,58.0,8.59455133491795e-05
38,ENSMUSG00000000216.9,Scnn1g,2991.0,49.782681377465735,False,True,False,False,False,17.0,5.5079030449825196e-05,7.0,1.3130555081819564e-05,10.0,1.86443330297669e-05,8.0,1.0878076317979024e-05
39,ENSMUSG00000000223.14,Drp2,3955.6666666666665,51.717141018620396,False,True,False,False,False,61.0,0.0001752929119202678,127.0,0.00021314804500134483,203.0,0.00040925974181286985,236.0,0.00031493195675302024
40,ENSMUSG00000000244.18,Tspan32,1546.3333333333333,52.06071158729963,False,True,False,False,False,4495.0,0.016450663105725724,5666.0,0.010920254403525478,5130.0,0.011829983295160669,7320.0,0.011697901421299476
41,ENSMUSG00000000247.12,Lhx2,1157.2857142857142,60.14779133604387,False,True,False,False,False,50.0,0.00014722414716818538,103.0,0.0001690623934955196,55.0,0.00010707890998831946,127.0,0.0001730874839553034
42,ENSMUSG00000000248.17,Clec2g,1304.0,44.218117096587434,False,True,False,False,False,5.0,1.5066796615598823e-05,199.0,0.0003506457957213488,284.0,0.0006784262204184868,310.0,0.0005076307256149493
43,ENSMUSG00000000253.14,Gmpr,866.0,54.89080421281885,False,True,False,False,False,291.0,0.0008905927572695333,428.0,0.000742711763080731,499.0,0.0010359441641816843,681.0,0.0009624578676125801
44,ENSMUSG00000000263.16,Glra1,2074.6666666666665,52.172151026061954,False,True,False,False,False,38.0,0.00012521616061172614,27.0,4.4938579129722215e-05,17.0,3.25551085190691e-05,24.0,3.3538999859991056e-05
45,ENSMUSG00000000266.12,Mid2,3507.6,44.59550599756149,False,True,False,False,False,28.0,8.29769493521855e-05,99.0,0.0001828438434006807,80.0,0.000178653769881992,120.0,0.0001889759156895686
46,ENSMUSG00000000275.17,Trim25,4196.333333333333,51.59876594839837,False,True,False,False,False,3052.0,0.01040306194852384,6027.0,0.011596418602058005,6693.0,0.015642282859238715,8398.0,0.013533339483479102
47,ENSMUSG00000000276.12,Dgke,5705.666666666667,47.58167646716887,False,True,False,False,False,5673.0,0.020644754230664034,15051.0,0.0326009446580284,13573.0,0.03500426555693478,17357.0,0.031790493587094654
48,ENSMUSG00000000278.11,Scpep1,2097.0,50.166905102527416,False,True,False,False,False,329.0,0.000984811910831416,390.0,0.0006641370876027246,249.0,0.0005158200750283309,439.0,0.0006140924748852624
49,ENSMUSG00000000282.13,Mnt,1996.3333333333333,60.25679141813055,False,True,False,False,False,1229.0,0.003923499394451324,2272.0,0.004071920481346088,4347.0,0.009752786309615624,4666.0,0.007059970045914581
50,ENSMUSG00000000290.14,Itgb2,1798.8,54.025368911376766,False,True,False,False,False,3005.0,0.010269377855397478,4142.0,0.007750987548159613,8554.0,0.020559748041030262,8792.0,0.014242082817706466
51,ENSMUSG00000000295.14,Hddc2,1206.0,46.39115192364817,False,True,False,False,False,2073.0,0.006697355066891953,2573.0,0.004718343735410374,1281.0,0.0027528688376573527,2788.0,0.004155790032369295
52,ENSMUSG00000000296.9,Tpd52l1,1012.8,49.523515336098306,False,True,False,False,False,21.0,7.012556774809913e-05,49.0,8.595264319554966e-05,31.0,6.380424793429849e-05,46.0,6.311575872030094e-05
