,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content
0,ENSMUSG00000000001.5,Gnai3,3262,False,True,False,False,41.65
1,ENSMUSG00000000003.16,Pbsn,1237,False,True,False,False,38.23
2,ENSMUSG00000000028.16,Cdc45,4401,False,True,False,False,46.23
4,ENSMUSG00000000031.20,H19,28461,True,False,False,False,54.54
6,ENSMUSG00000000037.18,Scml2,10331,False,True,False,False,39.03
8,ENSMUSG00000000049.12,Apoh,2205,False,True,False,False,43.83
9,ENSMUSG00000000056.8,Narf,5220,False,True,False,False,46.96
11,ENSMUSG00000000058.7,Cav2,4401,False,True,False,False,39.77
12,ENSMUSG00000000078.8,Klf6,5438,False,True,False,False,43.44
15,ENSMUSG00000000085.17,Scmh1,10708,False,True,False,False,39.89
17,ENSMUSG00000000088.8,Cox5a,2682,False,False,False,False,42.75
19,ENSMUSG00000000093.7,Tbx2,3626,False,True,False,False,55.36
20,ENSMUSG00000000094.13,Tbx4,5569,False,True,False,False,50.74
21,ENSMUSG00000000103.13,Zfy2,4397,False,True,False,False,36.56
22,ENSMUSG00000000120.7,Ngfr,3446,False,True,False,False,53.62
23,ENSMUSG00000000125.6,Wnt3,3076,False,True,False,False,52.32
24,ENSMUSG00000000126.12,Wnt9a,6381,False,True,False,False,52.53
25,ENSMUSG00000000127.16,Fer,6189,False,True,False,False,40.27
26,ENSMUSG00000000131.16,Xpo6,25018,False,True,False,False,43.53
30,ENSMUSG00000000134.18,Tfe3,20656,False,False,False,False,51.75
34,ENSMUSG00000000142.16,Axin2,8596,False,True,False,False,53.94
36,ENSMUSG00000000148.18,Brat1,10957,False,True,False,False,51.56
39,ENSMUSG00000000149.11,Gna12,4506,False,True,False,False,47.49
40,ENSMUSG00000000154.17,Slc22a18,2303,False,True,False,False,52.010000000000005
42,ENSMUSG00000000157.17,Itgb2l,6002,False,True,False,False,49.83
45,ENSMUSG00000000159.17,Igsf5,3684,False,True,False,False,44.82
47,ENSMUSG00000000167.15,Pih1d2,4947,False,True,False,False,43.52
50,ENSMUSG00000000168.11,Dlat,5522,False,True,False,False,44.1
53,ENSMUSG00000000171.6,Sdhd,1231,False,True,False,False,45.09
54,ENSMUSG00000000182.10,Fgf23,1814,False,True,False,False,46.08
55,ENSMUSG00000000183.7,Fgf6,4657,False,True,False,False,49.34
56,ENSMUSG00000000184.13,Ccnd2,12354,False,True,False,False,49.26
59,ENSMUSG00000000194.14,Gpr107,14735,False,True,False,False,49.01
62,ENSMUSG00000000197.9,Nalcn,16015,False,True,False,False,38.67
65,ENSMUSG00000000202.10,Btbd17,9580,False,False,False,False,56.02
67,ENSMUSG00000000204.17,Slfn4,8018,False,True,False,False,43.29999999999999
68,ENSMUSG00000000214.12,Th,3983,False,True,False,False,51.59
70,ENSMUSG00000000215.12,Ins2,3275,False,True,False,False,42.6
71,ENSMUSG00000000216.9,Scnn1g,2991,False,True,False,False,45.71
72,ENSMUSG00000000223.14,Drp2,11880,False,True,False,False,44.54
75,ENSMUSG00000000244.18,Tspan32,10851,False,True,False,False,53.07
78,ENSMUSG00000000247.12,Lhx2,6679,False,True,False,False,50.0
81,ENSMUSG00000000248.17,Clec2g,5927,False,True,False,False,41.63
83,ENSMUSG00000000253.14,Gmpr,2694,False,True,False,False,48.23
86,ENSMUSG00000000263.16,Glra1,3480,False,True,False,False,45.70000000000001
87,ENSMUSG00000000266.12,Mid2,11105,False,True,False,False,40.18
89,ENSMUSG00000000275.17,Trim25,5817,False,True,False,False,48.45000000000001
90,ENSMUSG00000000276.12,Dgke,14405,False,True,False,False,43.85
92,ENSMUSG00000000278.11,Scpep1,2097,False,True,False,False,47.22
93,ENSMUSG00000000282.13,Mnt,5723,False,True,False,False,56.49
95,ENSMUSG00000000290.14,Itgb2,4661,False,True,False,False,50.26
97,ENSMUSG00000000295.14,Hddc2,5336,False,True,False,False,42.09
100,ENSMUSG00000000296.9,Tpd52l1,3053,False,True,False,False,40.19
101,ENSMUSG00000000301.17,Pemt,3066,False,False,False,False,49.74
103,ENSMUSG00000000303.14,Cdh1,4695,False,True,False,False,47.03
105,ENSMUSG00000000305.13,Cdh4,8213,False,True,False,False,49.53
108,ENSMUSG00000000308.15,Ckmt1,6057,False,True,False,False,48.09
111,ENSMUSG00000000317.12,Bcl6b,4211,False,True,False,False,51.38
113,ENSMUSG00000000318.17,Clec10a,5816,False,True,False,False,47.28
116,ENSMUSG00000000320.11,Alox12,4499,False,True,False,False,48.86
117,ENSMUSG00000000326.14,Comt,4105,False,True,False,False,48.68
118,ENSMUSG00000000339.15,Rtca,2705,False,True,False,False,43.09
121,ENSMUSG00000000340.11,Dbt,3800,False,True,False,False,44.05
124,ENSMUSG00000000346.10,Dazap2,3384,False,True,False,False,50.58
126,ENSMUSG00000000355.14,Mcts1,2077,False,True,False,False,37.89
128,ENSMUSG00000000359.4,Rem1,3446,False,True,False,False,52.13
130,ENSMUSG00000000365.10,Rnf17,6930,False,True,False,False,38.66
134,ENSMUSG00000000374.9,Trappc10,9942,False,True,False,False,48.02
137,ENSMUSG00000000378.16,Ccm2,5776,False,True,False,False,47.75
141,ENSMUSG00000000381.11,Wap,1665,False,False,False,False,52.44
143,ENSMUSG00000000384.16,Tbrg4,6569,False,False,False,False,51.38
147,ENSMUSG00000000385.9,Tmprss2,9413,False,True,False,False,46.44
150,ENSMUSG00000000386.19,Mx1,6060,False,False,False,False,46.16
155,ENSMUSG00000000392.18,Fap,6980,False,True,False,False,38.39
159,ENSMUSG00000000394.16,Gcg,1943,False,True,False,False,37.47
161,ENSMUSG00000000399.11,Ndufa9,2626,False,True,False,False,45.75
163,ENSMUSG00000000402.3,Egfl6,2704,False,True,False,False,42.54
164,ENSMUSG00000000409.15,Lck,4700,False,True,False,False,48.13
166,ENSMUSG00000000411.8,Tssk3,1280,False,True,False,False,52.81
167,ENSMUSG00000000416.17,Cttnbp2,16186,False,False,False,False,40.7
170,ENSMUSG00000000420.16,Galnt1,8962,False,True,False,False,40.82
173,ENSMUSG00000000435.2,Myf5,2083,False,True,False,False,43.32
174,ENSMUSG00000000439.10,Mkrn2,7451,False,True,False,False,47.04
177,ENSMUSG00000000440.13,Pparg,4146,False,True,False,False,39.51
179,ENSMUSG00000000441.18,Raf1,9744,False,False,False,False,42.75
182,ENSMUSG00000000486.14,Septin1,4809,False,False,False,False,48.19
185,ENSMUSG00000000489.8,Pdgfb,5304,False,True,False,False,55.39
187,ENSMUSG00000000530.17,Acvrl1,6250,False,True,False,False,52.3
190,ENSMUSG00000000531.6,Tamalin,2033,False,True,False,False,55.63
191,ENSMUSG00000000532.12,Acvr1b,4418,False,True,False,False,49.44
192,ENSMUSG00000000538.19,Tom1l2,13985,False,False,False,False,46.54
194,ENSMUSG00000000544.15,Gpa33,4655,False,True,False,False,48.91
196,ENSMUSG00000000552.11,Zfp385a,3833,False,True,False,False,50.68
197,ENSMUSG00000000555.9,Itga5,5778,False,False,False,False,50.81
200,ENSMUSG00000000560.10,Gabra2,13403,False,True,False,False,36.51
204,ENSMUSG00000000561.15,Wdr77,9040,False,True,False,False,44.83
207,ENSMUSG00000000562.6,Adora3,5252,False,True,False,False,45.35
209,ENSMUSG00000000563.18,Atp5pb,5791,False,True,False,False,40.23
212,ENSMUSG00000000567.6,Sox9,4135,False,True,False,False,50.95
213,ENSMUSG00000000568.16,Hnrnpd,12617,False,True,False,False,38.55
216,ENSMUSG00000000579.15,Dynlt1c,6754,False,True,False,False,47.56
218,ENSMUSG00000000581.9,C1d,4565,False,True,False,False,37.25
220,ENSMUSG00000000594.8,Gm2a,4127,False,True,False,False,48.96
221,ENSMUSG00000000600.16,Krit1,28993,False,False,False,False,36.51
224,ENSMUSG00000000605.10,Clcn4,14271,False,True,False,False,47.23
228,ENSMUSG00000000606.20,Vmn2r88,7542,False,True,False,False,35.79
229,ENSMUSG00000000617.15,Grm6,10019,False,False,False,False,50.24
231,ENSMUSG00000000627.16,Sema4f,5978,False,True,False,False,47.76
235,ENSMUSG00000000628.11,Hk2,6858,False,True,False,False,49.08
237,ENSMUSG00000000631.21,Myo18a,26377,False,True,False,False,51.78
240,ENSMUSG00000000632.14,Sez6,9728,False,True,False,False,51.55
244,ENSMUSG00000000673.10,Haao,6109,False,True,False,False,50.919999999999995
247,ENSMUSG00000000682.8,Cd52,1400,False,False,False,False,49.53
249,ENSMUSG00000000686.12,Abhd15,3695,False,True,False,False,43.32
250,ENSMUSG00000000690.6,Hoxb6,3285,False,True,False,False,52.14
251,ENSMUSG00000000693.11,Loxl3,5534,False,False,False,False,49.9
254,ENSMUSG00000000701.9,Tcl1b5,1055,False,True,False,False,49.5
255,ENSMUSG00000000706.17,Btn1a1,5025,False,True,False,False,45.26
257,ENSMUSG00000000708.15,Kat2b,5771,False,False,False,False,43.46
261,ENSMUSG00000000711.4,Rab5b,4396,False,True,False,False,44.42
263,ENSMUSG00000000724.11,Cryba1,2012,False,False,False,False,42.74
265,ENSMUSG00000000730.14,Dnmt3l,4426,False,False,False,False,50.17
268,ENSMUSG00000000731.16,Aire,6427,False,True,False,False,52.02
271,ENSMUSG00000000732.10,Icosl,5713,False,True,False,False,49.9
273,ENSMUSG00000000738.19,Spg7,8483,False,True,False,False,48.71
277,ENSMUSG00000000739.15,Sult5a1,5731,False,True,False,False,49.919999999999995
280,ENSMUSG00000000740.13,Rpl13,4265,False,True,False,False,54.34000000000001
282,ENSMUSG00000000743.10,Chmp1a,3842,False,True,False,False,53.56
285,ENSMUSG00000000751.14,Rpa1,7183,False,True,False,False,44.89
288,ENSMUSG00000000753.16,Serpinf1,3982,False,True,False,False,49.44
291,ENSMUSG00000000759.15,Tubgcp3,12487,False,False,False,False,46.98
294,ENSMUSG00000000766.19,Oprm1,14590,False,False,False,False,40.52
297,ENSMUSG00000000776.14,Polr3d,4846,False,True,False,False,51.78
299,ENSMUSG00000000782.17,Tcf7,3746,False,True,False,False,53.06
300,ENSMUSG00000000787.13,Ddx3x,6813,False,True,False,False,39.75
303,ENSMUSG00000000791.10,Il12rb1,5205,False,False,False,False,52.9
305,ENSMUSG00000000792.3,Slc5a5,2928,False,True,False,False,54.85
306,ENSMUSG00000000794.10,Kcnn3,11198,False,True,False,False,48.56
308,ENSMUSG00000000804.15,Usp32,10435,False,True,False,False,39.1
312,ENSMUSG00000000805.19,Car4,2926,False,False,False,False,52.03
316,ENSMUSG00000000811.15,Txnrd3,2836,False,True,False,False,47.25
317,ENSMUSG00000000817.11,Fasl,2343,False,True,False,False,41.71
318,ENSMUSG00000000823.17,Zfp512b,13311,False,True,False,False,53.58
322,ENSMUSG00000000826.17,Dnajc5,14456,False,True,False,False,42.98
325,ENSMUSG00000000827.19,Tpd52l2,13600,False,False,False,False,44.51
329,ENSMUSG00000000838.18,Fmr1,14065,False,True,False,False,35.06
332,ENSMUSG00000000861.16,Bcl11a,17794,False,True,False,False,45.53
335,ENSMUSG00000000869.13,Il4,1419,False,False,False,False,47.09
337,ENSMUSG00000000876.12,Pxmp4,3286,False,True,False,False,47.38
338,ENSMUSG00000000881.13,Dlg3,12679,False,True,False,False,46.89
341,ENSMUSG00000000884.18,Gnb1l,10233,False,True,False,False,47.730000000000004
345,ENSMUSG00000000889.9,Dbh,2757,False,True,False,False,51.66
347,ENSMUSG00000000901.18,Mmp11,4335,False,False,False,False,53.54
350,ENSMUSG00000000902.14,Smarcb1,13461,False,True,False,False,48.04
353,ENSMUSG00000000903.4,Vpreb3,1354,False,True,False,False,47.86
354,ENSMUSG00000000915.16,Hip1r,8495,False,True,False,False,54.589999999999996
357,ENSMUSG00000000916.16,Nsun5,8543,False,True,False,False,51.36
361,ENSMUSG00000000934.10,Top1mt,2448,False,True,False,False,52.57
363,ENSMUSG00000000938.12,Hoxa10,6756,False,True,False,False,50.46
365,ENSMUSG00000000942.11,Hoxa4,1594,False,True,False,False,57.27
366,ENSMUSG00000000948.17,Gm38393,5734,False,False,False,False,35.42
368,ENSMUSG00000000957.12,Mmp14,8075,False,True,False,False,53.13
371,ENSMUSG00000000958.11,Slc7a7,5486,False,True,False,False,47.12
373,ENSMUSG00000000959.8,Oxa1l,5801,False,False,False,False,47.94
375,ENSMUSG00000000976.14,Heatr6,8139,False,True,False,False,45.93
378,ENSMUSG00000000982.6,Ccl3,766,False,True,False,False,46.3
379,ENSMUSG00000000983.14,Wfdc18,1829,False,True,False,False,45.84
382,ENSMUSG00000001014.7,Icam4,1999,False,True,False,False,58.3
383,ENSMUSG00000001016.13,Ilf2,10063,False,False,False,False,42.32
385,ENSMUSG00000001017.17,Chtop,10696,False,True,False,False,42.19
386,ENSMUSG00000001018.16,Snapin,7405,False,False,False,False,45.35
389,ENSMUSG00000001020.9,S100a4,834,False,True,False,False,48.53
390,ENSMUSG00000001021.14,S100a3,3974,False,True,False,False,49.07
392,ENSMUSG00000001023.11,S100a5,583,False,True,False,False,50.12
393,ENSMUSG00000001025.9,S100a6,1930,False,True,False,False,47.42
396,ENSMUSG00000001027.8,Scn4a,7041,False,True,False,False,51.42
398,ENSMUSG00000001029.16,Icam2,3018,False,True,False,False,48.84
400,ENSMUSG00000001034.18,Mapk7,14000,False,True,False,False,54.78000000000001
402,ENSMUSG00000001036.18,Epn2,9947,False,True,False,False,45.690000000000005
405,ENSMUSG00000001039.13,B9d1,1995,False,True,False,False,48.78
407,ENSMUSG00000001052.16,Sec24b,8939,False,True,False,False,44.2
410,ENSMUSG00000001053.16,N4bp3,3230,False,True,False,False,56.75
411,ENSMUSG00000001054.10,Rmnd5b,3405,False,False,False,False,50.38
414,ENSMUSG00000001056.4,Nhp2,1761,False,True,False,False,50.38
416,ENSMUSG00000001062.19,Vps9d1,10092,False,False,False,False,54.85000000000001
420,ENSMUSG00000001065.16,Zfp276,10958,False,True,False,False,51.54
423,ENSMUSG00000001076.8,C1ql4,1474,False,True,False,False,53.48
424,ENSMUSG00000001082.13,Mfsd10,10410,False,True,False,False,57.96999999999999
428,ENSMUSG00000001089.15,Luzp1,20648,False,True,False,False,40.42
430,ENSMUSG00000001095.6,Slc13a2,2412,False,True,False,False,49.99
431,ENSMUSG00000001098.16,Kctd10,7470,False,True,False,False,54.26
435,ENSMUSG00000001100.11,Poldip2,5088,False,True,False,False,48.81
439,ENSMUSG00000001103.8,Sebox,2490,False,True,False,False,53.39
440,ENSMUSG00000001105.16,Ift20,3137,False,True,False,False,47.18
442,ENSMUSG00000001119.8,Col6a1,4530,False,True,False,False,54.16
444,ENSMUSG00000001120.16,Pcbp3,5243,False,True,False,False,45.07
447,ENSMUSG00000001123.16,Lgals9,3269,False,True,False,False,48.47
449,ENSMUSG00000001127.13,Araf,10176,False,False,False,False,42.71
453,ENSMUSG00000001128.8,Cfp,2037,False,True,False,False,47.82
455,ENSMUSG00000001131.12,Timp1,1384,False,True,False,False,46.96
456,ENSMUSG00000001134.10,Uxt,2528,False,False,False,False,42.12
459,ENSMUSG00000001138.14,Cnnm3,7303,False,True,False,False,52.739999999999995
461,ENSMUSG00000001143.14,Lman2l,9516,False,True,False,False,47.29
464,ENSMUSG00000001150.8,Mcm3ap,8240,False,True,False,False,45.98
468,ENSMUSG00000001151.11,Pcnt,14286,False,False,False,False,47.6
472,ENSMUSG00000001155.14,Ftcd,3828,False,True,False,False,50.1
475,ENSMUSG00000001156.10,Mxd1,7934,False,True,False,False,48.43
478,ENSMUSG00000001157.14,Gmcl1,7119,False,True,False,False,43.35
480,ENSMUSG00000001158.14,Snrnp27,2315,False,True,False,False,43.33
482,ENSMUSG00000001166.18,Oas1c,3211,False,True,False,False,50.26
484,ENSMUSG00000001168.17,Oas1h,2148,False,True,False,False,48.44
485,ENSMUSG00000001173.16,Ocrl,13920,False,True,False,False,42.0
488,ENSMUSG00000001175.17,Calm1,8648,False,True,False,False,47.93
490,ENSMUSG00000001211.16,Agpat3,11911,False,True,False,False,50.47
