,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSMUSG00000000001.5,Gnai3,3262.0,41.72286940527284,False,True,False,False,False,False,4641.0,0.00011596784341855068,10999.0,0.00012994692610257742,7066.0,6.840199820313136e-05,12138.0,9.902527994949372e-05,0.00011100856501224727,0.00034831872134709764,9.752581947613597e-05,0.0002204609388789291
1,ENSMUSG00000000003.16,Pbsn,799.5,39.86565801486892,False,True,False,False,False,False,1.0,1.462393990145658e-08,3.0,2.0132244283605262e-08,1.0,6.6727146817999566e-09,1.0,4.512841450553421e-09,1.0421750716132284e-10,1.0030763356160007e-10,1.001112114688975e-10,1.0033061414309503e-10
2,ENSMUSG00000000028.16,Cdc45,1615.5,48.2561459043756,False,True,False,False,False,False,1221.0,3.103200047089087e-05,2326.0,2.0232905505023287e-05,3511.0,3.483157063899577e-05,4029.0,2.761858967738694e-05,0.0004274795581056436,1.066699811097425e-06,0.00017415334896786364,6.226960865275777e-05
3,ENSMUSG00000000031.20,H19,2224.0,55.76451349141456,True,False,False,False,False,False,69.0,3.348882237433557e-06,207.0,2.1877038788184385e-06,288.0,3.6633203603081763e-06,338.0,2.9829881988158116e-06,2.3376413732348885e-05,7.255135153120906e-07,6.376970549103926e-06,1.2433872844326105e-06
4,ENSMUSG00000000037.18,Scml2,2953.0,44.18287273967929,False,True,False,False,False,False,106.0,1.6963770285689633e-06,302.0,2.2011253750075083e-06,256.0,1.8083056787677883e-06,409.0,2.0443171771007e-06,1.5121075729929217e-07,2.466075061047649e-06,1.2547293522143154e-06,2.0463231569074848e-06
5,ENSMUSG00000000049.12,Apoh,552.5,51.65091406541475,False,True,False,False,False,False,48.0,7.896927546786554e-07,49.0,3.556696490103596e-07,82.0,5.538353185893964e-07,88.0,4.016428890992545e-07,1.8604723733359091e-07,3.601082662230059e-07,4.076145281123357e-09,2.0558135056858687e-07
6,ENSMUSG00000000056.8,Narf,525.0,49.26052332195677,False,True,False,False,False,False,2995.0,5.9212332660997695e-05,6973.0,6.693971224298749e-05,5658.0,5.079937687254307e-05,8607.0,5.822468039504024e-05,6.030808894008084e-06,0.00020510434950773537,0.00016969064893583964,0.0001819190379614826
7,ENSMUSG00000000058.7,Cav2,974.0,43.0835734870317,False,True,False,False,False,False,3.0,4.3871819704369745e-08,5.0,3.3553740472675434e-08,3.0,2.0018144045399868e-08,6.0,2.7077048703320527e-08,1.0940981688451837e-10,1.0084275445838261e-10,1.0833179047799074e-10,1.0427169441843508e-10
8,ENSMUSG00000000078.8,Klf6,1115.0,48.43554443053817,False,True,False,False,False,False,1753.0,3.875344073885994e-05,5741.0,5.702793730735917e-05,3018.0,2.5209516067840234e-05,6091.0,4.0863779334761227e-05,0.0002833040288014833,0.0002792464033572436,3.2315231834559394e-05,0.00014775923371682613
9,ENSMUSG00000000085.17,Scmh1,1334.0,52.24934306620355,False,True,False,False,False,False,3330.0,9.495324178015758e-05,12948.0,0.0001903235267091096,7761.0,8.347566066931745e-05,13729.0,0.00013821479510609964,0.00033898120221709244,0.0009546951275483366,0.0002894989335920775,0.0006712750416079607
