,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSMUSG00000000001.5,Gnai3,3262.0,41.72286940527284,False,True,False,False,False,False,3669.0,0.00012065027538502668,5188.0,0.00014985276508103828,3987.0,0.00010094416022455299,5757.0,0.00012361096405032966,0.00015616910169114645,0.00028080107895383415,7.31854728022105e-05,0.00015410183758638547
1,ENSMUSG00000000003.16,Pbsn,799.5,39.86565801486892,False,True,False,False,False,False,0.0,0.0,1.0,1.760488311572348e-08,1.0,1.597723333721953e-08,2.0,2.4586964505286856e-08,1.0003407541879143e-10,1e-10,1e-10,1e-10
2,ENSMUSG00000000028.16,Cdc45,1615.5,48.2561459043756,False,True,False,False,False,False,956.0,3.0858373253914737e-05,984.0,2.1988499011538627e-05,1641.0,4.109344414332863e-05,1711.0,3.1876999481104404e-05,0.00027474832740911675,1.5943882285709004e-06,0.0001058449444448351,4.450207223531297e-05
3,ENSMUSG00000000031.20,H19,2224.0,55.76451349141456,True,False,False,False,False,False,59.0,3.3354433509957946e-06,113.0,3.732235220533378e-06,146.0,4.793170001165858e-06,164.0,4.450240575456921e-06,8.136664341909243e-06,2.9141529106321335e-06,8.38134958934108e-06,6.840408094854164e-06
4,ENSMUSG00000000037.18,Scml2,2953.0,44.18287273967929,False,True,False,False,False,False,65.0,1.5020539593888347e-06,134.0,2.5703129348956284e-06,164.0,2.9078564673739543e-06,197.0,2.667685648823624e-06,1.3009901672601892e-06,3.6098179511106324e-06,4.582545870680739e-06,4.027406200254936e-06
5,ENSMUSG00000000049.12,Apoh,552.5,51.65091406541475,False,True,False,False,False,False,26.0,5.964037779926255e-07,10.0,1.7604883115723482e-07,31.0,5.272487001282444e-07,33.0,4.056849143372331e-07,1.1893525577421663e-07,2.741374397808637e-07,9.155188847454524e-10,2.3803669136361015e-08
6,ENSMUSG00000000056.8,Narf,525.0,49.26052332195677,False,True,False,False,False,False,2182.0,5.915441916534263e-05,3905.0,9.737260851306657e-05,3716.0,8.677235425443926e-05,4812.0,9.097176866956136e-05,2.0219861434287402e-06,0.0003184367679586776,0.00023204003395358946,0.00027100812064023103
7,ENSMUSG00000000058.7,Cav2,974.0,43.0835734870317,False,True,False,False,False,False,2.0,4.417805762908337e-08,2.0,3.520976623144696e-08,3.0,4.793170001165859e-08,1.0,1.2293482252643428e-08,1.1269146058304537e-10,1.0046519878569342e-10,1.0263828812447943e-10,1.2547435894142085e-10
8,ENSMUSG00000000078.8,Klf6,1115.0,48.43554443053817,False,True,False,False,False,False,1270.0,3.861162236781887e-05,2420.0,6.172272020372652e-05,1538.0,3.19065349744274e-05,2579.0,4.62849606812025e-05,0.0003698172038035136,0.00021565031339244067,1.813149586021165e-05,9.81408318749954e-05
9,ENSMUSG00000000085.17,Scmh1,1334.0,52.24934306620355,False,True,False,False,False,False,2600.0,9.443059818216571e-05,5973.0,0.00021416340310277614,4580.0,0.00013005467936496698,6492.0,0.00016923207668988942,0.00031061209574369014,0.0007565448398914918,0.0002857108590098273,0.0005087253650598928
10,ENSMUSG00000000088.8,Cox5a,645.0,48.09917355371901,False,True,False,False,True,False,7125.0,0.0005936426493908077,1090.0,2.350251895949085e-05,550.0,9.682203402355034e-06,1123.0,1.6547027112058054e-05,0.0004012303308542881,0.0048381734980626236,0.007287415676695423,0.006380736518942049
11,ENSMUSG00000000093.7,Tbx2,3626.0,63.23772752344181,False,True,False,False,False,False,33.0,8.614721237671257e-07,33.0,5.985660259345983e-07,43.0,7.669072001865374e-07,55.0,7.130219706533188e-07,1.660890272657359e-07,4.824374451424803e-08,4.680651938972493e-09,1.1456865356695756e-09
12,ENSMUSG00000000094.13,Tbx4,3011.0,53.10528063766191,False,True,False,False,False,False,3.0,6.626708644362505e-08,0.0,0.0,0.0,0.0,0.0,0.0,,3.633421193387175e-10,3.236937398882669e-10,3.6688896985943024e-10
13,ENSMUSG00000000103.13,Zfy2,2831.0,39.82887665303775,False,True,False,False,False,False,1.0,2.2089028814541686e-08,6.0,1.0562929869434088e-07,9.0,1.4379510003497575e-07,9.0,1.1064134027379085e-07,9.282813395847906e-10,1.627495174757743e-10,2.0958023576996319e-10,1.7033669718948917e-10
14,ENSMUSG00000000120.7,Ngfr,3446.0,58.5896691816599,False,True,False,False,False,False,9.0,2.871573745890419e-07,7.0,1.2323418181006438e-07,14.0,2.875902000699515e-07,14.0,2.212826805475817e-07,1.689419492157156e-08,1.452314026759663e-08,1.2390490006106449e-09,8.067578971972597e-10
15,ENSMUSG00000000125.6,Wnt3,3076.0,52.60078023407022,False,True,False,False,False,False,19.0,4.417805762908337e-07,9.0,1.7604883115723482e-07,16.0,2.875902000699515e-07,18.0,2.4586964505286857e-07,1.4939009030391375e-08,6.903360025358642e-08,1.047729895174132e-08,2.918127417465752e-08
16,ENSMUSG00000000126.12,Wnt9a,3319.0,56.327189408629096,False,True,False,False,False,False,15.0,3.313354322181253e-07,0.0,0.0,6.0,9.586340002331717e-08,1.0,1.2293482252643428e-08,1e-10,1.0431533892147171e-07,3.568072459032032e-08,9.577327218188545e-08
17,ENSMUSG00000000127.16,Fer,2913.0,44.52454514246481,False,True,False,False,False,False,129.0,3.4679775238830445e-06,231.0,4.700503791898169e-06,250.0,4.8570789345147365e-06,315.0,4.720697185015076e-06,6.107774484393288e-07,7.893947483210381e-06,8.173916417942648e-06,7.926106419278376e-06
18,ENSMUSG00000000131.16,Xpo6,864.5,51.60283582459532,False,True,False,False,False,False,3176.0,9.853915754167045e-05,5238.0,0.00015117313131471753,6614.0,0.0002092058933175525,7316.0,0.0001810829935814377,0.0002697478407453693,0.0003949779355290838,0.0006447292863264874,0.0005467409092226832
19,ENSMUSG00000000134.18,Tfe3,3046.0,56.661538742178905,False,True,False,False,False,False,343.0,8.327563863082216e-06,410.0,8.010221817654185e-06,306.0,5.256509767945225e-06,474.0,6.478665147143086e-06,3.383333934724439e-05,5.200896663219392e-06,1.1963744283168597e-06,1.303037234129414e-07
20,ENSMUSG00000000142.16,Axin2,1051.0,58.03996194100856,False,True,False,False,False,False,499.0,1.2303589049699718e-05,669.0,1.3186057453676887e-05,1464.0,2.917442807376286e-05,1470.0,2.177175706943151e-05,0.00029082798167510087,1.8234239973170772e-05,0.0001518165971994083,9.397555532504392e-05
21,ENSMUSG00000000148.18,Brat1,3256.0,57.74822102636648,False,True,False,False,False,False,608.0,1.583783366002639e-05,556.0,1.07213738174756e-05,846.0,1.557780250378904e-05,953.0,1.3547417442413057e-05,5.890286967170823e-05,1.379694238780841e-07,1.596806105671264e-05,5.1205124901127466e-06
22,ENSMUSG00000000149.11,Gna12,2361.0,57.63520286481776,False,True,False,False,False,False,864.0,2.5402383136722938e-05,903.0,1.9400581193527276e-05,1107.0,2.2416058372118998e-05,1349.0,2.1095615545536123e-05,2.0736240351247852e-05,3.500853806616673e-06,1.5862596150139512e-05,8.50038156590902e-06
23,ENSMUSG00000000154.17,Slc22a18,1383.0,57.26681127982647,False,True,False,False,False,False,5.0,1.1044514407270842e-07,29.0,5.281464934717045e-07,4.0,6.390893334887812e-08,20.0,2.4586964505286857e-07,1.4708257413176978e-06,2.420005855889447e-08,2.6619786755328473e-10,3.666449761282848e-09
24,ENSMUSG00000000157.17,Itgb2l,2581.0,52.63957462969996,False,True,False,False,False,False,4.0,1.546232017017918e-07,3.0,5.281464934717044e-08,6.0,1.4379510003497575e-07,5.0,9.834785802114742e-08,1.3043859539220231e-09,2.4439447414508266e-09,1.2706182631895475e-10,5.642916958528464e-10
25,ENSMUSG00000000167.15,Pih1d2,1059.0,46.846846846846844,False,True,False,False,False,False,44.0,1.1486294983561676e-06,47.0,8.626392726704506e-07,39.0,7.189755001748788e-07,62.0,7.990763464218228e-07,1.2313307292834683e-07,3.253010530045544e-08,1.6230370344939778e-07,9.44132741736317e-08
26,ENSMUSG00000000168.11,Dlat,648.0,47.97096439681991,False,True,False,False,False,False,1345.0,3.82581979067862e-05,1626.0,3.59843810885388e-05,1287.0,2.51960969727952e-05,1825.0,2.9037205080743776e-05,6.889491092535616e-05,3.740131434585381e-05,7.877949953295147e-07,6.475861410111088e-06
27,ENSMUSG00000000171.6,Sdhd,1231.0,49.39073923639318,False,True,False,False,True,False,1133.0,3.012943530303486e-05,398.0,7.552494856645373e-06,595.0,1.0608882935913768e-05,638.0,8.900481150913841e-06,3.471394936937346e-05,0.00018559402747399484,6.245595367683988e-05,0.00013369286511083896
28,ENSMUSG00000000182.10,Fgf23,1814.0,54.74090407938258,False,True,False,False,False,False,2.0,4.417805762908337e-08,3.0,5.281464934717044e-08,1.0,1.597723333721953e-08,3.0,3.688044675793028e-08,3.0766728219189965e-10,1.0663213196389991e-10,1.1552911277151143e-10,1.0015619333293187e-10
29,ENSMUSG00000000183.7,Fgf6,4657.0,49.88189821773674,False,True,False,False,False,False,3.0,6.626708644362505e-08,0.0,0.0,5.0,7.988616668609765e-08,2.0,2.4586964505286856e-08,1e-10,3.633421193387175e-10,1.3072350462066003e-10,1.87388480796338e-10
30,ENSMUSG00000000184.13,Ccnd2,805.0,53.27216219030608,False,True,False,False,False,False,2088.0,0.0001465827952132986,2664.0,9.886902357790306e-05,1559.0,3.8920540409466776e-05,2587.0,6.599141273218992e-05,0.0009729006921707341,1.9549312751498868e-05,0.00019809562773489626,2.3213776453771446e-05
31,ENSMUSG00000000194.14,Gpr107,683.0,51.23859191655802,False,True,False,False,False,False,2333.0,6.425698482150176e-05,3157.0,7.501440695609775e-05,3682.0,8.488704072064736e-05,4372.0,7.956341713910826e-05,4.551401825982187e-05,0.00014506004549861445,0.00019383521250145502,0.00016790644951717075
32,ENSMUSG00000000197.9,Nalcn,3802.0,44.509969109800615,False,True,False,False,False,False,50.0,1.126540469541626e-06,66.0,1.1971320518691967e-06,77.0,1.3101331336520015e-06,70.0,9.097176866956137e-07,1.601487204231818e-07,1.6810411987226375e-07,3.115384188481471e-07,5.013539837522797e-09
33,ENSMUSG00000000202.10,Btbd17,677.0,60.90750436300174,False,True,False,False,False,False,1.0,2.2089028814541686e-08,2.0,3.520976623144696e-08,0.0,0.0,1.0,1.2293482252643428e-08,1.8995271212700796e-10,1.0223996583176754e-10,1.030073694432921e-10,1.0048602522957725e-10
34,ENSMUSG00000000204.17,Slfn4,3703.0,43.75947448206165,False,True,False,False,False,False,15.0,6.405818356217089e-07,11.0,4.577269610088105e-07,20.0,7.509299668493179e-07,17.0,5.532067013689542e-07,3.3079032015337475e-07,1.7613715405820476e-08,6.895484079780931e-08,1.2467787318262557e-10
35,ENSMUSG00000000214.12,Th,1146.0,56.382144425622684,False,True,False,False,False,False,1.0,4.417805762908337e-08,1.0,1.760488311572348e-08,1.0,1.597723333721953e-08,2.0,2.4586964505286856e-08,1.0003407541879143e-10,1.1596222083682918e-10,1.1552911277151143e-10,1.0732924827383313e-10
