,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo
0,ENSG00000000003.17,TSPAN6,1874.5384615384614,41.851121159968486,False,True,False,False
2,ENSG00000000005.6,TNMD,873.5,41.27252683315215,False,True,False,False
4,ENSG00000000419.15,DPM1,1284.409090909091,38.542533379988974,False,False,False,False
8,ENSG00000000457.15,SCYL3,3017.3846153846152,44.6736411518604,False,True,False,False
10,ENSG00000000460.18,FIRRM,3019.090909090909,41.605638111105414,False,False,False,False
13,ENSG00000000938.14,FGR,2228.9375,57.26936991893807,False,True,False,False
15,ENSG00000000971.18,CFH,2921.2096774193546,39.342774363070006,False,True,False,False
19,ENSG00000001036.15,FUCA2,1522.2307692307693,47.663441939500174,False,True,False,False
21,ENSG00000001084.14,GCLC,1777.7333333333333,44.72111686198586,False,True,False,False
25,ENSG00000001167.16,NFYA,3652.3076923076924,47.380553658342215,False,True,False,False
26,ENSG00000001460.19,STPG1,1938.3333333333333,47.7790856844246,False,True,False,False
28,ENSG00000001461.20,NIPAL3,3876.222222222222,49.8342711533923,False,True,False,False
30,ENSG00000001497.19,LAS1L,3241.4545454545455,53.30630722292729,False,False,False,False
33,ENSG00000001561.8,ENPP4,4669.0,34.75898209212444,False,True,False,False
34,ENSG00000001617.13,SEMA3F,2586.625,61.74656217968163,False,True,False,False
36,ENSG00000001626.19,CFTR,3414.840909090909,41.57934897750739,False,True,False,False
40,ENSG00000001629.11,ANKIB1,3587.4,43.43894004855689,False,True,False,False
44,ENSG00000001630.19,CYP51A1,2193.6666666666665,40.81075600227128,False,True,False,False
46,ENSG00000001631.18,KRIT1,3453.543209876543,39.07394037890476,False,False,False,False
50,ENSG00000002016.19,RAD52,1839.741935483871,51.168853301069404,False,True,False,False
54,ENSG00000002330.15,BAD,906.8888888888889,65.68813909227742,False,True,False,False
56,ENSG00000002549.14,LAP3,1189.3333333333333,46.6045417001931,False,True,False,False
59,ENSG00000002586.21,CD99,985.025,54.415881793019864,False,True,False,False
63,ENSG00000002587.11,HS3ST1,2088.8571428571427,57.118546800667524,False,True,False,False
64,ENSG00000002726.22,AOC1,2227.5,60.21391785683957,False,True,False,False
66,ENSG00000002745.13,WNT16,2190.0,46.97444831591173,False,True,False,False
67,ENSG00000002746.16,HECW1,2548.4166666666665,51.7108796800506,False,True,False,False
69,ENSG00000002822.17,MAD1L1,1855.5510204081634,62.173376496777955,False,False,False,False
