,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSG00000000003.17,TSPAN6,1874.5384615384614,41.851121159968486,False,True,False,False,False,False,21.0,0.00014106655090739337,13.0,7.398302586184364e-05,6.0,4.018442518048095e-05,13.0,6.558087475225676e-05,1.005878321717892e-10,1.0078585862840714e-10,1.0188912210633762e-10,1.0103589444591863e-10
1,ENSG00000000419.15,DPM1,1284.409090909091,38.542533379988974,False,True,False,False,False,False,1487.0,0.009891420136295789,3131.0,0.01858365277534018,1594.0,0.01130559302995984,3075.0,0.016656946859196945,0.0016592977662335695,0.0002915940196520769,3.149352166375509e-05,0.00022484846251513322
2,ENSG00000000457.15,SCYL3,3017.3846153846152,44.6736411518604,False,True,False,False,False,False,423.0,0.0027594363295019675,731.0,0.00423503253399167,514.0,0.003600642492213538,792.0,0.004178226395145547,4.12468576840751e-07,8.194473012448352e-07,3.8243663878859716e-07,9.028657086048493e-07
3,ENSG00000000460.18,FIRRM,3019.090909090909,41.605638111105414,False,True,False,False,False,False,240.0,0.0016003662437777733,522.0,0.0030555974273925378,455.0,0.0032414099554742485,606.0,0.0032422381437966223,1.113127538061892e-07,2.1136890138135202e-07,2.303808872000165e-07,2.909993961363335e-07
4,ENSG00000000938.14,FGR,2228.9375,57.26936991893807,False,True,False,False,False,False,691.0,0.004787727200692834,737.0,0.004326024723911133,1055.0,0.007769498167009597,1023.0,0.005598264411098268,2.8524541536447287e-05,1.4799054429027515e-07,8.615362133567131e-06,2.355872408478274e-06
5,ENSG00000000971.18,CFH,2921.2096774193546,39.342774363070006,False,True,False,False,False,False,52.0,0.00035381945381558966,67.0,0.00038917460344690475,18.0,0.0001257120173071236,60.0,0.00032037608005711603,1.1587151235445805e-09,1.3692458986298177e-10,1.5398493147628882e-10,1.0809370398759736e-10
6,ENSG00000001036.15,FUCA2,1522.2307692307693,47.663441939500174,False,True,False,False,False,False,228.0,0.0014731684539717655,205.0,0.0011458438216904751,111.0,0.0007627351859074665,211.0,0.0010854335414919257,1.6817266693532667e-08,1.5987277280103386e-10,5.789889661392941e-09,2.453896304737132e-10
7,ENSG00000001084.14,GCLC,1777.7333333333333,44.72111686198586,False,True,False,False,False,False,469.0,0.003077390367895936,1339.0,0.007868283803696552,981.0,0.007011784961168072,1440.0,0.0077661461042137616,1.8384734933003693e-06,7.244252721129217e-06,4.526417827757329e-06,7.753997847314254e-06
8,ENSG00000001167.16,NFYA,3652.3076923076924,47.380553658342215,False,True,False,False,False,False,393.0,0.002604995422007349,1552.0,0.00913169688483723,1591.0,0.011444553542719527,1896.0,0.010228226805361815,7.10494008025535e-05,8.820587040070502e-06,1.324120073516787e-05,1.2897919490032324e-05
9,ENSG00000001460.19,STPG1,1938.3333333333333,47.7790856844246,False,True,False,False,False,False,102.0,0.000674918929862722,109.0,0.0006234717217312037,70.0,0.00048798357434635183,116.0,0.0005933596924047919,6.212138504006348e-10,1.8337526927760093e-10,1.042289842744553e-10,1.695792783459771e-10
10,ENSG00000001461.20,NIPAL3,3876.222222222222,49.8342711533923,False,True,False,False,False,False,884.0,0.005927532357899059,1108.0,0.006463731816835194,813.0,0.005803195855573686,1226.0,0.006557978575393086,6.732408857287249e-07,2.7281900535914346e-06,1.360988572007134e-06,3.92799164310797e-06
11,ENSG00000001497.19,LAS1L,3241.4545454545455,53.30630722292729,False,True,False,False,False,False,545.0,0.003574235612267782,771.0,0.004422339514457653,1041.0,0.007404928215890557,1076.0,0.0056586342279074915,2.279105765117003e-05,8.172310404821897e-07,6.15469654079401e-06,3.0343855190174508e-06
12,ENSG00000001561.8,ENPP4,4669.0,34.75898209212444,False,True,False,False,False,False,203.0,0.0013376661330536394,364.0,0.002094168696783479,228.0,0.0015877543625562934,385.0,0.002003027046223016,8.65790999605933e-08,4.921668790537223e-08,1.314746680195225e-08,4.773254032028473e-08
13,ENSG00000001617.13,SEMA3F,2586.625,61.74656217968163,False,True,False,False,False,False,16.0,0.00010043812565960993,11.0,6.353079685753097e-05,42.0,0.00029143242812700905,24.0,0.00012382073192849775,1.2477803183478025e-10,1.0007454050243286e-10,1.1019098964021213e-10,1.0061290658063063e-10
14,ENSG00000001626.19,CFTR,3414.840909090909,41.57934897750739,False,True,False,False,False,False,14.0,9.394991248311228e-05,22.0,0.00012000498290739908,8.0,5.3747876159289664e-05,19.0,9.518160882104066e-05,1.0616636980382262e-10,1.0046475789898632e-10,1.0005575519060157e-10,1.0012950789005297e-10
15,ENSG00000001629.11,ANKIB1,3587.4,43.43894004855689,False,True,False,False,False,False,1954.0,0.013515892111248727,3502.0,0.021412593738022945,2050.0,0.01493571365109348,3494.0,0.019523249771031564,0.0016158652978800342,0.000537351822919792,8.944968306592311e-05,0.0004269078613089501
16,ENSG00000001630.19,CYP51A1,2193.6666666666665,40.81075600227128,False,True,False,False,False,False,62.0,0.00039829914946146286,332.0,0.0018924776825993634,194.0,0.0013601268405132603,315.0,0.0016607577511284968,8.314224800982596e-08,1.038265244732608e-08,3.968644793121235e-09,8.277167315448373e-09
17,ENSG00000001631.18,KRIT1,3453.543209876543,39.07394037890476,False,True,False,False,False,False,556.0,0.003676501142147918,1105.0,0.00637772896124996,585.0,0.0041282867790873035,1113.0,0.005865886859319422,1.8140909401295695e-05,4.178271705623787e-06,5.407079966027185e-07,3.50066567903631e-06
18,ENSG00000002016.19,RAD52,1839.741935483871,51.168853301069404,False,True,False,False,False,False,566.0,0.0037649118007247262,306.0,0.0017313455805606141,351.0,0.00243255269137999,387.0,0.0019811119482444333,2.0935575409337751e-07,6.077910751870048e-07,5.055166572963581e-08,3.3564396757303944e-07
19,ENSG00000002330.15,BAD,906.8888888888889,65.68813909227742,False,True,False,False,False,False,555.0,0.003676195973208705,253.0,0.0014283943737316471,475.0,0.0032965254833926543,463.0,0.002394003127263976,8.779389662355503e-07,8.085384800806853e-07,8.122872122154512e-08,7.246845407078052e-08
20,ENSG00000002549.14,LAP3,1189.3333333333333,46.6045417001931,False,True,False,False,False,False,1496.0,0.010061394767551215,2872.0,0.017039444286349476,2232.0,0.01622602056188775,3036.0,0.016595956962570282,1.1063465478547174e-07,0.00021418258811894104,0.0001641598071383557,0.0002228741944040429
21,ENSG00000002587.11,HS3ST1,2088.8571428571427,57.118546800667524,False,True,False,False,False,False,29.0,0.00018860695857201947,14.0,7.907266841101275e-05,7.0,4.9382469642267745e-05,13.0,6.719058683634703e-05,1.004942954418416e-10,1.0479637256517722e-10,1.066444054739306e-10,1.0608800170192626e-10
