,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content,10x_H1_n_cells,10x_H1_percent_counts,polyT_H1_n_cells,polyT_H1_percent_counts,randO_H1_n_cells,randO_H1_percent_counts,parse_H1_n_cells,parse_H1_percent_counts
1,ENSG00000000005.6,TNMD,1645,False,True,False,False,40.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ENSG00000002745.13,WNT16,3842,False,True,False,False,38.61,13.0,4.42675499096863e-05,7.0,2.0647010653533046e-05,4.0,1.5945305052421387e-05,3.0,7.944520132181985e-06
33,ENSG00000003137.9,CYP26B1,8497,False,True,False,False,59.85,0.0,0.0,2.0,5.899145901009441e-06,0.0,0.0,0.0,0.0
57,ENSG00000004777.19,ARHGAP33,9012,False,False,False,False,60.93,3.0,9.485903552075634e-06,38.0,0.00011208377211917937,181.0,0.0007813199475686478,112.0,0.0003124844585324914
62,ENSG00000004846.17,ABCB5,9697,False,True,False,False,37.72,5.0,1.897180710415127e-05,18.0,5.309231310908497e-05,2.0,7.972652526210693e-06,12.0,3.177808052872794e-05
63,ENSG00000004848.8,ARX,3324,False,True,False,False,54.61999999999999,0.0,0.0,2.0,5.899145901009441e-06,0.0,0.0,3.0,7.944520132181985e-06
67,ENSG00000004939.16,SLC4A1,5571,False,True,False,False,55.79,2.0,6.323935701383756e-06,4.0,1.1798291802018883e-05,0.0,0.0,3.0,7.944520132181985e-06
76,ENSG00000005073.6,HOXA11,4806,False,True,False,False,54.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,ENSG00000005100.13,DHX33,9205,False,True,False,False,45.78,88.0,0.0002940630101143447,121.0,0.0003922932024171278,155.0,0.0006617301596754876,169.0,0.0004872639014404951
80,ENSG00000005108.17,THSD7A,12728,False,True,False,False,35.51,5.0,1.580983925345939e-05,16.0,5.309231310908497e-05,10.0,3.986326263105347e-05,20.0,5.825981430266788e-05
90,ENSG00000005302.19,MSL3,62190,False,True,False,False,42.85,1296.0,0.0049832613326904005,2593.0,0.010883924187362419,2650.0,0.015825715264528226,3082.0,0.012925734255060089
91,ENSG00000005339.15,CREBBP,21143,False,True,False,False,45.01,4593.0,0.028230048970977088,6757.0,0.046048732903279696,6597.0,0.06353406798137301,7342.0,0.05121832129217726
92,ENSG00000005379.17,TSPOAP1,17494,False,False,False,False,57.84,394.0,0.0015240685040334853,730.0,0.002651666082503744,2001.0,0.013322302371298068,1606.0,0.006289411771310738
93,ENSG00000005381.9,MPO,8376,False,True,False,False,55.12,12.0,4.42675499096863e-05,3.0,8.848718851514161e-06,11.0,4.783591515726416e-05,9.0,2.3833560396545954e-05
99,ENSG00000005483.23,KMT2E,28371,False,False,False,False,39.74,6653.0,0.07647535443683376,8755.0,0.13447692995941124,7643.0,0.09925553762506004,8831.0,0.1233942866930506
101,ENSG00000005513.11,SOX8,17335,False,False,False,False,65.75,32.0,0.0001011829712221401,8.0,2.3596583604037766e-05,26.0,0.00010364448284073902,23.0,6.090798768006189e-05
121,ENSG00000006071.16,ABCC8,58902,False,True,False,False,50.03,4.0,1.2647871402767513e-05,3.0,8.848718851514161e-06,0.0,0.0,3.0,7.944520132181985e-06
123,ENSG00000006118.15,TMEM132A,14618,False,True,False,False,58.71,14.0,4.42675499096863e-05,2.0,5.899145901009441e-06,11.0,4.384958889415881e-05,5.0,1.3240866886969976e-05
126,ENSG00000006194.12,ZNF263,24480,False,True,False,False,47.09,663.0,0.0023398562095119898,449.0,0.0014305428809947894,702.0,0.003085416527643538,697.0,0.0020285008070838
127,ENSG00000006210.7,CX3CL1,12957,False,True,False,False,53.75,1.0,3.161967850691878e-06,0.0,0.0,0.0,0.0,0.0,0.0
129,ENSG00000006283.18,CACNA1G,18513,False,True,False,False,56.94,4.0,1.2647871402767513e-05,8.0,2.6546156554542485e-05,31.0,0.00015945305052421387,25.0,7.414885456703187e-05
141,ENSG00000006606.9,CCL26,1063,False,True,False,False,48.09,1.0,3.161967850691878e-06,1.0,2.9495729505047207e-06,0.0,0.0,0.0,0.0
147,ENSG00000006652.15,IFRD1,17776,False,True,False,False,39.46,34.0,0.00011066887477421574,118.0,0.0003598478999615759,77.0,0.00031093344852221703,132.0,0.00035485523257079536
148,ENSG00000006659.13,LGALS14,1279,False,True,False,False,45.19,2.0,6.323935701383756e-06,1.0,2.9495729505047207e-06,0.0,0.0,0.0,0.0
158,ENSG00000006788.14,MYH13,6464,False,True,False,False,45.88,0.0,0.0,3.0,8.848718851514161e-06,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
160,ENSG00000006837.12,CDKL3,4507,False,False,False,False,40.16,4.0,1.2647871402767513e-05,3.0,8.848718851514161e-06,0.0,0.0,3.0,7.944520132181985e-06
169,ENSG00000007174.18,DNAH9,20810,False,True,False,False,42.62,15.0,5.375345346176193e-05,31.0,9.143676146564634e-05,14.0,5.580856768347486e-05,28.0,7.414885456703187e-05
177,ENSG00000007314.12,SCN4A,8794,False,True,False,False,56.1,6.0,1.897180710415127e-05,5.0,1.4747864752523603e-05,4.0,1.5945305052421387e-05,7.0,1.8537213641757967e-05
179,ENSG00000007350.18,TKTL1,4725,False,False,False,False,48.27,80.0,0.00030038694581572845,54.0,0.00017992394998078795,42.0,0.00023917957578632078,55.0,0.00018537213641757965
180,ENSG00000007372.25,PAX6,62030,False,True,False,False,49.68,1.0,3.161967850691878e-06,4.0,1.1798291802018883e-05,4.0,1.5945305052421387e-05,7.0,1.8537213641757967e-05
189,ENSG00000007866.22,TEAD3,3535,False,False,False,False,56.75,24.0,8.537313196868072e-05,8.0,2.6546156554542485e-05,6.0,2.391795757863208e-05,6.0,1.588904026436397e-05
190,ENSG00000007908.16,SELE,6944,False,True,False,False,39.36,0.0,0.0,2.0,5.899145901009441e-06,2.0,7.972652526210693e-06,3.0,7.944520132181985e-06
193,ENSG00000007944.16,MYLIP,8342,False,True,False,False,40.76,4181.0,0.022083183469232076,4380.0,0.02193892360585411,4045.0,0.02711897756790567,4893.0,0.023714392594563226
199,ENSG00000008086.13,CDKL5,21185,False,True,False,False,40.21,691.0,0.0030765947187231975,816.0,0.003223883234901659,695.0,0.0034960081327433884,927.0,0.003289031334723342
