mouse_symbol,human_symbol
mt-Nd1,MT-ND1
mt-Nd2,MT-ND2
mt-Co1,MT-CO1
mt-Co2,MT-CO2
mt-Atp8,MT-ATP8
mt-Atp6,MT-ATP6
mt-Co3,MT-CO3
mt-Nd3,MT-ND3
mt-Nd4l,MT-ND4L
mt-Nd4,MT-ND4
mt-Nd5,MT-ND5
mt-Nd6,MT-ND6
mt-Cytb,MT-CYB
Gm16367,PRAMEF2
Gm16367,PRAMEF18
Gm16367,PRAMEF20
Gm16367,PRAMEF6
Gm16367,PRAMEF8
Gm16367,PRAMEF14
Gm16367,PRAMEF19
Gm16367,PRAMEF27
Gm16367,PRAMEF17
Gm16367,PRAMEF11
Gm16367,PRAMEF1
Gm16367,PRAMEF10
Gm16367,PRAMEF9
Gm16367,PRAMEF15
Gm16367,PRAMEF12
Gm16367,PRAMEF4
Gm16367,PRAMEF26
Gm16367,PRAMEF33
Gm16367,PRAMEF7
Gm16367,PRAMEF5
Gm16367,PRAMEF13
Gm16367,PRAMEF25
Gm29276,SYCP3
Gm54343,RNA5SP172
Gm54344,RNA5SP172
Gm54345,RNA5SP172
Gm54346,RNA5SP172
Gm54347,RNA5SP172
Gm54348,RNA5SP172
Gm20908,SYCP3
Rbmyf4,RBMY1E
Rbmyf4,RBMY1B
Rbmyf4,RBMY1A1
Rbmyf4,RBMY1F
Rbmyf4,RBMY1J
Rbmyf4,RBMY1D
Rbmyf5,RBMY1E
Rbmyf5,RBMY1B
Rbmyf5,RBMY1A1
Rbmyf5,RBMY1F
Rbmyf5,RBMY1J
Rbmyf5,RBMY1D
Rbmyf6,RBMY1E
Rbmyf6,RBMY1B
Rbmyf6,RBMY1A1
Rbmyf6,RBMY1F
Rbmyf6,RBMY1J
Rbmyf6,RBMY1D
Rbmyf9,RBMY1E
Rbmyf9,RBMY1B
Rbmyf9,RBMY1A1
Rbmyf9,RBMY1F
Rbmyf9,RBMY1J
Rbmyf9,RBMY1D
Usp9y,USP9Y
Gm25565,RNU6-909P
H2al2c,H2AL1Q
H2al2c,H2AL3
Sry,SRY
H2al2b,H2AL1Q
H2al2b,H2AL3
Rbmyf1,RBMY1E
Rbmyf1,RBMY1B
Rbmyf1,RBMY1A1
Rbmyf1,RBMY1F
Rbmyf1,RBMY1J
Rbmyf1,RBMY1D
Rbmyf3,RBMY1E
Rbmyf3,RBMY1B
Rbmyf3,RBMY1A1
Rbmyf3,RBMY1F
Rbmyf3,RBMY1J
Rbmyf3,RBMY1D
Gm29554,SYCP3
Gm28490,SYCP3
Gm54339,RNA5SP172
Gm54340,RNA5SP172
Gm21094,SYCP3
Gm20888,SYCP3
Gm21317,SYCP3
Gm21627,SYCP3
Gm20905,SYCP3
Gm20870,SYCP3
Gm20850,SYCP3
Gm29582,SYCP3
Gm21294,SYCP3
Rbmyf2,RBMY1E
Rbmyf2,RBMY1B
Rbmyf2,RBMY1A1
Rbmyf2,RBMY1F
Rbmyf2,RBMY1J
Rbmyf2,RBMY1D
Gm21256,SYCP3
Gm28998,SYCP3
Zfy1,ZNF561
Zfy1,ZNF562
Zfy1,ZNF548
Zfy1,ZNF837
Zfy1,ZNF792
Zfy1,ZNF584
Zfy1,ZNF586
Zfy1,ZNF773
Zfy1,ZNF610
Zfy1,ZNF480
Zfy1,ZNF418
Zfy1,ZNF793
Zfy1,ZNF587B
Zfy1,ZNF552
Zfy1,ZNF549
Zfy1,ZNF154
Zfy1,ZNF134
Zfy1,ZNF772
Zfy1,ZNF256
Zfy1,ZNF419
Zfy1,ZNF304
Gm21518,SYCP3
Gm20920,SYCP3
Gm28891,SYCP3
Gm20929,SYCP3
Gm21117,SYCP3
Gm21858,SYCP3
Gm20916,SYCP3
Gm29866,SYCP3
Gm21760,SYCP3
Gm20894,SYCP3
Gm21650,SYCP3
Gm20824,SYCP3
Kdm5d,KDM5D
Gm20911,SYCP3
Gm20837,SYCP3
Ddx3y,DDX3Y
Gm28870,SYCP3
Gm21095,SYCP3
Gm28919,SYCP3
Gm21409,SYCP3
Gm28553,SYCP3
Rbmy,RBMY1E
Rbmy,RBMY1B
Rbmy,RBMY1A1
Rbmy,RBMY1F
Rbmy,RBMY1J
Rbmy,RBMY1D
Uty,UTY
Gm20843,SYCP3
Gm31571,SYCP3
Gm28576,SYCP3
Gm28102,SYCP3
Gm20792,SYCP3
Gm20835,SYCP3
Gm21209,SYCP3
Gm35134,SYCP3
Gm20883,SYCP3
Gm21739,SYCP3
Rbmyf8,RBMY1E
Rbmyf8,RBMY1B
Rbmyf8,RBMY1A1
Rbmyf8,RBMY1F
Rbmyf8,RBMY1J
Rbmyf8,RBMY1D
Gm20931,SYCP3
Gm28897,SYCP3
Gm20817,SYCP3
Gm30737,SYCP3
Rbmyf7,RBMY1E
Rbmyf7,RBMY1B
Rbmyf7,RBMY1A1
Rbmyf7,RBMY1F
Rbmyf7,RBMY1J
Rbmyf7,RBMY1D
Gm28827,SYCP3
Gm21865,SYCP3
Gm29564,SYCP3
Gm20838,SYCP3
Gm20890,SYCP3
Gm20896,SYCP3
Gm20820,SYCP3
Gm21258,SYCP3
Gm28961,SYCP3
Gm21497,SYCP3
Gm20906,SYCP3
Gm21477,SYCP3
Gm21366,SYCP3
Gm20814,SYCP3
Gm20903,SYCP3
Gm20937,SYCP3
Gm20869,SYCP3
Gm21996,SYCP3
Gm28510,SYCP3
Sly,SYCP3
Gm57478,SYCP3
Gm20855,SYCP3
Zfy2,ZNF561
Zfy2,ZNF562
Zfy2,ZNF548
Zfy2,ZNF837
Zfy2,ZNF792
Zfy2,ZNF584
Zfy2,ZNF586
Zfy2,ZNF773
Zfy2,ZNF610
Zfy2,ZNF480
Zfy2,ZNF418
Zfy2,ZNF793
Zfy2,ZNF587B
Zfy2,ZNF552
Zfy2,ZNF549
Zfy2,ZNF154
Zfy2,ZNF134
Zfy2,ZNF772
Zfy2,ZNF256
Zfy2,ZNF419
Zfy2,ZNF304
Gm29110,SYCP3
Gm21488,SYCP3
Gm20897,SYCP3
Gm21173,SYCP3
Gm20736,SYCP3
Gm21861,SYCP3
Gm22597,RNU6-169P
Gm54361,RN7SKP242
Dsg1c,DSG1
Dsg1a,DSG1
Dsg4,DSG4
Gm54376,Y_RNA
Klhl14,KLHL14
Chsy3,CHSY3
Gm23207,RNU6-602P
Gm23207,RNU6-1198P
Mir187,MIR187
Mir378a,MIR378A
Il17b,IL17B
Sft2d3,SFT2D3
