,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts
0,ENSG00000000003.17,TSPAN6,1655.0,40.6578947368421,False,True,False,False,False,False,0.0,0.0,2.0,4.470977710052401e-08,1.0,2.5819391292358646e-08,1.0,1.714608726974348e-08
1,ENSG00000000005.6,TNMD,873.5,41.27252683315215,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.5819391292358646e-08,0.0,0.0
2,ENSG00000000419.15,DPM1,1074.5,37.57892132737843,False,True,False,False,False,False,3656.0,4.986780746463542e-05,1306.0,4.573810197383606e-05,837.0,2.9408286681996498e-05,1431.0,3.9881798989423336e-05
3,ENSG00000000457.15,SCYL3,2870.0,44.61592423710979,False,True,False,False,False,False,421.0,4.874380644836044e-06,523.0,1.4798936220273447e-05,523.0,1.6679326774863686e-05,709.0,1.6203052469907587e-05
4,ENSG00000000460.18,FIRRM,3086.5,41.769197509475696,False,True,False,False,False,False,939.0,1.1362426115017355e-05,1834.0,7.191567646619287e-05,1543.0,6.617509988231521e-05,2157.0,7.021322736959955e-05
5,ENSG00000000938.14,FGR,2385.5,57.13390879903677,False,True,False,False,False,False,12.0,1.335446752009875e-07,11.0,2.4590377405288204e-07,10.0,2.581939129235865e-07,11.0,1.8860695996717827e-07
6,ENSG00000000971.18,CFH,3096.5,39.22819911227539,False,True,False,False,False,False,0.0,0.0,6.0,1.3412933130157203e-07,1.0,2.5819391292358646e-08,3.0,5.143826180923044e-08
7,ENSG00000001036.15,FUCA2,1316.0,48.23393167342212,False,True,False,False,False,False,16.0,1.7805956693465002e-07,3.0,6.706466565078602e-08,3.0,7.745817387707595e-08,4.0,6.858434907897392e-08
8,ENSG00000001084.14,GCLC,1800.0,44.20079260237781,False,True,False,False,False,False,563.0,6.465788024314479e-06,971.0,2.9955550657351088e-05,706.0,2.47866156406643e-05,1116.0,2.8513943129583406e-05
9,ENSG00000001167.16,NFYA,3759.0,46.88057157445967,False,True,False,False,False,False,746.0,8.724918779797851e-06,1020.0,3.382294637654641e-05,1196.0,4.923757919452794e-05,1428.0,4.082483378925922e-05
10,ENSG00000001460.19,STPG1,1685.0,49.5114006514658,False,True,False,False,False,False,368.0,4.2845583293650165e-06,220.0,5.7899161345178595e-06,195.0,5.91264060595013e-06,287.0,6.189737504377396e-06
11,ENSG00000001461.20,NIPAL3,4112.0,49.73290886614989,False,True,False,False,False,False,793.0,9.23684003473497e-06,852.0,2.5909315829753665e-05,635.0,2.1275178424903526e-05,942.0,2.345584738500908e-05
12,ENSG00000001497.19,LAS1L,2386.0,53.90001968833256,False,True,False,False,False,False,4635.0,6.74400609764987e-05,1588.0,5.6960256026067585e-05,2176.0,0.00010756358412396613,2345.0,7.691734749206925e-05
13,ENSG00000001561.8,ENPP4,4665.0,34.65896942484499,False,True,False,False,False,False,476.0,5.430816791506826e-06,454.0,1.2339898479744626e-05,249.0,7.332707127029856e-06,504.0,1.0682012369050188e-05
14,ENSG00000001617.13,SEMA3F,3126.0,61.362371664672665,False,True,False,False,False,False,166.0,1.8696254528138253e-06,139.0,3.330878393989039e-06,488.0,1.5956383818677644e-05,412.0,8.658774071220458e-06
15,ENSG00000001626.19,CFTR,4037.0,41.2124580998066,False,True,False,False,False,False,17.0,1.8918828986806565e-07,37.0,8.718406534602182e-07,19.0,4.905684345548143e-07,30.0,5.143826180923044e-07
16,ENSG00000001629.11,ANKIB1,4063.0,42.90984921398781,False,True,False,False,False,False,4711.0,7.196945121039885e-05,4157.0,0.0002553822467981931,2618.0,0.00014900370714820177,4266.0,0.00021346878650830631
17,ENSG00000001630.19,CYP51A1,2220.0,41.0459587955626,False,True,False,False,False,False,105.0,1.1685159080086408e-06,208.0,5.275753697861833e-06,132.0,3.82126991126908e-06,211.0,4.2007913810871525e-06
18,ENSG00000001631.18,KRIT1,3835.0,39.06844106463878,False,True,False,False,False,False,2006.0,2.4750279803916353e-05,1594.0,5.579780182145397e-05,1041.0,3.741229798262768e-05,1792.0,4.8746326107880714e-05
19,ENSG00000002016.19,RAD52,1894.0,50.02794857462269,False,True,False,False,False,False,2037.0,2.572960742205693e-05,1414.0,4.732529906090467e-05,1574.0,6.829228996828863e-05,1875.0,5.546759231762016e-05
20,ENSG00000002330.15,BAD,954.0,65.91846919440059,False,True,False,False,False,False,5936.0,9.529525447883801e-05,322.0,8.114824543745107e-06,521.0,1.5801467470923492e-05,538.0,1.099064193990557e-05
21,ENSG00000002549.14,LAP3,850.0,47.01567435132981,False,True,False,False,False,False,6301.0,0.00010434290622370491,1611.0,5.535070405044872e-05,1157.0,4.526139293550471e-05,1801.0,5.148970007103967e-05
23,ENSG00000002587.11,HS3ST1,1636.0,54.88997555012225,False,True,False,False,False,False,131.0,1.491248873077694e-06,100.0,2.4813926290790827e-06,86.0,2.4528421727740714e-06,123.0,2.537620915922035e-06
24,ENSG00000002726.22,AOC1,2465.0,60.40220104402454,False,True,False,False,False,False,0.0,0.0,1.0,2.2354888550262005e-08,2.0,5.163878258471729e-08,4.0,6.858434907897392e-08
25,ENSG00000002745.13,WNT16,2190.0,46.97444831591173,False,True,False,False,False,False,15.0,1.669308440012344e-07,3.0,6.706466565078602e-08,2.0,5.163878258471729e-08,3.0,5.143826180923044e-08
26,ENSG00000002746.16,HECW1,679.5,50.05673178149492,False,True,False,False,False,False,352.0,4.6072912944340695e-06,581.0,2.007468991813528e-05,463.0,1.799611573077398e-05,685.0,1.961512383658654e-05
27,ENSG00000002822.17,MAD1L1,2551.0,62.22910216718266,False,True,False,False,False,False,184.0,2.0921999114821378e-06,60.0,1.4083579786665063e-06,371.0,1.1618726081561391e-05,267.0,5.2467027045415045e-06
28,ENSG00000002834.20,LASP1,3848.0,56.67022411953042,False,True,False,False,False,False,1066.0,1.2742387758760892e-05,1598.0,5.318227986107331e-05,2332.0,0.00011639381594595278,2435.0,7.876912491720155e-05
29,ENSG00000002919.16,SNX11,2165.0,52.060737527114966,False,True,False,False,False,False,671.0,7.71220499285703e-06,215.0,5.342818363512619e-06,220.0,6.403209040504945e-06,300.0,5.881107933522013e-06
31,ENSG00000003056.9,M6PR,2198.0,45.71428571428572,False,True,False,False,False,False,902.0,1.0616801678478508e-05,1188.0,3.815979475529724e-05,956.0,3.4597984331760585e-05,1380.0,3.592105283011259e-05
32,ENSG00000003096.16,KLHL13,3256.0,42.2014449638759,False,True,False,False,False,False,593.0,7.3338284131208975e-06,915.0,3.368881704524484e-05,656.0,2.6361598509498178e-05,1011.0,3.0314282292906473e-05
33,ENSG00000003137.9,CYP26B1,4025.0,56.21158911325724,False,True,False,False,False,False,4.0,4.4514891733662504e-08,1.0,2.2354888550262005e-08,9.0,2.3237452163122782e-07,8.0,1.3716869815794784e-07
34,ENSG00000003147.20,ICA1,1781.0,47.29032258064516,False,True,False,False,False,False,19.0,2.2257445866831253e-07,3.0,6.706466565078602e-08,8.0,2.0655513033886917e-07,8.0,1.3716869815794784e-07
35,ENSG00000003249.16,DBNDD1,2075.0,61.98745779064159,False,True,False,False,False,False,481.0,5.608876358441476e-06,76.0,1.8107459725712225e-06,153.0,4.466754693578046e-06,154.0,2.9148348358563917e-06
36,ENSG00000003393.17,ALS2,5760.0,45.19850187265917,False,True,False,False,False,False,659.0,7.612046486456289e-06,1154.0,3.912105496295851e-05,1146.0,4.399624276217914e-05,1461.0,4.157926162912794e-05
37,ENSG00000003400.17,CASP10,1645.0,46.54422426292895,False,True,False,False,False,False,768.0,8.95862196139958e-06,1001.0,3.0581487536758426e-05,932.0,3.379758320169747e-05,1240.0,3.189172232172287e-05
38,ENSG00000003402.22,CFLAR,1830.0,48.21861014250021,False,True,False,False,False,False,877.0,1.0583415509678261e-05,1243.0,4.2228384471444925e-05,1428.0,5.9694432667933194e-05,1692.0,4.938073133686122e-05
39,ENSG00000003436.17,TFPI,2619.5,35.58247725283516,False,True,False,False,False,False,618.0,7.445115642455054e-06,669.0,2.0946530571595497e-05,402.0,1.2832237472302248e-05,737.0,1.798624554596091e-05
40,ENSG00000003509.17,NDUFAF7,1332.5,43.00113303011686,False,True,False,False,True,False,1640.0,2.0031701280148127e-05,1124.0,3.534307879796423e-05,751.0,2.556119737943506e-05,1231.0,3.124017100547262e-05
41,ENSG00000003756.18,RBM5,1931.0,49.1903418292797,False,True,False,False,False,False,2148.0,2.7309886078601946e-05,2234.0,8.933013464684698e-05,2168.0,0.00010433616021242129,2717.0,9.426918780904965e-05
42,ENSG00000003987.15,MTMR7,729.0,45.65819514539774,False,True,False,False,False,False,651.0,7.667690101123366e-06,71.0,1.7213264183701744e-06,38.0,1.0585950429867046e-06,72.0,1.3373948070399914e-06
43,ENSG00000003989.19,SLC7A2,6783.5,42.00174997498843,False,True,False,False,False,False,3.0,3.3386168800246877e-08,7.0,1.5648421985183402e-07,6.0,1.549163477541519e-07,9.0,1.5431478542769132e-07
44,ENSG00000004059.12,ARF5,897.0,59.88495073002115,False,True,False,False,False,False,967.0,1.1529356959018588e-05,135.0,3.2191039512377285e-06,353.0,1.0947421907960066e-05,317.0,6.498367075232779e-06
45,ENSG00000004139.15,SARM1,1517.0,58.39636163672259,False,True,False,False,False,False,96.0,1.0794861245413157e-06,332.0,8.58427720330061e-06,378.0,1.2109294516116206e-05,474.0,1.0116191489148652e-05
46,ENSG00000004142.13,POLDIP2,2168.0,55.35221354166667,False,True,False,False,False,False,5305.0,7.969278492618931e-05,488.0,1.3345868464506417e-05,689.0,2.3444007293461653e-05,775.0,1.73518403169804e-05
47,ENSG00000004399.14,PLXND1,640.0,58.84796206045832,False,True,False,False,False,False,1010.0,1.2241595226757189e-05,1139.0,3.6706726999530214e-05,2572.0,0.0001472996273229061,2399.0,8.226692672022922e-05
48,ENSG00000004455.19,AK2,2951.0,46.22247350233824,False,True,False,False,False,False,8098.0,0.00015770513268943286,1640.0,5.8636872667337236e-05,2096.0,0.00010252880282195619,2352.0,7.794611272825386e-05
49,ENSG00000004468.14,CD38,1410.0,46.15384615384616,False,True,False,False,False,False,4162.0,6.532560361914973e-05,2787.0,0.0001423782851766187,2621.0,0.00015744664810080303,3257.0,0.00014680479920354368
50,ENSG00000004478.9,FKBP4,2015.0,54.08438061041293,False,True,False,False,False,False,1549.0,1.8662868359338007e-05,376.0,9.679666742263449e-06,887.0,3.302300146292671e-05,804.0,1.8980718607606032e-05
51,ENSG00000004487.19,KDM1A,2897.5,51.1779471816231,False,True,False,False,False,False,5642.0,8.939703132412772e-05,4054.0,0.0002427517347672951,3459.0,0.00023653144362929758,4580.0,0.00024344014705581792
52,ENSG00000004534.16,RBM6,2007.0,47.96829724696404,False,True,False,False,False,False,4493.0,6.726200140956404e-05,3756.0,0.00021053834036636757,2941.0,0.00017836035504761354,4115.0,0.00019618553054040488
53,ENSG00000004660.16,CAMKK1,3574.0,58.69191498149344,False,True,False,False,False,False,129.0,1.457862704277447e-06,200.0,5.029849923808951e-06,246.0,7.461804083491649e-06,309.0,6.086860980758935e-06
54,ENSG00000004700.17,RECQL,3137.0,37.588892802446765,False,True,False,False,False,False,2512.0,3.3241495402112476e-05,1643.0,5.975461709485034e-05,872.0,3.2713168767418406e-05,1689.0,4.888349480603866e-05
55,ENSG00000004766.18,VPS50,2742.0,38.16772765015223,False,True,False,False,False,False,1850.0,2.3392575606039648e-05,2267.0,9.672960275698369e-05,1572.0,6.855048388121221e-05,2463.0,8.487313198523023e-05
56,ENSG00000004776.14,HSPB6,1026.0,64.22954329789046,False,True,False,False,False,False,83.0,9.348127264069126e-07,8.0,1.7883910840209604e-07,39.0,1.032775651694346e-06,32.0,5.829669671712783e-07
57,ENSG00000004777.19,ARHGAP33,661.5,64.58524789104105,False,True,False,False,False,False,768.0,8.925235792599332e-06,820.0,2.4277408965584537e-05,3382.0,0.00022682335250337072,2845.0,0.00010733450630859418
58,ENSG00000004779.11,NDUFAB1,665.0,48.42105263157895,False,True,False,False,True,False,12202.0,0.0005197558758822435,684.0,1.953817259292899e-05,754.0,2.612922398786695e-05,938.0,2.1809823007113707e-05
59,ENSG00000004799.9,PDK4,3467.0,39.37996413015629,False,True,False,False,False,False,0.0,0.0,1.0,2.2354888550262005e-08,1.0,2.5819391292358646e-08,1.0,1.714608726974348e-08
60,ENSG00000004809.15,SLC22A16,1559.5,47.79265356087828,False,True,False,False,False,False,1807.0,2.2658079892434216e-05,1149.0,3.858453763775222e-05,883.0,3.242915546320246e-05,1291.0,3.614395196461926e-05
61,ENSG00000004838.15,ZMYND10,1677.0,60.13672857800528,False,True,False,False,False,False,27.0,3.004755192022219e-07,10.0,2.2354888550262005e-07,7.0,1.8073573904651054e-07,13.0,2.2289913450666522e-07
62,ENSG00000004846.17,ABCB5,2225.5,41.29309002965184,False,True,False,False,False,False,4.0,5.564361466707813e-08,645.0,1.7257973960802268e-05,10.0,2.581939129235865e-07,480.0,9.361763649279939e-06
63,ENSG00000004848.8,ARX,100.0,61.0,False,True,False,False,False,False,334.0,3.81715196616156e-06,100.0,2.3919730748780344e-06,100.0,2.788494259574734e-06,134.0,2.4861826541128044e-06
64,ENSG00000004864.15,SLC25A13,2952.0,44.33962264150944,False,True,False,False,False,False,2101.0,2.687586588419874e-05,1801.0,7.006022071652113e-05,1321.0,5.530513614823222e-05,1979.0,6.357769159620883e-05
65,ENSG00000004866.23,ST7,1691.5,46.60047581284695,False,True,False,False,False,False,327.0,3.694736013893988e-06,354.0,9.344343414009519e-06,279.0,8.726954256817222e-06,428.0,9.001695816615327e-06
66,ENSG00000004897.13,CDC27,873.5,40.73815881447031,False,True,False,False,False,False,4053.0,6.11745899649857e-05,3038.0,0.00014946478484705177,2372.0,0.00012690230820194275,3361.0,0.00014006638690653448
67,ENSG00000004939.16,SLC4A1,2157.5,57.921348964169646,False,True,False,False,False,False,71.0,8.012680512059251e-07,28.0,6.259368794073361e-07,38.0,1.032775651694346e-06,46.0,8.23012188947687e-07
68,ENSG00000004948.17,CALCR,2673.0,45.72510804408074,False,True,False,False,False,False,11.0,1.224159522675719e-07,6.0,1.3412933130157203e-07,3.0,7.745817387707595e-08,5.0,8.57304363487174e-08
69,ENSG00000004961.16,HCCS,2153.5,43.58514254218085,False,True,False,False,False,False,2536.0,3.254038585730729e-05,182.0,4.381558155851353e-06,190.0,5.3446139975182405e-06,254.0,4.869488784607148e-06
70,ENSG00000004975.13,DVL2,1240.0,60.26831785345718,False,True,False,False,False,False,2945.0,3.8772470700020045e-05,549.0,1.4843645997373971e-05,1702.0,7.412747240036168e-05,1509.0,3.912737114955462e-05
71,ENSG00000005001.11,PRSS22,1097.0,63.57176928764734,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.5819391292358646e-08,1.0,1.714608726974348e-08
72,ENSG00000005007.15,UPF1,4229.5,60.36247674097703,False,True,False,False,False,False,1490.0,1.7928372645732575e-05,1420.0,4.7705332166259116e-05,2103.0,0.00010265789977841798,2205.0,6.988745171147442e-05
73,ENSG00000005020.14,SKAP2,1504.5,39.78809278157626,False,True,False,False,False,False,5276.0,8.359896667581819e-05,3385.0,0.00017646949021576827,2132.0,0.00010570458795091631,3504.0,0.0001480736096615047
74,ENSG00000005022.7,SLC25A5,1137.0,49.27357456140351,False,True,False,False,False,False,12199.0,0.0005889876612510221,564.0,1.5447227988231046e-05,351.0,1.0689227995036481e-05,637.0,1.3493970681288118e-05
75,ENSG00000005059.17,MCUB,1100.0,43.64674573571938,False,True,False,False,False,False,4610.0,6.878663645144199e-05,1475.0,5.3897636294681694e-05,1144.0,4.3789687631840266e-05,1715.0,5.006657482765096e-05
76,ENSG00000005073.6,HOXA11,2403.0,54.51492227875714,False,True,False,False,False,False,28.0,3.1160424213563755e-07,9.0,2.0119399695235803e-07,1.0,2.5819391292358646e-08,4.0,6.858434907897392e-08
77,ENSG00000005075.17,POLR2J,625.0,56.48,False,True,False,False,False,False,9499.0,0.00022117223957870215,171.0,4.001525050496899e-06,650.0,2.1275178424903526e-05,531.0,1.0664866281780444e-05
78,ENSG00000005100.13,DHX33,2416.0,52.223088923556936,False,True,False,False,False,False,2227.0,2.806663923807421e-05,1480.0,4.9650207470131916e-05,1334.0,5.752560379937507e-05,1812.0,5.301570183804684e-05
79,ENSG00000005102.15,MEOX1,1190.0,57.08347812329608,False,True,False,False,False,False,2.0,3.3386168800246877e-08,1.0,2.2354888550262005e-08,0.0,0.0,0.0,0.0
80,ENSG00000005108.17,THSD7A,1125.5,46.11127249794542,False,True,False,False,False,False,3617.0,5.56213572212113e-05,4947.0,0.00037464557721384096,3548.0,0.0002511193997094802,5159.0,0.0003271473451067056
81,ENSG00000005156.13,LIG3,3055.0,51.76646706586826,False,True,False,False,False,False,1121.0,1.341011113476583e-05,996.0,3.219103951237729e-05,1457.0,6.501322727415907e-05,1556.0,4.548856952662945e-05
82,ENSG00000005175.11,RPAP3,2242.0,36.66821777570964,False,True,False,False,False,False,3665.0,5.0824877636909164e-05,2231.0,9.015726552320666e-05,1445.0,5.915222545079366e-05,2462.0,8.019225016059025e-05
83,ENSG00000005187.13,ACSM3,2532.5,42.58869742760199,False,True,False,False,False,False,111.0,1.2575456914759659e-06,228.0,5.7899161345178595e-06,177.0,5.0089619107175774e-06,281.0,5.383871402699452e-06
84,ENSG00000005189.21,REXO5,2156.0,48.01883091408396,False,True,False,False,False,False,659.0,7.756719884590691e-06,1465.0,5.172921210530628e-05,1590.0,7.157135266241817e-05,1934.0,6.043995762584576e-05
