,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts
0,ENSMUSG00000000001.5,Gnai3,3262,False,True,False,False,41.65,2633,0.008052864768496244,2524,0.015616169537969894,1902,0.010838197079475264,2902,0.013237540342789768
1,ENSMUSG00000000028.16,Cdc45,4401,False,True,False,False,46.23,687,0.0020489394268113754,225,0.0011978311861510996,880,0.00503569381130063,760,0.003257870234658673
3,ENSMUSG00000000037.18,Scml2,10331,False,True,False,False,39.03,29,7.265742648267287e-05,67,0.00034998359759970404,105,0.0005236747510359058,117,0.00044764629178516114
5,ENSMUSG00000000056.8,Narf,5220,False,True,False,False,46.96,1526,0.004168114365889334,2947,0.01814492426428888,2318,0.013498651841434466,3464,0.01605131703401078
7,ENSMUSG00000000058.7,Cav2,4401,False,True,False,False,39.77,2,4.843828432178192e-06,3,1.4788039335198764e-05,2,9.351334839926889e-06,3,1.0658245042503838e-05
8,ENSMUSG00000000078.8,Klf6,5438,False,True,False,False,43.44,1271,0.00399131462811483,2530,0.017218207132616428,1393,0.007724202577779611,2548,0.012310273024091932
11,ENSMUSG00000000085.17,Scmh1,10708,False,True,False,False,39.89,818,0.0022814431915559284,1095,0.0061961884814482815,1394,0.007714851242939683,1623,0.006871015304067474
13,ENSMUSG00000000088.8,Cox5a,2682,False,False,False,False,42.75,11627,0.07712101438292507,852,0.004998357295297182,243,0.0011922951920906783,768,0.003090891062326113
15,ENSMUSG00000000093.7,Tbx2,3626,False,True,False,False,55.36,11,2.6641056376980054e-05,4,1.9717385780265017e-05,19,9.818901581923235e-05,18,6.394947025502303e-05
16,ENSMUSG00000000120.7,Ngfr,3446,False,True,False,False,53.62,7,2.6641056376980054e-05,4,1.9717385780265017e-05,10,5.610800903956134e-05,10,3.552748347501279e-05
17,ENSMUSG00000000125.6,Wnt3,3076,False,True,False,False,52.32,4,1.210957108044548e-05,1,9.858692890132509e-06,3,1.4027002259890335e-05,4,1.4210993390005117e-05
18,ENSMUSG00000000127.16,Fer,6189,False,True,False,False,40.27,42,0.00010414231129183113,45,0.00024646732225331274,57,0.00028521571261777014,65,0.0002557978810200921
19,ENSMUSG00000000131.16,Xpo6,25018,False,True,False,False,43.53,1349,0.003737013635425475,1836,0.010765692636024699,3623,0.02338768843465715,3612,0.017287673458941225
23,ENSMUSG00000000134.18,Tfe3,20656,False,False,False,False,51.75,336,0.0008888425173046982,423,0.0023069341362910068,285,0.0014073758934089967,452,0.0017550576836656319
27,ENSMUSG00000000142.16,Axin2,8596,False,True,False,False,53.94,420,0.0011237681962653404,502,0.002730857930566705,812,0.004259533019586698,885,0.0035563010958487803
