,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSG00000000419.15,DPM1,1284.409090909091,38.542533379988974,False,True,False,False,24.0,0.0009617153154366126,39.0,0.005258964562467296,61.0,0.0036049760298166407,63.0,0.004164091649674309,6.418598976443594e-10,6.633778824459052e-10,4.812277411030315e-10,6.067124391727746e-10
1,ENSG00000000457.15,SCYL3,3017.3846153846152,44.6736411518604,False,True,False,False,43.0,0.0017230732734905977,15.0,0.0019721117109252357,15.0,0.0008721716201169292,20.0,0.001321933857039463,2.162900248446363e-10,2.0898663162628217e-10,1.2865980618631737e-10,1.7008477110714294e-10
2,ENSG00000000460.18,FIRRM,3019.090909090909,41.605638111105414,False,True,False,False,41.0,0.001642930330537547,33.0,0.004338645764035519,35.0,0.002035067113606168,34.0,0.002247287556967087,2.422085514550483e-09,1.0107038276800946e-09,3.769215816436683e-10,4.028887059950429e-10
3,ENSG00000000938.14,FGR,2228.9375,57.26936991893807,False,True,False,False,285.0,0.011901227028528083,50.0,0.006705179817145803,181.0,0.011163796737496692,137.0,0.009517923770684134,9.729328478694108e-08,5.942755977705707e-09,3.8406707243585403e-07,1.8262480983860577e-07
4,ENSG00000000971.18,CFH,2921.2096774193546,39.342774363070006,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,1e-10,,
5,ENSG00000001036.15,FUCA2,1522.2307692307693,47.663441939500174,False,True,False,False,25.0,0.0010017867869131381,25.0,0.0032868528515420602,29.0,0.0018024880149083203,37.0,0.0024455776355230066,5.347861504297106e-10,3.1057050454870356e-10,1.9096034914196484e-10,2.6840315743889563e-10
6,ENSG00000001084.14,GCLC,1777.7333333333333,44.72111686198586,False,True,False,False,30.0,0.0012422156157722915,101.0,0.015250997231155158,172.0,0.011105651962822231,155.0,0.011566921249095303,1.3770176272620663e-08,8.826810329109952e-09,6.545146795031435e-09,7.153791207498076e-09
7,ENSG00000001167.16,NFYA,3652.3076923076924,47.380553658342215,False,True,False,False,6.0,0.00024042882885915316,17.0,0.0022350599390486008,65.0,0.0037794103538400263,47.0,0.003106544564042738,1.3724570870126046e-09,1.0684784916395306e-10,1.2852645617087863e-10,1.1941650853929223e-10
8,ENSG00000001460.19,STPG1,1938.3333333333333,47.7790856844246,False,True,False,False,8.0,0.0003205717718122042,2.0,0.0002629482281233648,10.0,0.0005814477467446195,5.0,0.00033048346425986575,1.0060734172055496e-10,1.0003634975721867e-10,1.0097121119436031e-10,1.002056313463688e-10
9,ENSG00000001461.20,NIPAL3,3876.222222222222,49.8342711533923,False,True,False,False,96.0,0.0038869327332229768,19.0,0.0024980081671719654,63.0,0.00389569990318895,49.0,0.0032387379497466843,1.5475669643198889e-09,3.0412928416866635e-10,5.265785753946187e-09,2.464631417251542e-09
