,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content
0,ENSG00000000003.16,TSPAN6,7630,False,True,False,False,40.4
2,ENSG00000000005.6,TNMD,1645,False,True,False,False,40.78
4,ENSG00000000419.14,DPM1,16201,False,False,False,False,40.2
8,ENSG00000000457.14,SCYL3,8729,False,True,False,False,40.14
10,ENSG00000000460.17,FIRRM,7662,False,False,False,False,39.22
13,ENSG00000000938.13,FGR,6751,False,True,False,False,52.92
15,ENSG00000000971.17,CFH,25132,False,True,False,False,35.08
19,ENSG00000001036.14,FUCA2,3389,False,True,False,False,39.72
21,ENSG00000001084.13,GCLC,15226,False,True,False,False,40.160000000000004
25,ENSG00000001167.15,NFYA,6905,False,True,False,False,40.69
26,ENSG00000001460.18,STPG1,12767,False,True,False,False,44.09
28,ENSG00000001461.19,NIPAL3,18431,False,True,False,False,44.7
30,ENSG00000001497.18,LAS1L,33469,False,False,False,False,42.78
33,ENSG00000001561.7,ENPP4,4644,False,True,False,False,36.05
34,ENSG00000001617.12,SEMA3F,9527,False,True,False,False,57.739999999999995
36,ENSG00000001626.18,CFTR,32748,False,True,False,False,36.9
40,ENSG00000001629.10,ANKIB1,9359,False,True,False,False,36.83
44,ENSG00000001630.18,CYP51A1,5682,False,True,False,False,38.33
46,ENSG00000001631.17,KRIT1,72339,False,False,False,False,36.51
50,ENSG00000002016.18,RAD52,14029,False,True,False,False,45.19
54,ENSG00000002330.14,BAD,3007,False,True,False,False,53.92
56,ENSG00000002549.13,LAP3,7094,False,True,False,False,44.16
59,ENSG00000002586.20,CD99,8322,False,True,False,False,47.38
63,ENSG00000002587.10,HS3ST1,7791,False,True,False,False,43.919999999999995
64,ENSG00000002726.21,AOC1,6600,False,True,False,False,47.8
66,ENSG00000002745.13,WNT16,3842,False,True,False,False,38.61
67,ENSG00000002746.15,HECW1,17481,False,True,False,False,42.03
69,ENSG00000002822.16,MAD1L1,9576,False,False,False,False,55.65
72,ENSG00000002834.19,LASP1,12708,False,True,False,False,53.69
75,ENSG00000002919.15,SNX11,11073,False,True,False,False,48.03
79,ENSG00000002933.9,TMEM176A,7610,False,True,False,False,57.55
81,ENSG00000003056.8,M6PR,10145,False,True,False,False,42.37
84,ENSG00000003096.15,KLHL13,10135,False,True,False,False,36.56
86,ENSG00000003137.9,CYP26B1,8497,False,True,False,False,59.85
87,ENSG00000003147.19,ICA1,10670,False,True,False,False,40.3
91,ENSG00000003249.15,DBNDD1,6701,False,True,False,False,59.3
94,ENSG00000003393.16,ALS2,95378,False,True,False,False,38.18
98,ENSG00000003400.16,CASP10,15097,False,True,False,False,42.31000000000001
101,ENSG00000003402.21,CFLAR,29659,False,True,False,False,44.35
105,ENSG00000003436.16,TFPI,14222,False,True,False,False,36.6
107,ENSG00000003509.16,NDUFAF7,7253,False,False,False,False,38.97
111,ENSG00000003756.17,RBM5,18902,False,True,False,False,44.45
115,ENSG00000003987.14,MTMR7,7850,False,True,True,False,40.26
119,ENSG00000003989.18,SLC7A2,19895,False,True,False,False,40.13
120,ENSG00000004059.11,ARF5,3872,False,False,False,False,56.14000000000001
123,ENSG00000004139.14,SARM1,15610,False,False,False,False,51.55
127,ENSG00000004142.12,POLDIP2,3461,False,True,False,False,49.87
128,ENSG00000004399.13,PLXND1,13677,False,False,False,False,58.3
131,ENSG00000004455.18,AK2,62550,False,True,False,False,46.32
135,ENSG00000004468.13,CD38,9048,False,False,False,False,41.09
138,ENSG00000004478.8,FKBP4,6421,False,True,False,False,51.53
142,ENSG00000004487.18,KDM1A,39731,False,True,False,False,39.17
145,ENSG00000004534.15,RBM6,12660,False,True,False,False,44.14
149,ENSG00000004660.15,CAMKK1,7905,False,True,False,False,57.17
151,ENSG00000004700.16,RECQL,5973,False,True,False,False,37.57
152,ENSG00000004766.17,VPS50,19765,False,True,False,False,34.82
156,ENSG00000004776.13,HSPB6,2611,False,True,False,False,62.52
157,ENSG00000004777.19,ARHGAP33,9012,False,False,False,False,60.93
161,ENSG00000004779.10,NDUFAB1,2335,False,True,False,False,48.72
163,ENSG00000004799.8,PDK4,6941,False,True,False,False,36.08
165,ENSG00000004809.14,SLC22A16,6107,False,False,False,False,41.33
167,ENSG00000004838.14,ZMYND10,6166,False,False,False,False,58.489999999999995
171,ENSG00000004846.17,ABCB5,9697,False,True,False,False,37.72
174,ENSG00000004848.8,ARX,3324,False,True,False,False,54.61999999999999
176,ENSG00000004864.14,SLC25A13,6478,False,True,False,False,39.76
179,ENSG00000004866.22,ST7,12988,False,True,False,False,39.15
183,ENSG00000004897.12,CDC27,11098,False,True,False,False,38.66
187,ENSG00000004939.16,SLC4A1,5571,False,True,False,False,55.79
190,ENSG00000004948.16,CALCR,7076,False,True,False,False,35.2
192,ENSG00000004961.15,HCCS,4289,False,True,False,False,42.97
193,ENSG00000004975.12,DVL2,10088,False,True,False,False,55.13
196,ENSG00000005001.10,PRSS22,5126,False,True,False,False,59.35
200,ENSG00000005007.14,UPF1,15626,False,True,False,False,55.14
204,ENSG00000005020.13,SKAP2,6255,False,True,False,False,36.94
207,ENSG00000005022.6,SLC25A5,2370,False,False,False,False,52.54
209,ENSG00000005059.16,MCUB,4807,False,True,False,False,41.01
212,ENSG00000005073.6,HOXA11,4806,False,True,False,False,54.37
213,ENSG00000005075.16,POLR2J,937,False,True,False,False,54.98
214,ENSG00000005100.13,DHX33,9205,False,True,False,False,45.78
217,ENSG00000005102.14,MEOX1,4859,False,True,False,False,51.6
218,ENSG00000005108.17,THSD7A,12728,False,True,False,False,35.51
221,ENSG00000005156.12,LIG3,17534,False,True,False,False,47.21
225,ENSG00000005175.10,RPAP3,6909,False,True,False,False,36.55
228,ENSG00000005187.12,ACSM3,10436,False,True,False,False,41.08
231,ENSG00000005189.20,REXO5,6967,False,True,False,False,39.89
235,ENSG00000005194.15,CIAPIN1,8633,False,True,False,False,44.27
239,ENSG00000005206.17,SPPL2B,12792,False,False,False,False,61.04
243,ENSG00000005238.20,ATOSB,13277,False,True,False,False,54.68
245,ENSG00000005243.10,COPZ2,3328,False,False,False,False,52.71
249,ENSG00000005249.14,PRKAR2B,22419,False,True,False,False,38.61
252,ENSG00000005302.19,MSL3,62190,False,True,False,False,42.85
255,ENSG00000005339.15,CREBBP,21143,False,True,False,False,45.01
258,ENSG00000005379.17,TSPOAP1,17494,False,False,False,False,57.84
260,ENSG00000005381.9,MPO,8376,False,True,False,False,55.12
264,ENSG00000005421.9,PON1,3691,False,True,False,False,40.31
267,ENSG00000005436.14,GCFC2,13084,False,False,False,False,36.39
270,ENSG00000005448.17,WDR54,7603,False,False,False,False,54.68
273,ENSG00000005469.12,CROT,6914,False,True,False,False,37.43
275,ENSG00000005471.19,ABCB4,10927,False,True,False,False,38.6
278,ENSG00000005483.23,KMT2E,28371,False,False,False,False,39.74
282,ENSG00000005486.17,RHBDD2,6753,False,False,False,False,47.79
285,ENSG00000005513.11,SOX8,17335,False,False,False,False,65.75
287,ENSG00000005700.15,IBTK,16276,False,True,False,False,36.07
290,ENSG00000005801.18,ZNF195,29161,False,True,False,False,41.43
294,ENSG00000005810.20,MYCBP2,45787,False,False,False,False,35.75
297,ENSG00000005812.11,FBXL3,8721,False,False,False,False,38.36
299,ENSG00000005844.19,ITGAL,22075,False,False,False,False,50.45
303,ENSG00000005882.12,PDK2,10383,False,True,False,False,56.67
306,ENSG00000005884.18,ITGA3,16725,False,False,False,False,52.64
309,ENSG00000005889.16,ZFX,18131,False,False,False,False,40.77
311,ENSG00000005893.17,LAMP2,12992,False,True,False,False,38.61
313,ENSG00000005961.19,ITGA2B,7503,False,True,False,False,54.81
315,ENSG00000005981.13,ASB4,5613,False,False,False,False,38.27
317,ENSG00000006007.12,GDE1,7476,False,True,False,False,40.14
320,ENSG00000006015.18,REX1BD,7787,False,False,False,False,60.22
